Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,23,CHI,NBA,C,61,613,13.9,.529,.005,.485,12.5,18.7,15.5,11.4,1.8,2.0,18.7,22.0,,0.1,0.8,0.8,.066,,-2.4,0.4,-2.0,0.0
2008-09,24,CHI,NBA,C,56,715,11.5,.508,.006,.353,13.5,21.7,17.6,9.6,1.0,1.8,17.2,14.5,,0.5,0.8,1.3,.086,,-2.1,0.6,-1.5,0.1
2009-10,25,TOT,NBA,C,32,311,16.6,.551,.000,.341,16.7,23.1,19.8,10.6,1.5,2.7,16.0,16.4,,0.5,0.4,0.9,.142,,-0.6,1.3,0.7,0.2
2009-10,25,CHI,NBA,C,8,50,7.0,.374,.000,.333,11.3,24.1,17.8,6.5,0.0,0.0,4.0,22.5,,-0.1,0.1,0.0,-0.013,,-6.6,-3.7,-10.2,-0.1
2009-10,25,NOH,NBA,C,24,261,18.4,.612,.000,.344,17.7,22.9,20.2,11.4,1.8,3.2,19.5,15.3,,0.6,0.3,0.9,.172,,0.5,2.2,2.8,0.3
2010-11,26,NOH,NBA,C,41,531,11.0,.566,.000,.343,13.4,25.8,19.6,4.7,1.1,1.9,21.9,13.1,,0.3,0.8,1.1,.100,,-3.1,1.2,-1.8,0.0
2011-12,27,TOR,NBA,C,49,813,11.1,.526,.000,.292,12.1,28.3,20.3,5.5,1.5,1.7,21.9,13.5,,0.1,1.3,1.4,.082,,-3.5,1.5,-2.0,0.0
2012-13,28,TOR,NBA,C,42,513,9.0,.544,.000,.489,10.9,20.0,15.4,9.9,0.7,0.8,24.8,13.1,,0.2,0.4,0.5,.050,,-3.0,0.1,-2.9,-0.1
2013-14,29,TOT,NBA,C,37,355,7.8,.466,.016,.328,13.2,22.3,17.7,9.1,1.4,1.8,30.8,12.5,,-0.3,0.4,0.1,.016,,-4.3,1.7,-2.6,-0.1
2013-14,29,TOR,NBA,C,4,20,5.7,.644,.000,.667,17.4,29.3,23.3,23.1,0.0,0.0,50.8,17.9,,0.0,0.0,0.0,-0.007,,-4.7,0.7,-4.0,0.0
2013-14,29,SAC,NBA,C,33,335,7.9,.455,.017,.310,13.0,21.8,17.4,8.2,1.5,1.9,29.1,12.2,,-0.2,0.4,0.1,.018,,-4.2,1.7,-2.5,0.0
Career,,,NBA,,318,3851,11.5,.528,.003,.383,12.9,23.1,18.0,8.4,1.3,1.8,20.8,15.1,,1.4,4.8,6.2,.077,,-2.8,0.9,-1.8,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,CHI,NBA,,125,1378,12.4,.512,.005,.421,13.0,20.4,16.7,10.3,1.3,1.9,17.4,18.1,,0.5,1.7,2.1,.074,,-2.4,0.4,-2.0,0.0
3 seasons,,TOR,NBA,,95,1346,10.2,.534,.000,.366,11.7,25.1,18.5,7.4,1.2,1.3,23.6,13.4,,0.3,1.7,1.9,.069,,-3.3,1.0,-2.4,-0.1
2 seasons,,NOH,NBA,,65,792,13.5,.584,.000,.344,14.8,24.9,19.8,6.9,1.3,2.3,21.0,13.8,,0.9,1.1,2.0,.124,,-1.9,1.6,-0.3,0.3
1 season,,SAC,NBA,,33,335,7.9,.455,.017,.310,13.0,21.8,17.4,8.2,1.5,1.9,29.1,12.2,,-0.2,0.4,0.1,.018,,-4.2,1.7,-2.5,0.0
