Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,23,IND,NBA,PG,56,865,14.0,.530,.492,.212,1.5,9.7,5.6,20.5,2.0,0.2,13.2,22.7,,0.4,0.8,1.2,.065,,0.2,-2.0,-1.8,0.0
2010-11,24,IND,NBA,PG,50,795,10.7,.454,.466,.253,2.3,7.8,5.0,22.7,1.8,0.1,13.0,22.7,,-0.4,0.7,0.3,.020,,-1.1,-2.3,-3.4,-0.3
2011-12,25,IND,NBA,PG,44,568,11.5,.454,.506,.201,2.6,9.4,6.0,23.9,1.9,0.3,14.5,17.7,,0.2,0.5,0.7,.063,,-0.2,-1.7,-1.9,0.0
2012-13,26,WAS,NBA,PG,57,1278,12.4,.501,.484,.150,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18.0,,1.0,1.2,2.2,.084,,-0.1,-1.7,-1.8,0.1
2013-14,27,MIN,NBA,SG,28,99,9.7,.469,.478,.043,1.1,10.2,5.5,21.5,0.5,0.0,13.0,23.2,,-0.1,0.0,0.0,-0.012,,-2.1,-3.9,-6.0,-0.1
2014-15,28,TOT,NBA,PG,26,324,12.0,.451,.416,.175,2.1,8.9,5.6,23.5,1.1,0.0,8.7,22.5,,0.0,0.2,0.3,.041,,-0.7,-3.1,-3.7,-0.1
2014-15,28,IND,NBA,PG,10,193,17.1,.542,.438,.202,1.2,6.8,4.0,25.3,1.1,0.0,9.4,25.1,,0.3,0.2,0.5,.123,,2.7,-3.6,-0.8,0.1
2014-15,28,CLE,NBA,PG,11,87,7.7,.300,.324,.176,5.4,14.3,9.9,22.1,1.8,0.0,7.6,20.6,,-0.2,0.1,-0.1,-0.051,,-4.6,-1.5,-6.1,-0.1
2014-15,28,PHO,NBA,PG,5,44,-1.6,.214,.500,.000,0.0,7.5,3.7,18.7,0.0,0.0,6.7,15.0,,-0.1,0.0,-0.1,-0.140,,-7.7,-4.1,-11.8,-0.1
Career,,,NBA,,261,3929,12.2,.486,.478,.193,1.9,8.7,5.3,23.6,1.6,0.2,12.8,20.5,,1.2,3.5,4.7,.058,,-0.3,-2.1,-2.4,-0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,IND,NBA,,160,2421,12.6,.491,.480,.223,2.0,8.8,5.4,22.4,1.8,0.2,13.0,21.7,,0.6,2.2,2.7,.054,,-0.1,-2.2,-2.3,-0.2
1 season,,WAS,NBA,,57,1278,12.4,.501,.484,.150,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18.0,,1.0,1.2,2.2,.084,,-0.1,-1.7,-1.8,0.1
1 season,,MIN,NBA,,28,99,9.7,.469,.478,.043,1.1,10.2,5.5,21.5,0.5,0.0,13.0,23.2,,-0.1,0.0,0.0,-0.012,,-2.1,-3.9,-6.0,-0.1
1 season,,CLE,NBA,,11,87,7.7,.300,.324,.176,5.4,14.3,9.9,22.1,1.8,0.0,7.6,20.6,,-0.2,0.1,-0.1,-0.051,,-4.6,-1.5,-6.1,-0.1
1 season,,PHO,NBA,,5,44,-1.6,.214,.500,.000,0.0,7.5,3.7,18.7,0.0,0.0,6.7,15.0,,-0.1,0.0,-0.1,-0.140,,-7.7,-4.1,-11.8,-0.1
