Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,21,ATL,NBA,C,81,2540,14.7,.539,.007,.317,11.4,24.5,18.0,7.9,1.2,2.2,15.3,16.0,,2.4,3.0,5.5,.103,,-1.3,1.1,-0.2,1.2
2008-09,22,ATL,NBA,C,67,2242,17.0,.565,.002,.345,7.6,25.0,16.3,11.9,1.3,3.3,13.1,16.4,,3.3,3.5,6.8,.145,,-0.7,3.1,2.3,2.5
2009-10 ★,23,ATL,NBA,C,81,2845,19.4,.594,.001,.319,9.6,23.3,16.4,10.4,1.1,2.4,11.2,17.6,,6.9,3.9,10.9,.183,,1.5,1.9,3.3,3.8
2010-11 ★,24,ATL,NBA,C,77,2704,20.7,.587,.004,.204,8.2,23.7,16.0,17.5,1.2,2.3,10.6,19.7,,6.4,3.7,10.1,.179,,2.0,2.4,4.4,4.4
2011-12,25,ATL,NBA,C,11,348,19.0,.585,.010,.291,8.8,17.1,13.0,11.7,1.5,3.1,12.1,17.9,,0.8,0.6,1.3,.180,,0.5,2.3,2.8,0.4
2012-13,26,ATL,NBA,C,74,2756,19.8,.560,.006,.196,8.2,23.0,15.7,15.3,1.5,2.2,11.3,21.8,,4.7,4.1,8.8,.153,,0.7,2.4,3.1,3.5
2013-14,27,ATL,NBA,C,29,958,22.0,.588,.026,.202,8.0,21.4,14.8,15.2,1.4,3.6,12.3,24.7,,1.5,1.3,2.8,.141,,0.8,2.0,2.8,1.1
2014-15 ★,28,ATL,NBA,C,76,2318,21.4,.563,.037,.146,6.7,19.8,13.4,18.6,1.5,3.5,8.9,22.2,,5.1,3.6,8.7,.179,,1.3,2.5,3.8,3.4
2015-16 ★,29,ATL,NBA,C,82,2631,19.4,.565,.244,.123,6.3,18.2,12.4,16.7,1.3,3.6,8.8,20.6,,4.9,4.5,9.4,.172,,1.5,2.6,4.1,4.1
Career,,,NBA,,578,19342,19.1,.570,.048,.222,8.3,22.3,15.4,14.0,1.3,2.8,11.2,19.5,,36.0,28.1,64.2,.159,,0.7,2.2,3.0,24.4
