Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2004-05,20,BOS,NBA,PF,71,1051,16.6,.554,.008,.366,13.5,21.0,17.3,3.9,1.1,3.9,13.3,21.2,,1.3,1.4,2.7,.123,,-1.7,-0.9,-2.7,-0.2
2005-06,21,BOS,NBA,PF,59,1062,16.2,.530,.011,.354,11.4,22.6,17.2,5.0,1.5,3.3,12.4,21.6,,0.9,1.5,2.3,.105,,-2.6,-0.4,-3.1,-0.3
2006-07,22,BOS,NBA,C,69,2319,19.8,.547,.001,.334,12.0,27.4,19.5,7.2,1.1,3.5,11.8,22.4,,3.3,3.3,6.6,.137,,-0.5,1.0,0.6,1.5
2007-08,23,MIN,NBA,C,82,2919,22.7,.535,.003,.273,11.9,24.7,18.1,7.5,1.3,3.2,9.4,27.5,,4.8,2.9,7.7,.127,,0.6,-0.3,0.3,1.7
2008-09,24,MIN,NBA,C,50,1836,23.1,.532,.004,.258,10.6,24.9,17.5,8.8,1.1,3.5,7.8,28.9,,2.9,2.0,4.9,.128,,0.6,0.1,0.7,1.2
2009-10,25,MIN,NBA,C,76,2463,19.0,.524,.004,.236,8.0,24.2,16.0,10.0,1.3,3.0,9.9,24.3,,2.3,2.3,4.6,.090,,-0.9,0.5,-0.4,1.0
2010-11,26,UTA,NBA,C,82,2940,20.1,.528,.000,.219,9.6,23.2,16.3,9.2,0.8,4.2,6.8,24.2,,5.1,2.7,7.8,.128,,0.0,0.1,0.1,1.5
2011-12,27,UTA,NBA,C,61,2075,22.8,.520,.004,.169,7.3,25.3,16.2,12.1,1.2,3.9,5.2,25.7,,4.9,2.5,7.5,.173,,1.7,1.3,3.0,2.6
2012-13,28,UTA,NBA,C,78,2578,20.9,.522,.014,.176,7.0,25.9,16.3,12.0,1.6,2.7,7.3,25.3,,4.3,3.3,7.7,.143,,0.5,1.0,1.5,2.2
2013-14,29,CHA,NBA,C,73,2553,22.7,.532,.011,.201,6.9,28.3,17.5,12.8,1.4,2.4,7.6,29.3,,3.1,4.7,7.8,.146,,0.3,1.5,1.8,2.5
2014-15,30,CHO,NBA,C,65,1992,19.7,.500,.005,.163,5.3,25.5,15.1,11.6,1.2,3.3,5.9,26.3,,1.3,3.4,4.7,.113,,-1.3,1.6,0.2,1.1
2015-16,31,CHO,NBA,C,47,1096,18.2,.507,.000,.220,5.6,24.6,15.0,11.8,1.4,3.0,5.8,24.2,,1.0,1.8,2.8,.123,,-2.3,1.2,-1.1,0.2
Career,,,NBA,,813,24884,20.6,.527,.005,.232,9.0,25.1,16.9,9.7,1.2,3.3,8.3,25.5,,35.4,31.7,67.1,.129,,-0.2,0.6,0.4,15.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,UTA,NBA,,221,7593,21.1,.524,.006,.190,8.1,24.7,16.3,11.0,1.2,3.6,6.5,25.0,,14.3,8.6,22.9,.145,,0.6,0.7,1.3,6.4
3 seasons,,MIN,NBA,,208,7218,21.5,.531,.004,.258,10.2,24.6,17.2,8.7,1.3,3.2,9.1,26.8,,10.1,7.1,17.2,.115,,0.1,0.1,0.1,3.9
3 seasons,,BOS,NBA,,199,4432,18.2,.545,.005,.346,12.2,24.8,18.4,5.9,1.2,3.6,12.3,21.9,,5.5,6.1,11.7,.126,,-1.3,0.2,-1.1,1.0
3 seasons,,CHACHO,NBA,,185,5641,20.7,.517,.007,.191,6.1,26.6,16.2,12.2,1.3,2.9,6.7,27.3,,5.4,9.9,15.2,.130,,-0.8,1.5,0.7,3.8
