Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,24,LAC,NBA,PF,79,2158,12.7,.504,.149,.331,5.2,14.0,9.6,8.4,1.1,1.5,11.4,24.1,,-0.5,1.6,1.1,.025,,-2.5,-1.3,-3.8,-1.0
2008-09,25,LAC,NBA,SF,71,2654,12.6,.502,.075,.298,5.2,11.0,8.0,6.9,1.2,1.7,9.9,22.6,,0.2,1.0,1.3,.023,,-2.3,-1.2,-3.5,-1.0
2009-10,26,TOT,NBA,SF,75,2079,11.8,.523,.046,.312,6.4,10.0,8.2,7.1,1.1,1.3,11.7,19.0,,1.2,1.0,2.2,.050,,-1.9,-0.8,-2.7,-0.4
2009-10,26,LAC,NBA,SF,51,1405,11.6,.526,.030,.302,7.0,8.9,7.9,7.2,0.9,1.2,11.2,18.9,,1.0,0.5,1.5,.050,,-1.8,-1.2,-3.0,-0.4
2009-10,26,WAS,NBA,SF,24,674,12.1,.517,.079,.333,5.2,12.3,8.7,7.1,1.6,1.5,12.7,19.1,,0.2,0.5,0.7,.051,,-2.0,-0.1,-2.0,0.0
2010-11,27,TOT,NBA,SF-PF,71,1383,11.7,.531,.060,.329,4.5,13.4,8.8,7.2,1.3,0.7,11.5,17.8,,1.0,0.6,1.6,.054,,-2.5,-1.8,-4.3,-0.8
2010-11,27,WAS,NBA,SF,49,1069,11.8,.525,.076,.327,4.7,12.2,8.3,7.7,1.3,0.6,10.5,17.3,,0.9,0.4,1.3,.058,,-1.9,-1.5,-3.4,-0.4
2010-11,27,GSW,NBA,PF,22,314,11.3,.549,.010,.337,3.5,17.4,10.3,5.3,1.1,0.7,14.3,19.6,,0.1,0.2,0.3,.042,,-4.5,-2.7,-7.3,-0.4
Career,,,NBA,,296,8274,12.3,.511,.088,.315,5.4,11.9,8.6,7.4,1.2,1.4,10.9,21.3,,1.9,4.2,6.1,.035,,-2.3,-1.2,-3.5,-3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,LAC,NBA,,201,6217,12.4,.507,.094,.311,5.6,11.6,8.5,7.5,1.1,1.5,10.7,22.3,,0.7,3.1,3.8,.029,,-2.3,-1.2,-3.5,-2.4
2 seasons,,WAS,NBA,,73,1743,11.9,.522,.077,.330,4.9,12.2,8.5,7.4,1.4,1.0,11.4,18.0,,1.1,1.0,2.0,.055,,-1.9,-1.0,-2.9,-0.4
1 season,,GSW,NBA,,22,314,11.3,.549,.010,.337,3.5,17.4,10.3,5.3,1.1,0.7,14.3,19.6,,0.1,0.2,0.3,.042,,-4.5,-2.7,-7.3,-0.4
