Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,18,DET,NBA,SF,3,39,20.3,.850,.300,.400,9.0,3.1,6.1,13.4,0.0,3.7,25.4,19.2,,0.1,0.0,0.2,.208,,3.8,-1.4,2.5,0.0
2006-07,19,DET,NBA,PF,8,124,20.6,.600,.091,.424,14.4,21.1,17.7,4.1,2.2,8.1,18.7,18.5,,0.2,0.3,0.5,.183,,-1.2,3.9,2.7,0.1
2007-08,20,DET,NBA,PF,62,764,17.5,.584,.000,.333,13.5,23.2,18.4,5.9,1.7,8.5,17.1,14.1,,1.1,1.9,3.0,.190,,-1.4,5.7,4.3,1.2
2008-09,21,DET,NBA,PF,62,911,13.5,.608,.000,.215,13.1,17.2,15.1,3.4,1.2,5.1,15.6,11.1,,1.4,1.3,2.7,.142,,-1.3,2.5,1.1,0.7
2009-10,22,TOR,NBA,PF,82,1453,16.7,.639,.012,.446,12.9,19.1,16.1,5.0,1.6,3.5,13.6,14.5,,3.4,1.1,4.5,.150,,1.4,0.8,2.1,1.5
2010-11,23,TOR,NBA,PF,72,1853,17.6,.608,.002,.323,11.8,17.8,14.7,6.8,1.5,3.6,10.9,15.3,,4.4,1.2,5.6,.146,,1.5,1.1,2.7,2.2
2011-12,24,TOR,NBA,PF,64,1553,14.4,.600,.015,.247,11.4,19.4,15.4,8.7,1.1,3.6,20.0,14.3,,1.9,2.0,4.0,.122,,-0.5,2.7,2.2,1.6
2012-13,25,TOR,NBA,PF,81,2325,17.3,.591,.021,.309,11.4,20.0,15.6,8.7,1.8,3.8,14.5,16.1,,4.4,2.9,7.3,.151,,0.7,2.8,3.5,3.2
2013-14,26,TOR,NBA,PF,77,2214,15.4,.592,.108,.234,9.0,17.6,13.3,8.7,1.3,3.2,15.4,16.4,,3.2,3.1,6.3,.136,,0.2,2.4,2.6,2.6
2014-15,27,TOR,NBA,PF,75,1979,15.4,.603,.089,.249,9.3,17.3,13.3,9.4,1.1,2.4,16.0,15.7,,3.5,1.6,5.1,.124,,0.8,1.0,1.8,1.9
2015-16,28,BOS,NBA,PF,79,1800,16.0,.602,.101,.284,10.3,19.6,14.9,11.4,1.4,3.6,16.4,13.6,,3.0,2.9,5.9,.158,,-0.2,3.2,3.0,2.3
Career,,,NBA,,665,15015,16.1,.603,.050,.292,11.1,18.8,14.9,8.0,1.4,3.8,15.3,15.0,,26.5,18.5,45.1,.144,,0.4,2.3,2.6,17.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,TOR,NBA,,451,11377,16.2,.603,.046,.293,10.8,18.5,14.6,8.0,1.4,3.3,14.9,15.5,,20.7,12.1,32.8,.138,,0.7,1.9,2.6,13.0
4 seasons,,DET,NBA,,135,1838,15.8,.603,.016,.291,13.3,19.7,16.4,4.7,1.5,6.7,16.9,13.0,,2.8,3.6,6.4,.166,,-1.3,3.8,2.6,2.1
1 season,,BOS,NBA,,79,1800,16.0,.602,.101,.284,10.3,19.6,14.9,11.4,1.4,3.6,16.4,13.6,,3.0,2.9,5.9,.158,,-0.2,3.2,3.0,2.3
