Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,21,MIL,NBA,PF,82,2348,15.2,.555,.005,.320,9.4,19.8,14.5,13.4,1.1,2.3,15.3,15.9,,3.1,2.4,5.5,.113,,-0.2,2.0,1.8,2.3
2006-07,22,MIL,NBA,C,66,2258,15.5,.566,.008,.308,8.7,21.9,15.2,13.9,1.1,1.2,17.4,17.3,,2.6,1.4,4.0,.085,,-0.1,0.7,0.5,1.4
2007-08,23,MIL,NBA,C,78,2720,17.5,.532,.008,.354,10.2,23.4,16.5,12.4,1.2,3.9,14.1,20.2,,2.6,2.3,4.8,.085,,-0.5,1.7,1.2,2.2
2008-09,24,MIL,NBA,C,36,1124,16.2,.586,.000,.309,11.8,27.7,19.4,10.7,1.1,2.7,19.3,17.8,,1.0,1.6,2.6,.112,,-0.9,2.6,1.7,1.0
2009-10,25,MIL,NBA,C,69,2229,20.7,.540,.002,.260,10.1,26.4,17.9,10.3,0.9,6.2,11.4,23.3,,2.6,4.8,7.5,.161,,-0.9,4.3,3.4,3.0
2010-11,26,MIL,NBA,C,65,2297,16.7,.496,.005,.292,9.8,27.1,18.3,10.4,1.1,5.8,13.0,19.6,,0.3,5.1,5.4,.112,,-2.6,5.0,2.4,2.6
2011-12,27,MIL,NBA,C,12,364,14.9,.465,.007,.169,6.5,24.3,15.1,13.7,1.7,5.0,14.1,20.6,,-0.1,0.6,0.5,.062,,-3.2,3.2,0.0,0.2
2012-13,28,GSW,NBA,C,32,786,13.8,.463,.005,.207,9.8,24.1,17.2,12.5,1.3,5.5,14.8,13.4,,0.4,1.4,1.7,.106,,-2.5,4.8,2.3,0.9
2013-14,29,GSW,NBA,C,67,1769,17.0,.610,.000,.171,11.4,29.7,20.7,9.3,1.3,5.2,19.4,12.4,,2.4,4.0,6.5,.176,,-1.2,5.6,4.4,2.8
2014-15,30,GSW,NBA,C,67,1583,15.8,.565,.000,.118,9.9,26.5,18.5,15.4,1.2,5.3,22.1,13.2,,1.9,3.4,5.2,.159,,-1.4,5.5,4.1,2.4
2015-16,31,GSW,NBA,C,70,1451,15.9,.623,.004,.179,9.5,26.0,18.3,14.8,1.1,5.8,21.6,11.4,,2.6,2.9,5.4,.180,,-0.6,5.1,4.5,2.4
Career,,,NBA,,644,18929,16.7,.546,.004,.272,9.9,24.9,17.3,12.3,1.1,4.3,15.7,17.2,,19.3,29.9,49.2,.125,,-1.0,3.5,2.4,21.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,MIL,NBA,,408,13340,17.0,.538,.005,.302,9.7,24.0,16.7,12.0,1.1,3.8,14.4,19.2,,12.0,18.3,30.3,.109,,-0.9,2.7,1.8,12.7
4 seasons,,GSW,NBA,,236,5589,15.9,.577,.002,.163,10.3,27.0,18.9,12.9,1.2,5.4,20.1,12.5,,7.3,11.6,18.9,.162,,-1.3,5.3,4.0,8.5
