Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2004-05,18,GSW,NBA,C,30,384,14.8,.570,.013,.513,12.7,21.1,16.7,4.9,1.6,4.4,11.2,12.4,,0.7,0.6,1.2,.154,,-1.9,2.0,0.2,0.2
2005-06,19,GSW,NBA,C,68,1000,13.6,.595,.000,.389,13.5,18.2,15.8,3.9,1.2,3.5,13.6,11.2,,1.6,1.3,2.9,.137,,-1.5,1.7,0.2,0.6
2006-07,20,GSW,NBA,C,82,2382,16.2,.598,.000,.287,11.3,24.0,17.5,5.4,1.4,4.3,15.4,13.8,,3.5,3.3,6.7,.136,,-1.1,2.5,1.4,2.1
2007-08,21,GSW,NBA,C,76,2078,19.2,.637,.000,.344,12.7,26.2,19.1,5.2,1.3,3.3,12.0,14.4,,5.4,2.6,8.0,.185,,0.6,1.2,1.8,2.0
2008-09,22,GSW,NBA,C,62,1863,19.1,.585,.002,.405,13.0,27.4,20.2,10.0,1.7,3.6,14.9,16.9,,3.3,2.1,5.4,.139,,0.6,1.9,2.6,2.1
2009-10,23,GSW,NBA,C,33,763,13.0,.561,.000,.182,9.1,29.0,18.9,10.1,1.3,4.1,17.8,10.1,,0.7,0.9,1.6,.101,,-2.3,3.0,0.7,0.5
2010-11,24,GSW,NBA,C,59,1397,12.1,.526,.000,.117,11.5,23.3,17.3,6.0,1.9,2.8,16.9,10.6,,1.1,1.5,2.6,.088,,-2.3,1.9,-0.3,0.6
2011-12,25,GSW,NBA,C,47,739,8.8,.581,.000,.141,6.9,20.0,13.5,3.0,1.6,4.7,17.1,5.1,,0.6,0.7,1.3,.085,,-3.1,2.9,-0.2,0.3
2012-13,26,GSW,NBA,C,53,495,7.7,.449,.000,.619,7.8,25.7,17.0,3.7,1.5,6.6,34.4,3.7,,0.1,1.0,1.1,.102,,-5.0,5.7,0.7,0.3
2013-14,27,UTA,NBA,C,6,45,2.4,.412,.000,6.000,5.0,39.7,21.8,0.0,0.0,0.0,35.5,5.7,,-0.1,0.0,0.0,-0.033,,-10.7,-4.3,-15.0,-0.1
Career,,,NBA,,516,11146,15.3,.591,.001,.318,11.5,24.5,17.9,6.1,1.5,3.8,14.9,12.4,,16.7,14.0,30.7,.132,,-1.1,2.2,1.1,8.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,GSW,NBA,,510,11101,15.3,.591,.001,.316,11.5,24.4,17.9,6.1,1.5,3.9,14.8,12.5,,16.8,13.9,30.7,.133,,-1.1,2.2,1.1,8.8
1 season,,UTA,NBA,,6,45,2.4,.412,.000,6.000,5.0,39.7,21.8,0.0,0.0,0.0,35.5,5.7,,-0.1,0.0,0.0,-0.033,,-10.7,-4.3,-15.0,-0.1
