Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,19,GSW,NBA,PF,63,1129,16.9,.506,.009,.327,12.4,22.6,17.5,6.8,1.8,4.5,14.0,21.7,,0.4,1.2,1.6,.069,,-2.8,0.3,-2.5,-0.1
2009-10,20,GSW,NBA,C,33,749,18.7,.521,.016,.440,10.7,21.4,16.0,8.5,1.8,4.9,11.7,23.9,,0.7,0.8,1.5,.098,,-2.2,0.8,-1.4,0.1
2010-11,21,TOT,NBA,C-PF,40,590,16.2,.505,.015,.326,8.0,22.7,15.2,9.8,1.9,3.1,14.9,25.8,,-0.2,0.6,0.5,.038,,-3.5,-0.1,-3.6,-0.2
2010-11,21,NYK,NBA,PF,17,127,7.6,.348,.089,.267,9.8,26.3,18.0,8.1,1.6,4.6,16.6,21.1,,-0.4,0.2,-0.2,-0.074,,-8.5,0.7,-7.8,-0.2
2010-11,21,MIN,NBA,C,23,463,18.5,.537,.000,.338,7.5,21.7,14.4,10.3,1.9,2.6,14.6,27.1,,0.2,0.5,0.7,.069,,-2.2,-0.3,-2.5,-0.1
2011-12,22,MIN,NBA,PF,34,517,17.6,.532,.005,.420,9.0,17.5,13.2,6.6,1.3,4.8,14.4,23.8,,0.5,0.6,1.1,.099,,-2.6,1.0,-1.5,0.1
2012-13,23,DEN,NBA,PF,39,329,15.6,.534,.070,.395,10.1,22.1,16.2,5.5,2.9,5.0,21.7,22.5,,-0.1,0.6,0.5,.073,,-3.8,2.3,-1.5,0.0
2013-14,24,DEN,NBA,PF,43,527,12.2,.499,.347,.392,4.1,21.0,12.5,9.1,2.4,2.7,15.9,19.8,,-0.1,0.7,0.6,.055,,-3.1,1.3,-1.8,0.0
Career,,,NBA,,252,3841,16.5,.514,.056,.376,9.6,21.4,15.5,7.8,1.9,4.2,14.6,22.8,,1.2,4.6,5.8,.072,,-2.9,0.7,-2.1,-0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,GSW,NBA,,96,1878,17.6,.512,.012,.374,11.7,22.1,16.9,7.5,1.8,4.7,13.0,22.6,,1.1,2.0,3.1,.080,,-2.5,0.5,-2.1,0.0
2 seasons,,DEN,NBA,,82,856,13.5,.513,.238,.393,6.4,21.4,13.9,7.7,2.6,3.5,18.3,20.8,,-0.3,1.4,1.1,.062,,-3.3,1.7,-1.7,0.1
2 seasons,,MIN,NBA,,57,980,18.0,.534,.002,.377,8.3,19.5,13.7,8.3,1.6,3.8,14.5,25.4,,0.7,1.1,1.7,.085,,-2.4,0.4,-2.0,0.0
1 season,,NYK,NBA,,17,127,7.6,.348,.089,.267,9.8,26.3,18.0,8.1,1.6,4.6,16.6,21.1,,-0.4,0.2,-0.2,-0.074,,-8.5,0.7,-7.8,-0.2
