Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,21,NJN,NBA,SG,39,370,0.7,.386,.185,.272,2.5,7.1,4.8,5.2,0.6,0.7,18.8,14.2,,-0.8,0.3,-0.5,-0.062,,-8.2,-0.8,-9.0,-0.7
2006-07,22,NJN,NBA,SG,63,1137,8.1,.500,.235,.291,4.0,14.1,9.1,7.6,1.4,0.7,13.2,13.4,,0.0,1.1,1.2,.049,,-3.5,0.1,-3.4,-0.4
2007-08,23,TOT,NBA,SG,56,1232,8.4,.488,.334,.204,3.8,10.0,6.9,10.5,1.2,1.3,12.2,15.2,,0.0,0.8,0.8,.029,,-2.4,-0.4,-2.8,-0.2
2007-08,23,NJN,NBA,SG,41,1056,8.3,.477,.352,.202,3.8,9.9,6.9,10.4,1.3,1.3,11.1,15.2,,-0.1,0.6,0.5,.025,,-2.4,-0.4,-2.8,-0.2
2007-08,23,DAL,NBA,SG,15,176,9.0,.566,.214,.214,3.4,10.8,7.2,11.4,0.6,1.7,19.3,15.1,,0.0,0.2,0.2,.056,,-2.4,-0.3,-2.6,0.0
2008-09,24,DAL,NBA,SF,65,1552,8.6,.501,.346,.220,2.3,7.7,5.0,7.4,1.6,1.3,10.3,15.6,,0.3,1.2,1.4,.044,,-1.6,-0.1,-1.7,0.1
2009-10,25,TOR,NBA,SF,67,1392,8.6,.502,.434,.193,3.3,12.6,8.1,7.4,1.1,0.6,11.8,16.1,,0.1,0.2,0.3,.011,,-1.0,-1.7,-2.7,-0.3
2010-11,26,SAC,NBA,SG,7,31,-4.8,.125,.500,.000,7.2,3.8,5.5,0.0,1.6,0.0,11.1,12.6,,-0.1,0.0,-0.1,-0.179,,-9.4,-3.1,-12.5,-0.1
Career,,,NBA,,297,5714,7.9,.490,.340,.223,3.2,10.6,7.0,7.9,1.3,1.0,12.1,15.1,,-0.6,3.6,3.1,.026,,-2.5,-0.6,-3.1,-1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NJN,NBA,,143,2563,7.1,.474,.283,.247,3.7,11.4,7.5,8.4,1.2,0.9,13.0,14.3,,-0.8,2.1,1.2,.023,,-3.7,-0.2,-4.0,-1.3
2 seasons,,DAL,NBA,,80,1728,8.6,.507,.334,.220,2.4,8.0,5.3,7.8,1.5,1.3,11.1,15.5,,0.3,1.3,1.6,.045,,-1.7,-0.1,-1.8,0.1
1 season,,TOR,NBA,,67,1392,8.6,.502,.434,.193,3.3,12.6,8.1,7.4,1.1,0.6,11.8,16.1,,0.1,0.2,0.3,.011,,-1.0,-1.7,-2.7,-0.3
1 season,,SAC,NBA,,7,31,-4.8,.125,.500,.000,7.2,3.8,5.5,0.0,1.6,0.0,11.1,12.6,,-0.1,0.0,-0.1,-0.179,,-9.4,-3.1,-12.5,-0.1
