Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,20,OKC,NBA,PF,13,54,0.7,.368,.000,.000,6.6,14.5,10.6,2.9,1.9,0.0,17.4,19.1,,-0.2,0.1,-0.1,-0.077,,-8.9,-1.6,-10.5,-0.1
2010-11,21,OKC,NBA,PF,13,85,3.5,.366,.000,.500,8.6,24.0,16.5,0.0,1.2,2.6,19.0,22.5,,-0.3,0.1,-0.2,-0.113,,-12.5,-4.7,-17.2,-0.3
2011-12,22,CHA,NBA,C,65,1465,13.0,.473,.086,.190,7.3,18.8,12.8,7.5,0.8,2.6,10.4,22.5,,-0.4,0.6,0.2,.007,,-3.3,-1.7,-5.0,-1.1
2012-13,23,CHA,NBA,PF,53,1428,12.3,.465,.369,.176,5.5,22.0,13.5,10.1,1.2,1.8,10.9,21.7,,-0.6,0.7,0.1,.005,,-1.9,-1.7,-3.6,-0.6
2013-14,24,TOT,NBA,C,45,414,12.8,.544,.539,.121,6.2,18.2,12.1,5.5,1.8,2.1,13.4,20.9,,0.1,0.4,0.5,.057,,-1.5,-1.8,-3.3,-0.1
2013-14,24,LAC,NBA,C,27,167,7.8,.503,.609,.094,4.8,16.1,10.6,5.5,1.8,1.4,16.3,21.1,,-0.2,0.2,0.0,.012,,-2.8,-1.3,-4.1,-0.1
2013-14,24,PHI,NBA,C,18,247,16.1,.569,.495,.139,7.2,19.6,13.1,5.5,1.8,2.6,11.6,20.8,,0.2,0.2,0.4,.087,,-0.7,-2.1,-2.8,0.0
Career,,,NBA,,189,3446,12.2,.474,.255,.179,6.4,20.1,13.1,8.1,1.1,2.2,11.3,21.9,,-1.4,1.9,0.6,.008,,-2.8,-1.8,-4.6,-2.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,CHA,NBA,,118,2893,12.6,.469,.224,.183,6.4,20.3,13.1,8.8,1.0,2.2,10.6,22.1,,-0.9,1.3,0.4,.006,,-2.6,-1.7,-4.3,-1.7
1 season,,LAC,NBA,,27,167,7.8,.503,.609,.094,4.8,16.1,10.6,5.5,1.8,1.4,16.3,21.1,,-0.2,0.2,0.0,.012,,-2.8,-1.3,-4.1,-0.1
2 seasons,,OKC,NBA,,26,139,2.4,.367,.000,.298,7.8,20.3,14.2,1.1,1.5,1.6,18.4,21.2,,-0.5,0.2,-0.3,-0.099,,-11.1,-3.5,-14.6,-0.4
1 season,,PHI,NBA,,18,247,16.1,.569,.495,.139,7.2,19.6,13.1,5.5,1.8,2.6,11.6,20.8,,0.2,0.2,0.4,.087,,-0.7,-2.1,-2.8,0.0
