Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,20,GSW,NBA,PF,38,376,17.2,.583,.000,.357,10.4,18.1,14.1,3.4,0.8,4.3,9.1,16.0,,0.8,0.3,1.1,.142,,-1.8,-0.6,-2.4,0.0
2008-09,21,GSW,NBA,PF,39,688,18.7,.570,.016,.346,9.8,15.0,12.4,4.9,1.6,3.7,7.5,19.0,,1.4,0.4,1.9,.131,,-0.2,-0.9,-1.2,0.1
2010-11,23,TOT,NBA,PF,37,379,15.9,.540,.000,.265,9.2,18.2,13.6,5.1,1.5,3.4,9.7,17.2,,0.4,0.4,0.8,.099,,-2.6,-0.2,-2.8,-0.1
2010-11,23,GSW,NBA,PF,21,195,16.2,.600,.000,.222,8.0,16.1,11.9,4.1,0.8,3.9,12.6,17.9,,0.3,0.1,0.4,.091,,-2.6,-1.5,-4.1,-0.1
2010-11,23,NJN,NBA,PF,16,184,15.5,.472,.000,.315,10.6,20.5,15.4,6.2,2.3,2.9,6.1,16.5,,0.2,0.2,0.4,.107,,-2.7,1.2,-1.5,0.0
2011-12,24,DAL,NBA,C,49,791,21.6,.632,.004,.352,8.9,15.8,12.4,2.9,1.5,6.4,7.2,17.0,,2.2,1.3,3.5,.215,,0.2,2.4,2.6,0.9
2012-13,25,DAL,NBA,C,64,1149,21.0,.606,.007,.238,8.4,16.7,12.6,5.6,1.2,5.2,7.1,19.0,,2.8,1.3,4.1,.172,,0.5,1.1,1.6,1.0
2013-14,26,DAL,NBA,C,58,1077,23.5,.695,.000,.320,11.0,15.1,13.1,4.7,1.5,4.2,8.5,17.4,,4.1,1.0,5.1,.227,,3.1,0.6,3.6,1.5
2014-15,27,TOT,NBA,PF,75,1449,20.4,.660,.008,.309,9.6,14.7,12.1,4.4,1.7,5.1,7.6,13.6,,4.3,1.8,6.1,.202,,1.2,2.4,3.6,2.0
2014-15,27,DAL,NBA,PF,27,505,25.7,.762,.000,.356,11.0,12.9,11.9,3.2,1.7,6.8,7.7,14.9,,2.2,0.6,2.9,.274,,4.0,2.8,6.8,1.1
2014-15,27,BOS,NBA,PF,8,86,15.0,.571,.000,.190,8.8,12.9,10.8,14.0,0.6,4.5,18.0,14.1,,0.1,0.1,0.2,.106,,-2.2,1.8,-0.4,0.0
2014-15,27,PHO,NBA,PF,40,858,17.8,.600,.014,.290,8.9,16.0,12.4,4.1,1.9,4.2,6.4,12.8,,2.0,1.1,3.0,.170,,-0.1,2.3,2.1,0.9
2015-16,28,MEM,NBA,PF,12,212,18.3,.663,.000,.462,7.2,16.3,11.6,4.7,1.2,6.6,13.8,15.4,,0.4,0.2,0.7,.147,,-0.9,1.9,0.9,0.2
Career,,,NBA,,372,6121,20.5,.627,.006,.310,9.5,15.8,12.6,4.5,1.4,4.9,8.0,16.8,,16.5,6.8,23.3,.183,,0.6,1.1,1.7,5.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,DAL,NBA,,198,3522,22.6,.658,.004,.301,9.7,15.4,12.6,4.4,1.4,5.4,7.6,17.5,,11.3,4.3,15.7,.213,,1.7,1.5,3.2,4.6
3 seasons,,GSW,NBA,,98,1259,17.9,.578,.010,.330,9.7,16.1,12.8,4.3,1.2,3.9,8.7,17.9,,2.5,0.9,3.4,.128,,-1.1,-0.9,-2.0,0.0
1 season,,PHO,NBA,,40,858,17.8,.600,.014,.290,8.9,16.0,12.4,4.1,1.9,4.2,6.4,12.8,,2.0,1.1,3.0,.170,,-0.1,2.3,2.1,0.9
1 season,,NJN,NBA,,16,184,15.5,.472,.000,.315,10.6,20.5,15.4,6.2,2.3,2.9,6.1,16.5,,0.2,0.2,0.4,.107,,-2.7,1.2,-1.5,0.0
1 season,,MEM,NBA,,12,212,18.3,.663,.000,.462,7.2,16.3,11.6,4.7,1.2,6.6,13.8,15.4,,0.4,0.2,0.7,.147,,-0.9,1.9,0.9,0.2
1 season,,BOS,NBA,,8,86,15.0,.571,.000,.190,8.8,12.9,10.8,14.0,0.6,4.5,18.0,14.1,,0.1,0.1,0.2,.106,,-2.2,1.8,-0.4,0.0
