Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,20,NOK,NBA,PF,29,268,9.1,.434,.000,.271,7.8,22.8,15.1,1.8,0.6,2.2,12.3,15.6,,-0.2,0.3,0.1,.013,,-6.6,-1.5,-8.2,-0.4
2006-07,21,NOK,NBA,PF,21,162,7.2,.411,.023,.364,9.1,21.9,15.3,2.8,0.7,1.5,16.4,17.2,,-0.2,0.2,0.0,-0.011,,-7.2,-1.5,-8.7,-0.3
2007-08,22,DAL,NBA,C,79,1557,15.9,.564,.008,.400,9.2,16.3,12.9,6.1,0.8,2.3,12.4,19.8,,2.4,1.9,4.3,.132,,-1.0,0.0,-1.0,0.4
2008-09,23,DAL,NBA,C,81,1574,16.4,.571,.012,.413,9.5,17.2,13.4,4.3,0.9,2.6,12.5,20.0,,2.5,1.6,4.1,.124,,-1.6,-0.6,-2.1,-0.1
2009-10,24,ORL,NBA,PF,50,648,16.5,.556,.000,.270,10.0,12.6,11.3,5.1,1.0,3.1,10.6,20.9,,1.0,1.0,2.0,.147,,-1.5,0.5,-1.0,0.2
2010-11,25,ORL,NBA,PF,76,1980,15.9,.571,.003,.361,8.1,16.7,12.5,5.0,0.7,2.0,11.5,19.8,,3.2,3.1,6.3,.153,,-1.4,0.9,-0.5,0.7
2011-12,26,BOS,NBA,PF,59,1868,14.1,.524,.000,.258,6.3,16.3,11.5,5.1,1.0,2.2,8.5,19.8,,1.5,3.2,4.7,.122,,-2.1,1.1,-1.1,0.4
2012-13,27,BOS,NBA,PF,81,2239,12.3,.535,.003,.255,7.0,15.2,11.2,6.0,1.0,2.3,10.9,15.5,,2.0,2.7,4.7,.101,,-2.3,1.1,-1.2,0.4
2013-14,28,BOS,NBA,PF,82,2266,15.0,.549,.008,.330,7.8,15.9,11.8,6.4,0.8,2.4,10.9,18.2,,3.2,1.9,5.1,.107,,-1.3,0.2,-1.2,0.5
2014-15,29,BOS,NBA,PF,82,1929,16.3,.557,.047,.313,7.8,14.9,11.3,8.6,1.1,1.3,9.6,19.5,,3.4,1.9,5.3,.132,,-0.4,-0.1,-0.5,0.7
2015-16,30,LAL,NBA,PF,66,1342,17.4,.619,.006,.467,8.1,15.0,11.4,9.2,1.2,3.2,9.9,13.9,,3.4,0.7,4.1,.146,,0.1,0.7,0.8,1.0
Career,,,NBA,,706,15833,15.1,.554,.011,.334,8.0,16.0,12.0,6.1,0.9,2.3,10.8,18.4,,22.2,18.3,40.6,.123,,-1.5,0.4,-1.1,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,BOS,NBA,,304,8302,14.4,.542,.015,.291,7.3,15.6,11.5,6.5,1.0,2.1,10.0,18.2,,10.1,9.7,19.8,.115,,-1.6,0.5,-1.0,2.0
2 seasons,,DAL,NBA,,160,3131,16.2,.568,.010,.407,9.4,16.8,13.1,5.2,0.8,2.4,12.5,19.9,,4.9,3.5,8.4,.128,,-1.3,-0.3,-1.6,0.3
2 seasons,,ORL,NBA,,126,2628,16.1,.567,.002,.337,8.6,15.7,12.2,5.0,0.8,2.3,11.3,20.0,,4.2,4.1,8.3,.151,,-1.4,0.8,-0.6,0.9
1 season,,LAL,NBA,,66,1342,17.4,.619,.006,.467,8.1,15.0,11.4,9.2,1.2,3.2,9.9,13.9,,3.4,0.7,4.1,.146,,0.1,0.7,0.8,1.0
2 seasons,,NOK,NBA,,50,430,8.4,.425,.009,.307,8.3,22.5,15.2,2.2,0.6,1.9,14.0,16.2,,-0.4,0.4,0.0,.004,,-6.8,-1.5,-8.4,-0.7
