Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2011-12,20,DET,NBA,PG,66,2129,11.7,.511,.359,.178,1.8,10.3,5.9,20.8,1.2,0.4,17.1,21.7,,0.3,1.0,1.3,.029,,0.0,-2.0,-1.9,0.0
2012-13,21,DET,NBA,PG,75,2365,12.0,.511,.372,.256,2.6,9.6,6.0,21.3,1.3,0.3,17.3,22.8,,0.3,0.8,1.1,.022,,0.0,-2.1,-2.1,-0.1
2013-14,22,MIL,NBA,PG,72,2400,16.5,.523,.310,.296,2.1,10.3,6.1,26.6,1.5,0.6,13.2,26.8,,2.4,0.4,2.8,.055,,2.0,-2.9,-0.9,0.7
2014-15,23,TOT,NBA,PG-SG,63,2035,17.1,.543,.361,.251,1.6,12.0,6.8,27.4,2.3,0.4,16.1,25.9,,2.0,2.5,4.5,.106,,1.7,-0.7,1.1,1.6
2014-15,23,MIL,NBA,PG,52,1688,18.5,.556,.341,.260,1.8,13.1,7.5,28.6,2.5,0.5,16.7,26.6,,2.0,2.4,4.4,.124,,2.3,-0.1,2.2,1.8
2014-15,23,PHO,NBA,SG,11,347,10.5,.472,.469,.203,0.6,6.7,3.6,21.6,0.9,0.2,12.9,22.6,,0.0,0.1,0.1,.016,,-1.1,-3.5,-4.5,-0.2
2015-16,24,PHO,NBA,SG,52,1870,14.7,.522,.392,.204,2.0,9.9,5.9,24.4,1.6,0.9,15.4,26.2,,0.7,0.9,1.7,.043,,1.2,-1.5,-0.3,0.8
Career,,,NBA,,328,10799,14.4,.522,.357,.241,2.0,10.4,6.1,24.1,1.6,0.5,15.7,24.6,,5.7,5.6,11.3,.050,,1.0,-1.9,-0.9,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,DET,NBA,,141,4494,11.9,.511,.366,.220,2.2,9.9,6.0,21.1,1.3,0.3,17.2,22.3,,0.6,1.8,2.4,.025,,0.0,-2.0,-2.0,0.0
2 seasons,,MIL,NBA,,124,4088,17.3,.536,.322,.281,2.0,11.5,6.7,27.5,1.9,0.5,14.6,26.7,,4.4,2.8,7.1,.084,,2.1,-1.7,0.4,2.4
2 seasons,,PHO,NBA,,63,2217,14.0,.515,.403,.204,1.8,9.4,5.5,24.0,1.5,0.8,15.0,25.7,,0.7,1.0,1.8,.039,,0.8,-1.8,-1.0,0.6
