Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2006-07,22,POR,NBA,SG,57,2015,18.0,.548,.191,.315,3.5,12.1,7.7,20.9,1.8,0.4,11.8,23.0,,3.8,1.0,4.8,.114,,2.8,-0.7,2.1,2.1
2007-08 ★,23,POR,NBA,SG,74,2792,19.4,.531,.184,.319,3.4,11.2,7.3,28.2,1.5,0.4,9.3,24.9,,5.9,2.1,8.0,.138,,3.6,-0.2,3.5,3.9
2008-09 ★,24,POR,NBA,SG,78,2903,24.0,.573,.167,.383,4.4,11.6,7.9,25.4,1.7,0.6,9.0,27.4,,10.9,2.6,13.5,.223,,5.9,-0.2,5.8,5.7
2009-10 ★,25,POR,NBA,SG,65,2419,21.3,.568,.213,.424,3.7,10.9,7.3,23.1,1.4,0.5,9.5,26.7,,7.0,2.1,9.1,.180,,4.8,-0.7,4.1,3.7
2010-11,26,POR,NBA,SG,47,1310,13.9,.491,.218,.264,2.5,9.1,5.6,16.8,1.5,0.8,8.6,22.8,,1.2,0.9,2.1,.077,,-0.5,-1.6,-2.1,0.0
2012-13,28,MIN,NBA,SG,5,122,8.3,.368,.257,.286,2.7,10.6,6.6,28.8,1.3,0.0,15.1,17.0,,-0.1,0.1,0.0,-0.017,,-3.9,-1.5,-5.5,-0.1
Career,,,NBA,,326,11561,20.0,.548,.191,.352,3.6,11.1,7.3,23.9,1.6,0.5,9.6,25.3,,28.6,8.8,37.4,.155,,3.8,-0.5,3.2,15.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,POR,NBA,,321,11439,20.1,.549,.190,.353,3.6,11.1,7.3,23.8,1.6,0.5,9.6,25.4,,28.8,8.7,37.5,.157,,3.8,-0.5,3.3,15.3
1 season,,MIN,NBA,,5,122,8.3,.368,.257,.286,2.7,10.6,6.6,28.8,1.3,0.0,15.1,17.0,,-0.1,0.1,0.0,-0.017,,-3.9,-1.5,-5.5,-0.1
