Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2003-04,23,LAL,NBA,C,35,442,14.0,.505,.035,.199,7.8,18.2,12.9,7.4,1.9,2.7,10.0,17.3,,0.5,0.7,1.1,.122,,-2.0,0.9,-1.1,0.1
2004-05,24,LAL,NBA,C,72,1087,14.1,.522,.472,.088,6.6,15.8,11.2,5.7,1.1,1.8,6.2,19.4,,1.5,0.5,2.0,.088,,0.3,-2.6,-2.3,-0.1
2005-06,25,LAL,NBA,PF,81,1535,15.6,.578,.164,.198,6.8,14.2,10.5,8.3,1.3,1.6,9.9,18.3,,3.0,1.5,4.5,.142,,0.1,-0.8,-0.7,0.5
2006-07,26,LAL,NBA,PF,65,1018,14.8,.525,.282,.115,7.1,17.6,12.4,10.8,1.3,2.0,10.6,21.2,,0.9,0.8,1.8,.083,,-0.6,-1.3,-1.9,0.0
2007-08,27,TOT,NBA,PF,51,629,8.6,.489,.491,.090,5.3,14.2,10.0,6.8,1.1,1.4,13.8,20.5,,-0.4,0.7,0.4,.029,,-2.6,-1.1,-3.7,-0.3
2007-08,27,LAL,NBA,PF,6,70,1.2,.308,.476,.190,6.6,9.1,7.9,5.6,1.4,0.0,14.9,16.9,,-0.2,0.1,-0.1,-0.087,,-6.3,-2.0,-8.3,-0.1
2007-08,27,ORL,NBA,PF,45,559,9.5,.508,.493,.080,5.2,14.8,10.2,6.9,1.0,1.6,13.7,21.0,,-0.2,0.7,0.5,.044,,-2.1,-1.0,-3.1,-0.2
2008-09,28,TOT,NBA,PF,30,171,7.6,.470,.395,.079,4.8,16.1,10.6,5.1,0.9,1.3,14.2,24.8,,-0.3,0.3,0.0,-0.001,,-5.3,-1.7,-6.9,-0.2
2008-09,28,ORL,NBA,PF,21,146,7.6,.495,.417,.100,4.8,15.8,10.4,4.7,1.1,0.0,14.9,23.3,,-0.2,0.2,0.1,.019,,-4.5,-2.0,-6.5,-0.2
2008-09,28,HOU,NBA,PF,9,25,7.4,.375,.313,.000,4.9,17.9,11.7,7.3,0.0,8.7,11.1,33.5,,-0.1,0.0,-0.1,-0.120,,-9.6,-0.2,-9.8,0.0
2009-10,29,HOU,NBA,PF,15,44,2.4,.403,.391,.304,2.5,21.6,11.7,3.7,0.0,3.3,18.7,32.2,,-0.2,0.0,-0.2,-0.191,,-11.4,-4.4,-15.8,-0.2
2010-11,30,LAC,NBA,PF,40,447,11.6,.534,.465,.141,5.0,20.0,12.6,5.6,1.4,1.9,12.2,20.5,,0.1,0.5,0.6,.064,,-1.8,-1.6,-3.5,-0.2
2011-12,31,TOT,NBA,PF,32,276,5.8,.396,.510,.102,4.1,22.3,13.1,5.7,1.1,1.5,9.7,18.7,,-0.3,0.3,-0.1,-0.011,,-4.8,-2.1,-6.9,-0.3
2011-12,31,LAC,NBA,PF,16,121,0.0,.305,.551,.082,3.9,18.9,11.3,2.5,0.9,2.8,7.3,20.9,,-0.4,0.1,-0.2,-0.098,,-7.7,-2.8,-10.5,-0.3
2011-12,31,WAS,NBA,PF,16,155,10.4,.484,.469,.122,4.3,25.0,14.6,8.2,1.3,0.5,11.9,16.9,,0.0,0.2,0.2,.058,,-2.5,-1.6,-4.0,-0.1
Career,,,NBA,,421,5649,13.1,.524,.329,.135,6.3,16.4,11.4,7.5,1.2,1.8,10.2,19.7,,4.8,5.3,10.2,.086,,-1.1,-1.3,-2.4,-0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,LAL,NBA,,259,4152,14.6,.538,.275,.144,6.9,15.8,11.4,8.1,1.3,1.8,9.2,19.2,,5.7,3.6,9.3,.107,,-0.4,-1.2,-1.6,0.4
2 seasons,,ORL,NBA,,66,705,9.1,.505,.476,.084,5.1,15.0,10.3,6.4,1.0,1.2,14.0,21.4,,-0.3,0.9,0.6,.039,,-2.6,-1.2,-3.8,-0.3
2 seasons,,LAC,NBA,,56,568,9.1,.484,.484,.128,4.8,19.8,12.3,4.9,1.3,2.1,11.1,20.6,,-0.2,0.6,0.3,.029,,-3.1,-1.9,-5.0,-0.4
2 seasons,,HOU,NBA,,24,69,4.2,.392,.359,.179,3.4,20.3,11.7,5.0,0.0,5.3,16.0,32.7,,-0.3,0.1,-0.2,-0.165,,-10.8,-2.9,-13.6,-0.2
1 season,,WAS,NBA,,16,155,10.4,.484,.469,.122,4.3,25.0,14.6,8.2,1.3,0.5,11.9,16.9,,0.0,0.2,0.2,.058,,-2.5,-1.6,-4.0,-0.1
