Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2003-04,19,DEN,NBA,SF,82,2995,17.6,.509,.146,.358,6.8,12.1,9.4,13.8,1.7,1.0,12.7,28.5,,3.7,2.4,6.1,.098,,1.2,-1.2,0.1,1.6
2004-05,20,DEN,NBA,SF,75,2608,16.7,.526,.128,.466,6.3,12.5,9.4,13.1,1.3,0.9,13.1,29.2,,2.3,2.6,4.9,.090,,0.1,-1.3,-1.2,0.5
2005-06,21,DEN,NBA,SF,80,2941,22.0,.563,.097,.451,4.9,10.7,7.8,14.3,1.5,1.1,10.4,32.0,,6.8,2.6,9.4,.153,,3.0,-1.6,1.5,2.6
2006-07 ★,22,DEN,NBA,SF,65,2486,22.1,.552,.103,.391,6.6,11.1,8.9,19.2,1.5,0.7,12.1,33.4,,5.2,2.1,7.3,.140,,3.1,-1.1,2.0,2.5
2007-08 ★,23,DEN,NBA,SF,77,2806,21.1,.568,.111,.398,7.0,14.9,11.0,16.1,1.7,1.0,12.7,30.2,,5.2,3.0,8.2,.140,,2.2,-0.6,1.6,2.6
2008-09,24,DEN,NBA,SF,66,2277,19.0,.532,.141,.388,5.6,17.0,11.5,18.1,1.7,0.8,12.3,31.5,,2.4,2.6,5.0,.105,,0.8,-0.5,0.3,1.3
2009-10 ★,25,DEN,NBA,SF,69,2634,22.2,.548,.125,.407,6.7,13.1,9.9,15.9,1.7,0.9,10.6,33.4,,5.6,2.4,7.9,.145,,2.7,-1.3,1.4,2.3
2010-11 ★,26,TOT,NBA,SF,77,2751,21.7,.557,.167,.403,5.0,18.3,11.8,14.7,1.2,1.3,10.4,32.0,,5.4,2.5,7.9,.138,,1.8,-1.3,0.5,1.8
2010-11 ★,26,DEN,NBA,SF,50,1774,21.2,.547,.130,.431,5.2,19.3,12.4,14.3,1.2,1.3,11.0,32.5,,2.8,1.9,4.7,.127,,0.9,-0.8,0.2,1.0
2010-11 ★,26,NYK,NBA,SF,27,977,22.8,.575,.233,.351,4.8,16.5,10.6,15.3,1.3,1.1,9.4,31.0,,2.6,0.6,3.2,.157,,3.5,-2.3,1.2,0.8
2011-12 ★,27,NYK,NBA,SF,55,1876,21.1,.525,.198,.358,5.4,15.9,10.6,21.0,1.7,1.0,10.8,31.8,,3.7,2.6,6.2,.160,,2.9,0.0,2.9,2.3
2012-13 ★,28,NYK,NBA,PF,67,2482,24.8,.560,.278,.344,6.1,15.9,10.8,14.1,1.1,1.1,9.3,35.6,,7.5,2.0,9.5,.184,,4.7,-2.3,2.4,2.8
2013-14 ★,29,NYK,NBA,PF,77,2982,24.4,.561,.253,.329,5.6,19.4,12.3,15.8,1.7,1.5,9.5,32.4,,8.1,2.5,10.7,.172,,4.6,-1.0,3.6,4.2
2014-15 ★,30,NYK,NBA,SF,40,1428,21.5,.531,.222,.294,5.7,16.0,10.7,18.0,1.5,1.0,8.9,32.2,,2.2,0.6,2.9,.097,,3.5,-2.2,1.4,1.2
2015-16 ★,31,NYK,NBA,SF,72,2530,20.3,.530,.237,.308,4.3,19.5,12.0,21.9,1.3,1.1,10.6,29.7,,3.9,2.5,6.4,.121,,2.8,-0.2,2.6,2.9
Career,,,NBA,,902,32796,21.1,.545,.168,.379,5.9,15.0,10.4,16.4,1.5,1.0,11.1,31.6,,61.9,30.4,92.3,.135,,2.6,-1.1,1.5,28.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,DEN,NBA,,564,20521,20.2,.544,.121,.410,6.2,13.5,9.9,15.5,1.6,0.9,11.8,31.2,,33.9,19.5,53.5,.125,,1.8,-1.1,0.8,14.3
6 seasons,,NYK,NBA,,338,12275,22.7,.547,.242,.330,5.3,17.5,11.3,17.7,1.4,1.2,9.8,32.3,,28.0,10.8,38.9,.152,,3.8,-1.2,2.6,14.3
