Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2006-07,21,NOK,NBA,PF,43,534,8.0,.430,.000,.250,9.3,13.9,11.6,3.5,0.8,3.4,13.1,14.4,,-0.3,0.5,0.3,.025,,-4.8,0.6,-4.2,-0.3
2007-08,22,TOT,NBA,PF,14,87,0.0,.217,.000,.714,7.6,16.2,11.8,0.0,1.2,4.5,24.6,12.6,,-0.4,0.1,-0.2,-0.134,,-12.4,-0.3,-12.6,-0.2
2007-08,22,CLE,NBA,PF,7,68,2.4,.210,.000,1.333,8.1,17.3,12.6,0.0,1.6,5.8,29.6,9.0,,-0.2,0.1,-0.1,-0.070,,-10.9,1.6,-9.3,-0.1
2007-08,22,CHI,NBA,PF,7,19,-8.7,.225,.000,.250,5.7,12.3,8.9,0.0,0.0,0.0,18.4,25.3,,-0.2,0.0,-0.1,-0.362,,-17.6,-7.1,-24.7,-0.1
2008-09,23,TOT,NBA,PF,18,84,10.8,.453,.000,.640,6.9,15.1,11.0,3.9,0.6,3.5,5.9,18.1,,0.0,0.1,0.0,.022,,-5.5,-2.1,-7.6,-0.1
2008-09,23,CHI,NBA,PF,11,61,18.0,.515,.000,.667,7.6,14.9,11.3,5.4,0.8,4.8,0.0,19.8,,0.1,0.1,0.2,.139,,-1.7,-1.0,-2.7,0.0
2008-09,23,SAC,NBA,PF,7,23,-8.3,.102,.000,.500,5.0,15.3,10.2,0.0,0.0,0.0,29.1,13.4,,-0.1,0.0,-0.1,-0.288,,-15.4,-5.1,-20.5,-0.1
Career,,,NBA,,75,705,7.3,.414,.000,.345,8.8,14.4,11.5,3.1,0.8,3.6,13.2,14.6,,-0.6,0.7,0.1,.005,,-5.8,0.1,-5.7,-0.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,NOK,NBA,,43,534,8.0,.430,.000,.250,9.3,13.9,11.6,3.5,0.8,3.4,13.1,14.4,,-0.3,0.5,0.3,.025,,-4.8,0.6,-4.2,-0.3
2 seasons,,CHI,NBA,,18,80,11.6,.444,.000,.552,7.1,14.3,10.7,4.1,0.6,3.6,5.3,21.2,,0.0,0.1,0.0,.020,,-5.5,-2.4,-8.0,-0.1
1 season,,CLE,NBA,,7,68,2.4,.210,.000,1.333,8.1,17.3,12.6,0.0,1.6,5.8,29.6,9.0,,-0.2,0.1,-0.1,-0.070,,-10.9,1.6,-9.3,-0.1
1 season,,SAC,NBA,,7,23,-8.3,.102,.000,.500,5.0,15.3,10.2,0.0,0.0,0.0,29.1,13.4,,-0.1,0.0,-0.1,-0.288,,-15.4,-5.1,-20.5,-0.1
