Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,22,NYK,NBA,C,65,1572,18.1,.541,.014,.358,10.6,18.5,14.5,6.6,1.0,2.5,11.6,24.2,,2.6,0.9,3.5,.108,,-0.2,-1.4,-1.6,0.2
2006-07,23,NYK,NBA,PF,72,1896,10.5,.464,.026,.157,5.8,18.9,12.4,6.2,1.0,1.8,12.0,20.0,,-0.6,1.6,0.9,.024,,-4.3,-0.5,-4.7,-1.3
2007-08,24,POR,NBA,C,78,1342,14.8,.529,.022,.241,9.4,21.6,15.5,7.4,1.2,1.6,9.9,19.6,,1.6,1.6,3.2,.114,,-1.6,0.2,-1.4,0.2
2008-09,25,POR,NBA,PF,63,746,10.0,.465,.124,.135,6.7,16.7,11.6,5.3,1.3,1.7,9.3,19.7,,0.0,0.8,0.8,.054,,-3.4,-0.8,-4.3,-0.4
2009-10,26,PHO,NBA,C,81,2190,15.0,.598,.558,.172,3.6,17.6,11.0,7.4,1.5,2.4,8.8,16.7,,4.3,2.2,6.4,.141,,2.8,0.9,3.7,3.2
2010-11,27,PHO,NBA,PF,77,2541,12.8,.557,.530,.129,3.0,20.4,11.7,5.7,0.9,2.3,7.7,16.9,,2.7,2.1,4.7,.090,,0.7,0.5,1.2,2.0
2011-12,28,PHO,NBA,PF,64,1669,14.9,.519,.429,.134,4.8,20.6,12.8,8.3,1.3,3.0,8.8,19.3,,1.8,1.9,3.7,.106,,0.7,1.2,1.9,1.7
2013-14,30,PHO,NBA,PF,82,2312,13.2,.555,.555,.122,3.6,16.6,10.1,6.4,1.3,2.1,9.8,17.3,,2.9,2.4,5.3,.109,,0.9,0.2,1.1,1.8
2014-15,31,ORL,NBA,PF,75,1870,9.5,.546,.710,.072,1.6,16.4,8.9,7.4,1.3,1.7,13.4,14.1,,0.7,1.4,2.1,.053,,-0.9,0.0,-0.9,0.5
2015-16,32,TOT,NBA,PF-C,70,1200,12.9,.586,.677,.101,3.2,18.6,10.9,8.7,1.2,1.9,10.6,15.1,,1.6,1.3,3.0,.119,,0.5,0.0,0.5,0.7
2015-16,32,ORL,NBA,PF,44,754,11.8,.586,.651,.113,3.3,17.6,10.4,8.4,1.4,2.2,13.3,13.2,,0.8,0.8,1.5,.097,,-0.3,0.4,0.1,0.4
2015-16,32,CLE,NBA,C,26,446,14.9,.586,.708,.087,3.1,20.4,11.8,9.1,0.9,1.5,7.2,18.3,,0.9,0.6,1.5,.157,,1.9,-0.8,1.1,0.3
Career,,,NBA,,727,17338,13.3,.539,.375,.165,4.8,18.6,11.8,6.9,1.2,2.1,10.1,18.1,,17.5,16.2,33.7,.093,,-0.2,0.1,0.0,8.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,PHO,NBA,,304,8712,13.9,.558,.522,.139,3.6,18.7,11.3,6.8,1.2,2.4,8.8,17.4,,11.6,8.5,20.1,.111,,1.2,0.7,1.9,8.7
2 seasons,,POR,NBA,,141,2088,13.1,.506,.060,.201,8.5,19.8,14.1,6.7,1.2,1.6,9.7,19.6,,1.6,2.4,4.0,.093,,-2.3,-0.2,-2.4,-0.2
2 seasons,,NYK,NBA,,137,3468,13.9,.503,.020,.254,7.9,18.7,13.3,6.4,1.0,2.1,11.8,21.9,,2.0,2.5,4.5,.062,,-2.4,-0.9,-3.3,-1.1
2 seasons,,ORL,NBA,,119,2624,10.2,.558,.694,.083,2.1,16.7,9.3,7.7,1.3,1.8,13.4,13.8,,1.4,2.2,3.6,.066,,-0.7,0.1,-0.6,0.9
1 season,,CLE,NBA,,26,446,14.9,.586,.708,.087,3.1,20.4,11.8,9.1,0.9,1.5,7.2,18.3,,0.9,0.6,1.5,.157,,1.9,-0.8,1.1,0.3
