Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,21,TOR,NBA,PF,81,2361,16.4,.521,.228,.170,9.0,18.4,13.5,6.5,1.3,2.1,8.9,21.7,,2.9,1.0,3.9,.079,,0.3,-1.3,-1.0,0.6
2006-07,22,MIL,NBA,PF,39,984,15.8,.547,.225,.232,7.3,20.1,13.6,6.1,1.3,0.9,11.3,21.8,,1.2,0.6,1.7,.085,,-0.6,-2.3,-2.9,-0.2
2007-08,23,MIL,NBA,PF,76,1829,14.9,.502,.227,.193,8.9,21.5,15.0,7.5,0.9,1.5,10.8,24.4,,0.9,0.9,1.7,.045,,-1.4,-2.6,-4.0,-0.9
2008-09,24,MIL,NBA,PF,78,2095,18.6,.529,.237,.220,8.3,21.6,14.7,12.4,1.2,2.2,10.4,28.5,,2.2,2.7,4.9,.112,,1.0,-0.3,0.7,1.4
2009-10,25,DET,NBA,PF,78,1848,16.0,.526,.341,.157,5.2,19.6,12.0,5.2,1.4,2.5,7.7,23.9,,2.1,1.4,3.5,.092,,0.1,-2.0,-1.9,0.1
2010-11,26,DET,NBA,PF,76,1666,15.9,.553,.456,.164,3.5,18.8,10.8,5.0,1.4,2.0,8.0,23.1,,2.1,1.0,3.1,.091,,0.9,-2.7,-1.8,0.1
2011-12,27,DET,NBA,PF,13,180,16.2,.484,.495,.077,5.8,26.8,15.9,6.4,2.1,2.2,6.9,26.0,,0.1,0.3,0.4,.096,,-0.2,-2.3,-2.5,0.0
2012-13,28,DET,NBA,PF,69,1092,14.0,.481,.558,.106,5.1,20.6,12.7,8.4,1.5,2.8,7.4,21.9,,0.4,1.1,1.6,.069,,-0.3,-1.2,-1.5,0.1
2013-14,29,DET,NBA,PF,20,180,12.7,.469,.609,.152,3.5,17.9,10.3,5.5,1.1,2.2,6.7,25.0,,0.0,0.1,0.1,.034,,-1.2,-4.0,-5.2,-0.1
2014-15,30,DAL,NBA,PF,64,678,17.4,.534,.610,.097,4.8,19.3,12.1,4.7,1.1,2.6,6.9,26.7,,0.6,0.7,1.4,.096,,1.2,-3.1,-1.8,0.0
2015-16,31,DAL,NBA,PF,62,665,11.9,.473,.526,.073,4.0,21.1,12.5,6.2,1.4,1.9,8.4,25.3,,-0.6,0.8,0.2,.016,,-2.8,-1.8,-4.6,-0.4
Career,,,NBA,,656,13578,16.0,.520,.345,.167,6.7,20.1,13.2,7.2,1.3,2.1,9.0,24.1,,12.0,10.6,22.6,.080,,0.0,-1.8,-1.8,0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,DET,NBA,,256,4966,15.4,.522,.442,.145,4.6,19.8,11.8,5.9,1.4,2.4,7.7,23.3,,4.8,4.0,8.7,.085,,0.2,-2.1,-1.9,0.1
3 seasons,,MIL,NBA,,193,4908,16.6,.522,.231,.213,8.4,21.3,14.6,9.3,1.1,1.7,10.7,25.6,,4.3,4.1,8.3,.082,,-0.2,-1.6,-1.8,0.3
2 seasons,,DAL,NBA,,126,1343,14.7,.505,.570,.086,4.4,20.2,12.3,5.5,1.2,2.3,7.6,26.0,,0.1,1.5,1.6,.056,,-0.7,-2.5,-3.2,-0.4
1 season,,TOR,NBA,,81,2361,16.4,.521,.228,.170,9.0,18.4,13.5,6.5,1.3,2.1,8.9,21.7,,2.9,1.0,3.9,.079,,0.3,-1.3,-1.0,0.6
