Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,21,HOU,NBA,SF,74,1488,14.1,.545,.441,.154,2.8,14.6,8.5,9.7,1.2,0.5,7.4,19.4,,1.9,1.2,3.1,.100,,0.3,-1.5,-1.1,0.3
2010-11,22,HOU,NBA,SF,78,1738,14.2,.534,.418,.210,3.4,15.0,9.2,11.5,1.2,0.7,8.5,19.9,,2.2,1.2,3.4,.095,,0.6,-1.3,-0.7,0.6
2011-12,23,HOU,NBA,SF,58,1298,14.9,.556,.465,.149,3.4,16.2,9.7,9.3,1.2,0.4,9.9,19.5,,2.0,1.0,3.0,.111,,1.2,-1.3,0.0,0.6
2012-13,24,MIN,NBA,SF,23,508,12.6,.516,.424,.220,3.3,13.0,8.0,8.3,1.4,1.1,9.9,20.5,,0.3,0.4,0.7,.066,,-0.7,-1.1,-1.8,0.0
2013-14,25,MIN,NBA,SF,41,751,9.7,.505,.472,.154,2.7,12.5,7.5,6.2,1.2,0.2,8.1,16.7,,0.3,0.6,0.9,.059,,-1.3,-1.3,-2.6,-0.1
2014-15,26,MIN,NBA,SF,67,1286,12.2,.537,.367,.208,2.8,15.1,8.8,8.0,1.7,0.6,10.3,16.3,,1.1,0.2,1.3,.049,,-0.9,-1.9,-2.8,-0.3
2015-16,27,TOT,NBA,SF,66,929,10.7,.514,.360,.234,5.0,12.6,8.8,10.2,1.7,0.9,14.3,14.5,,0.4,1.0,1.4,.073,,-2.0,0.3,-1.7,0.1
2015-16,27,IND,NBA,SF,49,729,11.1,.502,.356,.247,4.7,13.4,9.1,9.9,2.0,1.0,12.6,14.9,,0.3,1.0,1.3,.084,,-2.0,0.8,-1.2,0.1
2015-16,27,PHO,NBA,SF,17,200,9.2,.567,.378,.178,6.4,9.4,7.9,11.4,0.7,0.4,21.1,13.1,,0.1,0.0,0.1,.034,,-2.0,-1.6,-3.6,-0.1
Career,,,NBA,,407,7998,13.0,.534,.424,.185,3.3,14.5,8.8,9.4,1.4,0.6,9.4,18.3,,8.2,5.7,13.9,.083,,-0.1,-1.2,-1.4,1.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,HOU,NBA,,210,4524,14.4,.543,.439,.174,3.2,15.2,9.1,10.3,1.2,0.6,8.5,19.6,,6.2,3.4,9.6,.101,,0.7,-1.4,-0.7,1.5
3 seasons,,MIN,NBA,,131,2545,11.6,.522,.412,.194,2.9,13.9,8.2,7.5,1.5,0.6,9.6,17.3,,1.7,1.3,2.9,.055,,-1.0,-1.6,-2.5,-0.4
1 season,,IND,NBA,,49,729,11.1,.502,.356,.247,4.7,13.4,9.1,9.9,2.0,1.0,12.6,14.9,,0.3,1.0,1.3,.084,,-2.0,0.8,-1.2,0.1
1 season,,PHO,NBA,,17,200,9.2,.567,.378,.178,6.4,9.4,7.9,11.4,0.7,0.4,21.1,13.1,,0.1,0.0,0.1,.034,,-2.0,-1.6,-3.6,-0.1
