Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,22,NJN,NBA,SG,44,585,12.2,.531,.068,.352,2.8,7.4,5.1,14.8,1.1,1.0,13.2,18.7,,0.4,0.2,0.6,.046,,-2.7,-2.3,-5.0,-0.4
2009-10,23,NJN,NBA,SF,67,1730,11.5,.512,.094,.274,2.9,10.7,6.6,9.5,1.7,0.8,13.1,19.6,,-0.2,0.9,0.7,.020,,-2.9,-1.1,-4.0,-0.9
2010-11,24,MIL,NBA,SF,44,884,11.5,.517,.168,.326,0.9,11.0,5.8,9.8,1.8,1.2,10.1,18.4,,0.4,1.3,1.6,.088,,-2.8,0.6,-2.3,-0.1
2012-13,26,DAL,NBA,SG,6,63,8.3,.462,.286,.714,0.0,8.7,4.4,8.9,1.6,0.0,5.2,14.0,,0.0,0.0,0.1,.041,,-3.2,-1.8,-5.0,0.0
2013-14,27,CHA,NBA,SF,49,1016,12.2,.588,.524,.325,1.8,11.5,6.6,7.9,1.5,1.2,11.1,14.7,,1.1,1.2,2.4,.113,,-0.3,0.4,0.1,0.5
2014-15,28,LAC,NBA,SG,12,103,3.3,.387,.333,.381,1.1,11.8,6.6,5.0,0.5,0.0,0.0,10.7,,0.0,0.1,0.0,.020,,-4.4,-1.6,-6.1,-0.1
Career,,,NBA,,222,4381,11.5,.528,.195,.312,2.1,10.5,6.2,9.8,1.5,1.0,11.8,17.8,,1.7,3.6,5.4,.059,,-2.3,-0.6,-2.9,-1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NJN,NBA,,111,2315,11.6,.516,.088,.292,2.9,9.8,6.2,10.9,1.5,0.9,13.2,19.4,,0.2,1.1,1.3,.027,,-2.9,-1.4,-4.2,-1.3
1 season,,CHA,NBA,,49,1016,12.2,.588,.524,.325,1.8,11.5,6.6,7.9,1.5,1.2,11.1,14.7,,1.1,1.2,2.4,.113,,-0.3,0.4,0.1,0.5
1 season,,MIL,NBA,,44,884,11.5,.517,.168,.326,0.9,11.0,5.8,9.8,1.8,1.2,10.1,18.4,,0.4,1.3,1.6,.088,,-2.8,0.6,-2.3,-0.1
1 season,,LAC,NBA,,12,103,3.3,.387,.333,.381,1.1,11.8,6.6,5.0,0.5,0.0,0.0,10.7,,0.0,0.1,0.0,.020,,-4.4,-1.6,-6.1,-0.1
1 season,,DAL,NBA,,6,63,8.3,.462,.286,.714,0.0,8.7,4.4,8.9,1.6,0.0,5.2,14.0,,0.0,0.0,0.1,.041,,-3.2,-1.8,-5.0,0.0
