Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2004-05,22,CHI,NBA,PG,82,2177,9.8,.471,.543,.137,1.2,9.7,5.5,28.6,2.0,0.1,18.7,13.1,,0.8,3.3,4.1,.090,,-1.2,0.8,-0.5,0.8
2005-06,23,CHI,NBA,PG,74,2155,12.9,.538,.517,.266,1.5,10.2,5.9,26.4,1.7,0.1,16.3,15.0,,2.7,2.5,5.2,.116,,0.7,0.2,0.9,1.6
2006-07,24,CHI,NBA,PG,78,1906,11.9,.529,.507,.209,1.4,8.7,5.1,24.4,1.9,0.2,16.6,14.8,,1.9,3.0,4.8,.121,,-0.1,0.1,0.0,1.0
2007-08,25,CHI,NBA,PG,66,1490,11.1,.508,.451,.233,1.4,7.6,4.4,26.5,1.7,0.1,15.8,13.4,,1.3,1.0,2.3,.075,,-0.9,-1.9,-2.9,-0.3
2008-09,26,NYK,NBA,PG,79,2906,12.2,.569,.477,.307,1.6,7.8,4.6,27.9,1.2,0.2,22.2,14.9,,3.1,1.0,4.2,.069,,0.1,-1.5,-1.4,0.4
2009-10,27,NYK,NBA,PG,67,2072,10.7,.501,.572,.211,1.5,8.4,4.9,25.9,1.5,0.1,18.2,13.1,,1.5,0.5,1.9,.045,,-0.9,-2.0,-2.9,-0.5
2010-11,28,ORL,NBA,PG,51,774,5.6,.446,.403,.194,1.4,6.3,3.9,22.4,1.1,0.2,30.3,12.0,,-0.7,0.9,0.2,.014,,-4.7,-0.4,-5.1,-0.6
2011-12,29,ORL,NBA,PG,63,1226,8.4,.558,.586,.103,1.3,8.4,4.8,19.1,1.5,0.6,27.6,11.2,,0.4,0.9,1.3,.051,,-2.1,-0.2,-2.3,-0.1
2012-13,30,LAL,NBA,PG,46,820,8.0,.517,.740,.106,1.5,7.5,4.6,22.8,1.2,0.1,23.7,9.2,,0.6,0.4,1.0,.056,,-1.7,-1.7,-3.5,-0.3
Career,,,NBA,,606,15526,10.8,.523,.520,.219,1.4,8.5,5.0,25.7,1.6,0.2,19.7,13.5,,11.6,13.5,25.0,.077,,-0.8,-0.7,-1.5,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,CHI,NBA,,300,7728,11.5,.513,.509,.211,1.4,9.2,5.3,26.6,1.8,0.1,16.9,14.1,,6.7,9.8,16.4,.102,,-0.3,-0.1,-0.4,3.1
2 seasons,,NYK,NBA,,146,4978,11.6,.543,.515,.269,1.6,8.1,4.7,27.0,1.3,0.1,20.7,14.2,,4.6,1.5,6.1,.059,,-0.3,-1.7,-2.0,0.0
2 seasons,,ORL,NBA,,114,2000,7.3,.514,.515,.139,1.3,7.6,4.5,20.4,1.4,0.4,28.7,11.5,,-0.3,1.8,1.5,.036,,-3.1,-0.3,-3.4,-0.7
1 season,,LAL,NBA,,46,820,8.0,.517,.740,.106,1.5,7.5,4.6,22.8,1.2,0.1,23.7,9.2,,0.6,0.4,1.0,.056,,-1.7,-1.7,-3.5,-0.3
