Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,20,NOK,NBA,PG,78,2808,22.1,.546,.187,.491,2.5,14.8,8.5,38.2,3.4,0.2,13.7,22.2,,6.8,3.6,10.4,.178,,4.7,1.4,6.1,5.7
2006-07,21,NOK,NBA,PG,64,2353,22.0,.537,.164,.410,2.6,11.3,6.9,41.3,2.7,0.1,13.5,23.1,,6.2,2.6,8.8,.179,,4.5,0.1,4.6,3.9
2007-08 ★,22,NOH,NBA,PG,80,3006,28.3,.576,.193,.302,2.4,10.3,6.2,52.2,3.9,0.1,12.1,25.7,,13.2,4.6,17.8,.284,,8.3,0.9,9.2,8.5
2008-09 ★,23,NOH,NBA,PG,78,3002,30.0,.599,.140,.418,2.8,14.6,8.7,54.5,3.9,0.3,13.5,27.5,,13.3,5.0,18.3,.292,,9.1,2.1,11.2,10.0
2009-10 ★,24,NOH,NBA,PG,45,1712,23.7,.584,.199,.298,1.3,11.9,6.5,45.4,2.9,0.4,13.5,22.2,,5.7,1.5,7.3,.204,,5.2,-0.4,4.9,3.0
2010-11 ★,25,NOH,NBA,PG,80,2880,23.7,.578,.197,.414,1.6,12.3,6.9,45.8,3.5,0.1,13.9,21.1,,9.5,4.4,13.9,.232,,5.4,1.0,6.4,6.1
2011-12 ★,26,LAC,NBA,PG,60,2181,27.0,.581,.239,.339,2.3,9.4,5.8,43.8,3.8,0.2,10.8,24.3,,10.4,2.3,12.7,.278,,8.0,-0.1,7.9,5.4
2012-13 ★,27,LAC,NBA,PG,70,2335,26.4,.594,.271,.377,2.8,10.5,6.7,46.5,3.8,0.4,13.7,22.6,,10.6,3.4,13.9,.287,,7.2,0.3,7.5,5.6
2013-14 ★,28,LAC,NBA,PG,62,2171,25.9,.580,.244,.397,2.0,11.4,6.9,48.9,3.5,0.1,12.4,23.7,,9.0,3.2,12.2,.270,,6.8,0.6,7.4,5.2
2014-15 ★,29,LAC,NBA,PG,82,2857,26.0,.596,.298,.274,2.1,12.5,7.4,47.4,2.8,0.4,12.7,23.7,,12.9,3.2,16.1,.270,,7.5,0.0,7.5,6.9
2015-16 ★,30,LAC,NBA,PG,74,2420,26.2,.575,.295,.294,1.8,12.0,7.0,52.7,3.1,0.4,13.4,27.1,,9.2,3.5,12.7,.253,,7.3,0.5,7.8,6.0
Career,,,NBA,,773,27725,25.7,.578,.221,.363,2.2,12.0,7.1,47.2,3.4,0.2,13.0,24.0,,106.8,37.2,144.1,.249,,6.8,0.7,7.5,66.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,NOKNOH,NBA,,425,15761,25.2,.571,.178,.390,2.3,12.6,7.4,46.6,3.4,0.2,13.3,23.8,,54.8,21.6,76.4,.233,,6.4,1.0,7.4,37.3
5 seasons,,LAC,NBA,,348,11964,26.3,.585,.272,.330,2.2,11.2,6.8,47.9,3.4,0.3,12.6,24.3,,52.0,15.6,67.6,.271,,7.4,0.3,7.6,29.1
