Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,18,UTA,NBA,PG,23,203,13.8,.456,.263,.316,10.7,12.0,11.3,14.3,1.9,0.8,9.4,21.8,,0.1,0.2,0.3,.076,,-0.2,-1.8,-2.1,0.0
2006-07,19,UTA,NBA,SG,37,373,2.8,.400,.276,.198,3.6,7.8,5.7,10.0,1.5,0.9,18.2,18.5,,-0.7,0.3,-0.5,-0.062,,-5.3,-1.4,-6.7,-0.4
2007-08,20,UTA,NBA,SG,60,689,14.2,.574,.326,.220,2.9,10.9,6.9,11.5,2.4,0.9,9.4,18.6,,1.1,0.8,1.9,.134,,1.1,-0.7,0.4,0.4
2008-09,21,UTA,NBA,SG,72,1623,11.8,.546,.319,.158,3.3,9.0,6.1,10.4,1.5,0.7,9.6,18.4,,1.6,1.3,2.9,.086,,0.1,-1.1,-0.9,0.4
2009-10,22,UTA,NBA,SF,63,1497,10.8,.515,.386,.169,3.4,9.7,6.6,10.7,2.0,0.9,11.8,20.5,,0.2,1.7,1.9,.061,,-0.6,-0.6,-1.1,0.3
2010-11,23,UTA,NBA,SF,78,1969,14.4,.507,.377,.218,3.3,12.4,7.8,11.7,2.0,1.6,8.6,25.1,,1.2,1.3,2.5,.061,,0.4,-2.1,-1.6,0.2
2011-12,24,UTA,NBA,SG,56,1145,12.4,.484,.323,.292,2.7,9.0,5.8,9.6,2.1,1.3,9.2,22.7,,0.7,0.8,1.5,.063,,-0.2,-1.5,-1.7,0.1
2012-13,25,CLE,NBA,SF,65,1364,15.3,.551,.534,.174,1.9,13.4,7.4,8.1,1.9,1.0,9.5,23.9,,1.8,0.8,2.6,.092,,1.7,-2.8,-1.1,0.3
2013-14,26,CLE,NBA,SG,51,984,16.0,.569,.516,.183,2.0,9.9,5.9,9.1,2.4,1.3,9.1,22.0,,1.5,0.9,2.5,.122,,2.0,-1.2,0.7,0.7
2014-15,27,IND,NBA,SG,70,1841,14.1,.525,.539,.195,1.1,11.7,6.4,7.1,1.7,1.1,7.5,23.9,,1.3,2.3,3.6,.093,,1.0,-1.3,-0.3,0.8
2015-16,28,IND,NBA,SF,64,1464,14.0,.547,.610,.196,1.9,11.1,6.5,7.0,1.8,1.6,9.2,22.8,,1.2,1.9,3.1,.103,,1.0,-1.2,-0.2,0.7
Career,,,NBA,,639,13152,13.3,.527,.442,.200,2.7,10.8,6.7,9.5,1.9,1.2,9.4,22.2,,10.2,12.1,22.4,.082,,0.5,-1.4,-1.0,3.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,UTA,NBA,,389,7499,12.2,.512,.348,.211,3.4,10.2,6.8,10.9,1.9,1.1,10.0,21.3,,4.3,6.3,10.5,.068,,-0.2,-1.3,-1.5,1.0
2 seasons,,IND,NBA,,134,3305,14.1,.534,.570,.195,1.4,11.4,6.5,7.0,1.7,1.3,8.3,23.4,,2.6,4.2,6.7,.097,,1.0,-1.3,-0.3,1.4
2 seasons,,CLE,NBA,,116,2348,15.6,.558,.527,.178,2.0,11.9,6.8,8.5,2.1,1.1,9.3,23.1,,3.4,1.7,5.1,.104,,1.8,-2.1,-0.3,1.0
