Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,20,MIA,NBA,SG,59,1441,7.9,.480,.463,.111,1.6,13.3,7.4,9.1,0.8,0.5,10.5,19.8,,-1.0,0.6,-0.4,-0.013,,-2.8,-2.3,-5.1,-1.1
2008-09,21,MIA,NBA,SF,75,1833,10.3,.512,.612,.087,1.2,11.2,6.2,6.2,1.1,0.4,5.9,18.2,,0.9,1.3,2.2,.056,,-0.7,-2.3,-3.0,-0.5
2009-10,22,MIA,NBA,SG,45,691,7.5,.422,.498,.099,1.5,12.3,7.0,9.8,1.1,1.2,8.3,19.6,,-0.7,0.8,0.1,.010,,-3.4,-1.1,-4.5,-0.4
2010-11,23,OKC,NBA,SG,43,598,12.8,.630,.851,.110,1.6,12.1,7.0,5.3,1.2,0.1,8.2,15.7,,1.2,0.4,1.6,.126,,2.5,-2.7,-0.2,0.3
2011-12,24,OKC,NBA,SG,57,989,9.2,.509,.770,.074,1.5,11.9,7.0,2.3,1.1,0.8,5.0,14.7,,0.8,0.8,1.6,.078,,-0.2,-2.4,-2.6,-0.1
2012-13,25,TOT,NBA,SG,49,441,5.8,.398,.545,.072,1.8,14.1,7.9,6.7,0.9,1.2,8.0,19.2,,-0.6,0.4,-0.2,-0.019,,-4.8,-2.2,-7.0,-0.6
2012-13,25,HOU,NBA,SG,16,165,8.8,.456,.508,.051,3.5,8.8,6.2,9.1,1.8,0.9,9.0,17.6,,0.0,0.1,0.1,.030,,-2.0,-1.4,-3.4,-0.1
2012-13,25,CHI,NBA,SG,33,276,4.0,.366,.565,.083,0.8,17.3,8.9,5.2,0.4,1.4,7.4,20.1,,-0.6,0.3,-0.3,-0.048,,-6.4,-2.7,-9.2,-0.5
Career,,,NBA,,328,5993,9.1,.494,.599,.093,1.5,12.2,6.9,6.6,1.1,0.6,7.6,18.0,,0.6,4.3,4.9,.039,,-1.4,-2.2,-3.6,-2.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIA,NBA,,179,3965,8.9,.484,.538,.098,1.4,12.1,6.7,7.9,1.0,0.6,8.1,19.0,,-0.8,2.7,1.9,.023,,-1.9,-2.1,-4.0,-2.0
2 seasons,,OKC,NBA,,100,1587,10.6,.555,.801,.088,1.5,12.0,7.0,3.4,1.2,0.5,6.2,15.1,,2.0,1.2,3.2,.096,,0.8,-2.5,-1.7,0.1
1 season,,CHI,NBA,,33,276,4.0,.366,.565,.083,0.8,17.3,8.9,5.2,0.4,1.4,7.4,20.1,,-0.6,0.3,-0.3,-0.048,,-6.4,-2.7,-9.2,-0.5
1 season,,HOU,NBA,,16,165,8.8,.456,.508,.051,3.5,8.8,6.2,9.1,1.8,0.9,9.0,17.6,,0.0,0.1,0.1,.030,,-2.0,-1.4,-3.4,-0.1
