Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2003-04,23,MEM,NBA,SG,20,154,2.5,.311,.075,.208,5.1,11.9,8.4,12.0,1.7,2.8,17.2,20.4,,-0.5,0.2,-0.4,-0.114,,-8.0,0.2,-7.8,-0.2
2004-05,24,MEM,NBA,SG,52,649,9.6,.534,.316,.337,2.0,10.7,6.4,5.5,1.1,1.3,11.7,18.0,,0.2,0.6,0.9,.066,,-2.6,-1.2,-3.8,-0.3
2005-06,25,MEM,NBA,SF,71,967,8.0,.462,.080,.354,2.5,10.4,6.5,7.0,2.2,1.2,14.1,17.8,,-0.9,1.5,0.6,.029,,-5.3,0.4,-4.8,-0.7
2006-07,26,MEM,NBA,SG,78,1671,9.6,.542,.026,.377,3.4,7.6,5.5,6.6,1.2,1.0,14.6,17.0,,0.7,0.0,0.7,.019,,-2.4,-1.8,-4.1,-0.9
2007-08,27,SAC,NBA,SG,25,206,13.5,.537,.113,.962,4.1,15.7,10.0,8.9,2.0,2.3,11.7,18.5,,0.2,0.2,0.4,.096,,-2.5,-0.5,-3.0,-0.1
2008-09,28,DEN,NBA,SG,79,1426,9.0,.533,.051,.449,4.9,8.7,6.8,8.2,1.7,1.0,14.5,14.7,,0.7,1.3,2.0,.067,,-2.3,0.0,-2.3,-0.1
2009-10,29,IND,NBA,SF,76,1892,10.8,.527,.051,.413,2.7,10.5,6.6,12.9,1.0,1.5,14.9,20.1,,0.1,1.6,1.8,.045,,-3.2,-0.3,-3.6,-0.8
2010-11,30,IND,NBA,SG,45,589,13.7,.558,.182,.421,0.8,11.4,6.1,9.5,1.7,0.9,10.9,21.4,,0.6,0.6,1.2,.102,,-1.7,-1.4,-3.1,-0.2
2011-12,31,IND,NBA,SF,65,1052,10.3,.533,.274,.352,2.5,10.0,6.3,9.6,1.2,0.8,12.4,16.0,,1.1,0.8,2.0,.090,,-0.9,-1.1,-2.0,0.0
2012-13,32,TOT,NBA,SF,78,1016,6.4,.482,.221,.509,2.7,8.4,5.6,6.7,1.1,0.5,12.3,14.0,,0.0,0.6,0.6,.026,,-3.8,-1.2,-5.0,-0.8
2012-13,32,DAL,NBA,SF,50,635,6.9,.494,.264,.586,2.3,9.8,6.1,6.1,0.8,0.6,11.1,14.2,,0.2,0.3,0.4,.033,,-3.3,-1.5,-4.8,-0.4
2012-13,32,ATL,NBA,SF,28,381,5.4,.460,.146,.378,3.4,5.9,4.7,7.6,1.6,0.2,14.3,13.6,,-0.2,0.3,0.1,.015,,-4.6,-0.7,-5.3,-0.3
2014-15,34,LAC,NBA,SF,33,123,1.9,.406,.190,.524,0.9,9.0,5.0,2.1,1.2,0.0,3.7,9.8,,0.0,0.1,0.0,.013,,-5.2,-1.3,-6.4,-0.1
2015-16,35,CLE,NBA,SF,1,42,10.3,.464,.143,.000,2.7,10.7,6.7,7.3,1.2,3.9,0.0,15.1,,0.0,0.1,0.1,.096,,-3.1,0.9,-2.2,0.0
Career,,,NBA,,623,9787,9.5,.519,.118,.408,3.0,9.6,6.3,8.6,1.4,1.1,13.6,17.2,,2.4,7.5,9.9,.048,,-2.9,-0.7,-3.6,-4.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MEM,NBA,,221,3441,8.8,.507,.100,.354,3.0,9.2,6.1,6.7,1.5,1.2,14.1,17.6,,-0.4,2.2,1.8,.025,,-3.5,-1.0,-4.4,-2.1
3 seasons,,IND,NBA,,186,3533,11.1,.535,.132,.399,2.3,10.5,6.4,11.3,1.2,1.2,13.6,19.1,,1.9,3.1,5.0,.068,,-2.3,-0.7,-3.0,-0.9
1 season,,DEN,NBA,,79,1426,9.0,.533,.051,.449,4.9,8.7,6.8,8.2,1.7,1.0,14.5,14.7,,0.7,1.3,2.0,.067,,-2.3,0.0,-2.3,-0.1
1 season,,DAL,NBA,,50,635,6.9,.494,.264,.586,2.3,9.8,6.1,6.1,0.8,0.6,11.1,14.2,,0.2,0.3,0.4,.033,,-3.3,-1.5,-4.8,-0.4
1 season,,LAC,NBA,,33,123,1.9,.406,.190,.524,0.9,9.0,5.0,2.1,1.2,0.0,3.7,9.8,,0.0,0.1,0.0,.013,,-5.2,-1.3,-6.4,-0.1
1 season,,ATL,NBA,,28,381,5.4,.460,.146,.378,3.4,5.9,4.7,7.6,1.6,0.2,14.3,13.6,,-0.2,0.3,0.1,.015,,-4.6,-0.7,-5.3,-0.3
1 season,,SAC,NBA,,25,206,13.5,.537,.113,.962,4.1,15.7,10.0,8.9,2.0,2.3,11.7,18.5,,0.2,0.2,0.4,.096,,-2.5,-0.5,-3.0,-0.1
1 season,,CLE,NBA,,1,42,10.3,.464,.143,.000,2.7,10.7,6.7,7.3,1.2,3.9,0.0,15.1,,0.0,0.1,0.1,.096,,-3.1,0.9,-2.2,0.0
