Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,22,CLE,NBA,SG,20,115,12.3,.480,.564,.154,8.7,8.9,8.8,6.7,2.7,2.0,10.7,18.9,,0.0,0.2,0.2,.083,,-0.6,-0.1,-0.8,0.0
2010-11,23,SAS,NBA,SG,8,92,13.2,.586,.543,.000,3.9,14.8,9.5,3.6,1.1,0.8,12.5,20.0,,0.0,0.1,0.1,.076,,-0.7,-2.3,-3.0,0.0
2011-12,24,SAS,NBA,SG,66,1522,15.5,.579,.491,.210,4.2,12.9,8.6,8.3,2.0,2.2,11.4,17.6,,2.5,2.0,4.5,.142,,2.0,1.2,3.2,2.0
2012-13,25,SAS,NBA,SG,80,2201,14.1,.600,.623,.119,2.0,10.3,6.4,9.5,2.1,1.8,11.9,16.6,,2.6,3.2,5.9,.128,,2.0,1.3,3.3,2.9
2013-14,26,SAS,NBA,SG,68,1651,13.9,.580,.630,.125,1.8,13.4,7.8,8.9,2.0,2.7,12.5,16.7,,1.4,2.8,4.2,.122,,1.2,2.1,3.3,2.2
2014-15,27,SAS,NBA,SG,81,2312,16.5,.596,.619,.172,2.7,13.9,8.4,10.3,2.2,2.8,10.5,17.5,,4.0,3.9,7.8,.163,,2.8,2.2,5.0,4.1
2015-16,28,SAS,NBA,SG,79,2062,10.5,.492,.622,.082,2.7,13.6,8.4,9.3,2.0,2.4,11.4,14.6,,0.2,4.1,4.2,.099,,-0.2,3.0,2.7,2.5
Career,,,NBA,,402,9955,14.1,.571,.600,.139,2.7,12.8,7.9,9.3,2.1,2.4,11.5,16.6,,10.9,16.1,27.0,.130,,1.5,1.9,3.5,13.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,SAS,NBA,,382,9840,14.1,.572,.601,.139,2.6,12.8,7.9,9.3,2.1,2.4,11.5,16.6,,10.8,16.0,26.8,.131,,1.6,2.0,3.5,13.7
1 season,,CLE,NBA,,20,115,12.3,.480,.564,.154,8.7,8.9,8.8,6.7,2.7,2.0,10.7,18.9,,0.0,0.2,0.2,.083,,-0.6,-0.1,-0.8,0.0
