Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,23,CLE,NBA,PF,51,430,7.2,.483,.023,.407,9.2,14.7,12.0,2.7,1.3,0.7,12.1,12.7,,0.2,0.7,0.8,.094,,-4.1,-0.1,-4.2,-0.2
2009-10,24,TOT,NBA,PF,28,123,-0.1,.352,.133,.200,9.0,12.0,10.6,4.6,0.9,2.5,28.5,17.2,,-0.4,0.2,-0.3,-0.104,,-9.2,-0.1,-9.3,-0.2
2009-10,24,CLE,NBA,PF,27,114,0.4,.380,.120,.240,8.8,11.9,10.4,4.9,0.9,2.7,32.0,16.6,,-0.4,0.1,-0.2,-0.094,,-8.8,0.5,-8.3,-0.2
2009-10,24,MIL,NBA,PF,1,9,-6.3,.200,.200,.000,12.0,13.3,12.6,0.0,0.0,0.0,0.0,25.2,,-0.1,0.0,0.0,-0.227,,-13.3,-8.0,-21.2,0.0
2010-11,25,SAC,NBA,PF,59,486,12.3,.521,.070,.310,11.2,10.8,11.0,4.6,1.2,0.4,11.4,18.0,,0.4,0.3,0.7,.069,,-1.9,-2.4,-4.3,-0.3
Career,,,NBA,,138,1039,8.7,.491,.062,.328,10.1,12.6,11.4,3.8,1.2,0.8,13.8,15.7,,0.2,1.1,1.3,.059,,-3.7,-1.2,-4.9,-0.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,CLE,NBA,,78,544,5.8,.461,.045,.369,9.1,14.1,11.7,3.2,1.2,1.2,17.3,13.5,,-0.2,0.8,0.6,.054,,-5.1,0.0,-5.1,-0.4
1 season,,SAC,NBA,,59,486,12.3,.521,.070,.310,11.2,10.8,11.0,4.6,1.2,0.4,11.4,18.0,,0.4,0.3,0.7,.069,,-1.9,-2.4,-4.3,-0.3
1 season,,MIL,NBA,,1,9,-6.3,.200,.200,.000,12.0,13.3,12.6,0.0,0.0,0.0,0.0,25.2,,-0.1,0.0,0.0,-0.227,,-13.3,-8.0,-21.2,0.0
