Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,22,NOH,NBA,PG,76,2109,16.5,.546,.146,.221,2.2,8.6,5.3,32.9,1.9,0.1,18.9,23.1,,1.9,1.1,2.9,.067,,0.2,-1.9,-1.7,0.2
2010-11,23,IND,NBA,PG,79,2360,15.6,.534,.143,.267,1.9,8.6,5.3,28.9,1.9,0.4,16.6,21.9,,2.1,2.2,4.3,.087,,0.2,-0.9,-0.7,0.8
2011-12,24,IND,NBA,PG,60,1878,13.6,.526,.180,.293,1.8,9.3,5.6,24.9,1.4,0.6,16.2,17.0,,2.3,1.5,3.8,.098,,0.5,-0.8,-0.3,0.8
2012-13,25,DAL,NBA,PG,81,2372,16.3,.575,.188,.380,1.5,8.7,5.1,26.8,2.2,0.3,17.0,19.6,,4.0,1.7,5.6,.114,,1.1,-0.9,0.2,1.3
2013-14,26,LAC,NBA,PG,80,2069,16.2,.575,.272,.323,2.6,7.3,5.0,21.9,2.2,0.6,14.3,19.7,,3.8,2.0,5.9,.136,,1.4,-0.4,1.0,1.6
2014-15,27,SAC,NBA,PG,45,1565,17.5,.575,.293,.335,1.4,8.7,5.2,27.2,2.2,0.7,15.1,20.9,,3.0,0.8,3.8,.116,,2.8,-1.3,1.5,1.4
2015-16,28,SAC,NBA,PG,74,2219,15.9,.591,.280,.291,1.4,6.8,4.1,21.7,1.6,0.1,12.9,19.2,,4.5,0.7,5.2,.113,,1.8,-2.2,-0.4,0.9
Career,,,NBA,,495,14572,15.9,.561,.210,.298,1.8,8.3,5.1,26.4,1.9,0.4,15.9,20.2,,21.6,10.0,31.6,.104,,1.1,-1.2,-0.1,6.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,IND,NBA,,139,4238,14.7,.531,.156,.276,1.9,8.9,5.4,27.1,1.7,0.5,16.5,19.7,,4.5,3.7,8.1,.092,,0.3,-0.8,-0.5,1.6
2 seasons,,SAC,NBA,,119,3784,16.5,.584,.285,.309,1.4,7.6,4.6,24.0,1.9,0.4,13.8,19.9,,7.5,1.5,9.0,.115,,2.2,-1.8,0.4,2.3
1 season,,DAL,NBA,,81,2372,16.3,.575,.188,.380,1.5,8.7,5.1,26.8,2.2,0.3,17.0,19.6,,4.0,1.7,5.6,.114,,1.1,-0.9,0.2,1.3
1 season,,LAC,NBA,,80,2069,16.2,.575,.272,.323,2.6,7.3,5.0,21.9,2.2,0.6,14.3,19.7,,3.8,2.0,5.9,.136,,1.4,-0.4,1.0,1.6
1 season,,NOH,NBA,,76,2109,16.5,.546,.146,.221,2.2,8.6,5.3,32.9,1.9,0.1,18.9,23.1,,1.9,1.1,2.9,.067,,0.2,-1.9,-1.7,0.2
