Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,23,TOT,NBA,SF,14,44,-1.9,.326,.565,.000,0.0,13.3,6.4,3.9,0.0,5.3,14.8,27.4,,-0.3,0.0,-0.2,-0.234,,-11.2,-3.5,-14.7,-0.1
2007-08,23,CLE,NBA,SF,3,14,-20.8,.125,.375,.000,0.0,8.4,4.1,0.0,0.0,0.0,20.0,32.4,,-0.2,0.0,-0.2,-0.615,,-23.3,-8.3,-31.6,-0.1
2007-08,23,CHI,NBA,SF,11,30,7.0,.433,.667,.000,0.0,15.6,7.5,5.7,0.0,7.8,11.8,25.1,,-0.1,0.0,0.0,-0.056,,-5.6,-1.2,-6.8,0.0
2008-09,24,TOT,NBA,SF,4,14,8.8,.354,.222,.222,0.0,16.2,7.8,12.2,0.0,5.2,0.0,31.0,,0.0,0.0,0.0,-0.108,,-9.7,-7.6,-17.3,-0.1
2008-09,24,CHI,NBA,SF,2,5,-3.5,.250,.250,.000,0.0,0.0,0.0,34.2,0.0,0.0,0.0,35.7,,0.0,0.0,0.0,-0.283,,-9.4,-12.3,-21.7,0.0
2008-09,24,NYK,NBA,SF,2,9,15.7,.425,.200,.400,0.0,25.2,12.2,0.0,0.0,8.1,0.0,28.4,,0.0,0.0,0.0,-0.010,,-9.9,-4.9,-14.9,0.0
Career,,,NBA,,18,58,0.7,.335,.469,.063,0.0,14.0,6.8,5.9,0.0,5.3,10.8,28.3,,-0.3,0.1,-0.2,-0.203,,-10.9,-4.5,-15.3,-0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,CHI,NBA,,13,35,5.5,.395,.579,.000,0.0,13.3,6.4,9.8,0.0,6.7,9.5,26.6,,-0.1,0.0,-0.1,-0.088,,-6.1,-2.8,-8.9,-0.1
1 season,,CLE,NBA,,3,14,-20.8,.125,.375,.000,0.0,8.4,4.1,0.0,0.0,0.0,20.0,32.4,,-0.2,0.0,-0.2,-0.615,,-23.3,-8.3,-31.6,-0.1
1 season,,NYK,NBA,,2,9,15.7,.425,.200,.400,0.0,25.2,12.2,0.0,0.0,8.1,0.0,28.4,,0.0,0.0,0.0,-0.010,,-9.9,-4.9,-14.9,0.0
