Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,21,UTA,NBA,PG,80,2307,12.4,.500,.272,.168,1.8,8.4,5.1,28.6,1.4,0.6,14.4,20.3,,1.5,1.3,2.8,.059,,0.1,-2.4,-2.3,-0.2
2006-07,22,UTA,NBA,PG,80,2950,17.1,.535,.235,.273,1.7,9.3,5.5,41.6,1.4,0.4,16.9,22.2,,5.3,1.9,7.2,.117,,2.7,-2.0,0.8,2.1
2007-08,23,UTA,NBA,PG,82,3059,20.8,.595,.188,.368,1.4,8.3,4.9,43.6,1.5,0.6,17.7,23.1,,8.9,2.3,11.3,.177,,4.3,-2.2,2.1,3.2
2008-09,24,UTA,NBA,PG,68,2505,21.1,.573,.230,.390,1.1,8.1,4.6,47.8,1.5,0.6,16.5,24.7,,6.5,1.9,8.4,.160,,4.3,-2.5,1.8,2.4
2009-10 ★,25,UTA,NBA,PG,76,2802,20.6,.574,.246,.397,2.2,10.4,6.4,44.5,1.8,0.5,16.9,23.8,,7.4,3.0,10.3,.177,,4.3,-1.0,3.3,3.7
2010-11 ★,26,TOT,NBA,PG,65,2465,21.1,.566,.325,.423,1.9,10.9,6.3,45.9,1.7,0.5,16.6,25.8,,6.2,1.1,7.3,.142,,5.2,-2.4,2.8,3.0
2010-11 ★,26,UTA,NBA,PG,53,2009,22.1,.587,.320,.439,1.9,10.5,6.2,43.6,1.7,0.5,16.3,26.2,,5.9,0.8,6.7,.159,,5.9,-2.6,3.3,2.7
2010-11 ★,26,NJN,NBA,PG,12,456,17.0,.463,.349,.343,2.0,12.5,7.1,55.9,1.8,0.5,18.1,24.2,,0.3,0.3,0.6,.066,,2.4,-1.8,0.5,0.3
2011-12 ★,27,NJN,NBA,PG,55,1999,20.3,.527,.356,.317,1.3,9.6,5.3,46.6,1.8,0.8,16.7,30.1,,3.7,0.4,4.1,.099,,4.9,-2.8,2.1,2.1
2012-13,28,BRK,NBA,PG,78,2842,20.3,.574,.398,.328,1.2,8.5,4.8,37.5,1.4,0.8,14.5,24.4,,9.1,1.8,10.9,.184,,5.5,-2.0,3.5,3.9
2013-14,29,BRK,NBA,PG,64,2059,17.6,.564,.374,.302,0.9,8.9,4.9,32.8,2.4,0.5,15.0,21.8,,3.8,1.5,5.4,.125,,2.7,-1.5,1.2,1.6
2014-15,30,BRK,NBA,PG,68,2114,15.7,.504,.307,.313,1.5,11.0,6.3,33.7,1.6,0.6,14.9,22.3,,2.3,1.3,3.6,.083,,1.3,-1.2,0.1,1.1
2015-16,31,DAL,NBA,PG,65,2106,14.6,.530,.364,.266,1.0,8.9,5.0,29.3,1.5,0.6,14.8,22.0,,2.2,1.4,3.7,.083,,0.9,-1.0,-0.1,1.0
Career,,,NBA,,781,27208,18.5,.553,.295,.327,1.5,9.3,5.4,39.7,1.6,0.6,16.0,23.6,,56.9,18.0,74.9,.132,,3.4,-1.9,1.5,23.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,UTA,NBA,,439,15632,19.0,.563,.244,.342,1.7,9.1,5.4,41.8,1.5,0.5,16.6,23.3,,35.5,11.2,46.7,.143,,3.6,-2.1,1.5,13.9
5 seasons,,NJNBRK,NBA,,277,9470,18.5,.540,.362,.318,1.3,9.6,5.4,38.4,1.8,0.7,15.4,24.5,,19.2,5.4,24.6,.125,,3.7,-1.9,1.8,9.0
1 season,,DAL,NBA,,65,2106,14.6,.530,.364,.266,1.0,8.9,5.0,29.3,1.5,0.6,14.8,22.0,,2.2,1.4,3.7,.083,,0.9,-1.0,-0.1,1.0
