Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2010-11,19,TOT,NBA,PF,78,1535,13.8,.542,.000,.416,12.9,19.1,16.0,4.2,1.0,3.5,13.5,17.1,,1.5,1.4,2.9,.091,,-2.1,0.0,-2.1,0.0
2010-11,19,NJN,NBA,PF,56,1091,12.6,.540,.000,.420,13.3,19.1,16.1,3.2,0.9,2.9,14.6,16.3,,0.9,1.0,1.9,.083,,-2.5,-0.2,-2.7,-0.2
2010-11,19,UTA,NBA,PF,22,444,16.8,.545,.000,.407,12.1,19.2,15.6,6.7,1.3,4.9,11.3,19.2,,0.6,0.4,1.0,.110,,-1.1,0.5,-0.7,0.1
2011-12,20,UTA,NBA,PF,65,1376,17.1,.537,.000,.436,13.0,22.5,17.7,5.0,1.4,3.8,16.3,20.7,,1.4,1.6,3.0,.105,,-1.3,0.5,-0.8,0.4
2012-13,21,UTA,NBA,PF,77,1787,17.5,.533,.009,.458,11.9,24.0,17.9,6.8,2.0,5.7,15.9,20.6,,1.5,2.9,4.4,.117,,-1.7,2.7,1.1,1.4
2013-14,22,UTA,NBA,PF,73,2201,19.0,.556,.001,.380,10.1,23.7,16.7,7.3,1.8,3.8,12.9,20.8,,2.9,2.3,5.1,.112,,-0.8,1.4,0.7,1.5
2014-15,23,UTA,NBA,PF,74,2280,21.8,.558,.007,.362,10.0,20.7,15.4,9.4,1.4,4.3,10.2,23.8,,5.0,3.3,8.3,.175,,0.8,1.7,2.4,2.6
2015-16,24,UTA,NBA,PF,62,1983,21.6,.551,.005,.313,10.0,19.6,14.8,8.9,2.0,3.9,10.1,23.9,,3.8,3.4,7.1,.173,,0.4,2.3,2.7,2.3
Career,,,NBA,,429,11162,18.9,.548,.004,.383,11.1,21.6,16.3,7.2,1.6,4.2,12.7,21.4,,15.9,14.9,30.8,.133,,-0.6,1.5,0.9,8.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,UTA,NBA,,373,10071,19.5,.549,.004,.381,10.9,21.9,16.3,7.7,1.7,4.3,12.5,22.0,,15.0,13.9,29.0,.138,,-0.4,1.7,1.3,8.3
1 season,,NJN,NBA,,56,1091,12.6,.540,.000,.420,13.3,19.1,16.1,3.2,0.9,2.9,14.6,16.3,,0.9,1.0,1.9,.083,,-2.5,-0.2,-2.7,-0.2
