Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2011-12,20,MIN,NBA,PF,66,1418,12.9,.499,.277,.392,6.0,18.4,12.2,4.5,1.1,1.6,11.7,20.7,,0.6,1.2,1.8,.059,,-2.3,-0.8,-3.1,-0.4
2012-13,21,MIN,NBA,PF,78,1916,14.5,.515,.249,.346,5.6,20.6,12.8,4.2,1.2,1.5,10.0,23.5,,1.0,2.1,3.0,.076,,-2.1,-1.5,-3.7,-0.8
2013-14,22,TOT,NBA,SF-PF,78,1820,11.5,.524,.205,.537,4.3,15.8,10.0,4.7,1.3,0.9,11.3,16.2,,1.3,1.3,2.6,.068,,-2.1,-0.5,-2.6,-0.3
2013-14,22,MIN,NBA,PF,11,162,7.6,.442,.278,.296,2.0,15.9,8.7,0.9,1.2,1.9,8.9,17.6,,-0.1,0.2,0.0,.008,,-6.0,-1.7,-7.7,-0.2
2013-14,22,SAC,NBA,SF,67,1658,11.9,.533,.196,.568,4.6,15.8,10.1,5.1,1.4,0.8,11.6,16.1,,1.4,1.1,2.5,.073,,-1.7,-0.4,-2.1,-0.1
2014-15,23,SAC,NBA,PF,74,1462,12.8,.540,.322,.404,3.3,12.1,7.8,5.6,1.2,0.2,8.9,18.9,,1.7,0.4,2.1,.069,,-0.5,-2.7,-3.2,-0.5
2015-16,24,NYK,NBA,SF,80,1435,17.2,.550,.265,.453,3.6,18.7,11.3,8.9,1.0,0.5,8.3,23.3,,2.4,1.2,3.6,.120,,-0.1,-2.4,-2.6,-0.2
Career,,,NBA,,376,8051,13.7,.525,.262,.418,4.6,17.2,10.9,5.5,1.2,1.0,10.0,20.5,,6.9,6.2,13.0,.078,,-1.5,-1.6,-3.1,-2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIN,NBA,,155,3496,13.5,.506,.261,.361,5.6,19.5,12.4,4.2,1.1,1.5,10.6,22.1,,1.4,3.4,4.8,.066,,-2.4,-1.3,-3.6,-1.4
2 seasons,,SAC,NBA,,141,3120,12.3,.537,.263,.481,4.0,14.0,9.0,5.3,1.3,0.5,10.2,17.4,,3.1,1.6,4.6,.071,,-1.2,-1.5,-2.6,-0.5
1 season,,NYK,NBA,,80,1435,17.2,.550,.265,.453,3.6,18.7,11.3,8.9,1.0,0.5,8.3,23.3,,2.4,1.2,3.6,.120,,-0.1,-2.4,-2.6,-0.2
