Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2010-11,22,MIA,NBA,C,2,11,-6.4,.333,.000,.000,11.5,20.4,16.2,0.0,0.0,0.0,40.0,21.3,,-0.1,0.0,-0.1,-0.246,,-15.7,-5.5,-21.2,-0.1
2011-12,23,MIA,NBA,C,35,301,10.4,.498,.000,.298,11.1,16.8,14.1,4.9,1.4,2.2,13.8,19.0,,0.1,0.5,0.6,.101,,-3.4,-0.6,-4.0,-0.2
2012-13,24,TOT,NBA,C,11,32,1.6,.325,.000,.273,27.2,18.5,22.7,0.0,0.0,0.0,19.6,22.4,,-0.1,0.0,-0.1,-0.107,,-9.7,-8.2,-17.9,-0.1
2012-13,24,MIA,NBA,C,4,12,17.0,.600,.000,.000,43.5,29.1,35.9,0.0,0.0,0.0,28.6,27.9,,0.0,0.0,0.0,.114,,-3.6,-11.8,-15.5,0.0
2012-13,24,MEM,NBA,C,7,20,-7.7,.137,.000,.500,17.4,12.0,14.8,0.0,0.0,0.0,12.0,19.2,,-0.1,0.0,-0.1,-0.239,,-13.4,-6.0,-19.4,-0.1
2013-14,25,ATL,NBA,C,2,3,13.1,.000,.000,2.000,100.0,0.0,57.9,0.0,0.0,0.0,0.0,28.5,,0.0,0.0,0.0,-0.180,,-5.4,-17.3,-22.7,0.0
Career,,,NBA,,50,347,9.1,.470,.000,.303,13.4,16.9,15.3,4.2,1.2,1.9,15.1,19.5,,0.0,0.5,0.5,.068,,-4.4,-1.6,-6.0,-0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIA,NBA,,41,324,10.1,.499,.000,.275,12.4,17.4,15.0,4.5,1.3,2.0,15.5,19.4,,0.1,0.5,0.6,.090,,-3.8,-1.2,-5.0,-0.2
1 season,,MEM,NBA,,7,20,-7.7,.137,.000,.500,17.4,12.0,14.8,0.0,0.0,0.0,12.0,19.2,,-0.1,0.0,-0.1,-0.239,,-13.4,-6.0,-19.4,-0.1
1 season,,ATL,NBA,,2,3,13.1,.000,.000,2.000,100.0,0.0,57.9,0.0,0.0,0.0,0.0,28.5,,0.0,0.0,0.0,-0.180,,-5.4,-17.3,-22.7,0.0
