Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,21,CHA,NBA,PG,72,1908,14.9,.587,.396,.375,1.1,7.5,4.3,22.6,1.2,0.1,14.1,20.8,,3.6,1.5,5.1,.128,,1.6,-2.3,-0.7,0.6
2009-10,22,CHA,NBA,PG,80,1472,11.2,.516,.409,.301,0.9,6.9,4.0,21.7,1.6,0.3,13.1,17.9,,1.1,1.7,2.8,.092,,-0.9,-1.6,-2.6,-0.2
2010-11,23,CHA,NBA,PG,82,2757,15.9,.541,.348,.310,1.7,8.3,4.9,31.1,1.0,0.1,12.5,21.2,,4.9,1.3,6.2,.108,,2.4,-2.8,-0.3,1.1
2011-12,24,CHA,NBA,PG,48,1408,14.1,.493,.368,.246,1.9,7.2,4.4,38.9,1.3,0.1,16.9,21.3,,0.7,-0.2,0.5,.018,,0.8,-4.4,-3.6,-0.6
2012-13,25,IND,NBA,PG,76,1226,11.0,.527,.646,.337,1.9,6.3,4.1,21.6,1.5,0.2,16.8,15.1,,1.4,1.5,2.8,.112,,-0.4,-1.4,-1.9,0.0
2013-14,26,TOT,NBA,PG,71,1939,16.2,.569,.462,.316,0.9,6.7,3.8,28.9,1.5,0.1,13.3,22.4,,3.8,2.4,6.2,.154,,2.6,-2.2,0.4,1.2
2013-14,26,TOR,NBA,PG,10,82,1.2,.394,.458,.250,0.0,5.7,2.8,18.4,0.6,0.0,25.3,19.8,,-0.2,0.0,-0.2,-0.112,,-7.4,-3.7,-11.2,-0.2
2013-14,26,CHI,NBA,PG,61,1857,16.8,.574,.463,.318,0.9,6.7,3.9,29.3,1.5,0.1,12.8,22.5,,4.0,2.4,6.4,.166,,3.1,-2.1,1.0,1.4
2014-15,27,TOT,NBA,PG,82,1964,13.9,.527,.380,.317,1.1,7.9,4.4,28.2,1.3,0.1,16.4,19.8,,2.5,0.9,3.4,.083,,0.2,-2.7,-2.5,-0.3
2014-15,27,DET,NBA,PG,54,1287,15.8,.536,.325,.367,1.1,7.6,4.2,33.2,1.3,0.1,17.0,22.2,,2.0,0.6,2.5,.094,,0.8,-3.1,-2.4,-0.1
2014-15,27,OKC,NBA,PG,28,677,10.2,.503,.516,.194,1.1,8.4,4.8,18.5,1.2,0.1,14.8,15.1,,0.5,0.4,0.9,.063,,-0.9,-2.0,-2.8,-0.1
2015-16,28,TOT,NBA,PG,62,1178,13.9,.575,.480,.366,0.8,8.0,4.4,25.3,1.6,0.3,17.1,18.0,,2.0,0.6,2.6,.106,,1.0,-2.7,-1.7,0.1
2015-16,28,OKC,NBA,PG,34,519,8.7,.522,.504,.281,1.1,7.6,4.5,16.7,1.2,0.3,18.1,13.6,,0.4,0.3,0.7,.065,,-1.4,-1.9,-3.3,-0.2
2015-16,28,DEN,NBA,PG,28,659,18.0,.601,.467,.410,0.5,8.4,4.4,32.0,1.9,0.2,16.6,21.5,,1.6,0.3,1.9,.139,,2.8,-3.3,-0.5,0.3
Career,,,NBA,,573,13852,14.2,.544,.415,.319,1.3,7.4,4.4,27.7,1.3,0.1,14.6,20.0,,20.0,9.8,29.7,.103,,1.1,-2.5,-1.4,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,CHA,NBA,,282,7545,14.4,.539,.374,.312,1.4,7.6,4.5,28.6,1.3,0.1,13.9,20.5,,10.3,4.3,14.6,.093,,1.2,-2.7,-1.5,1.0
1 season,,IND,NBA,,76,1226,11.0,.527,.646,.337,1.9,6.3,4.1,21.6,1.5,0.2,16.8,15.1,,1.4,1.5,2.8,.112,,-0.4,-1.4,-1.9,0.0
2 seasons,,OKC,NBA,,62,1196,9.5,.511,.511,.228,1.1,8.0,4.7,17.7,1.2,0.2,16.1,14.4,,0.9,0.7,1.6,.064,,-1.1,-1.9,-3.0,-0.3
1 season,,CHI,NBA,,61,1857,16.8,.574,.463,.318,0.9,6.7,3.9,29.3,1.5,0.1,12.8,22.5,,4.0,2.4,6.4,.166,,3.1,-2.1,1.0,1.4
1 season,,DET,NBA,,54,1287,15.8,.536,.325,.367,1.1,7.6,4.2,33.2,1.3,0.1,17.0,22.2,,2.0,0.6,2.5,.094,,0.8,-3.1,-2.4,-0.1
1 season,,DEN,NBA,,28,659,18.0,.601,.467,.410,0.5,8.4,4.4,32.0,1.9,0.2,16.6,21.5,,1.6,0.3,1.9,.139,,2.8,-3.3,-0.5,0.3
1 season,,TOR,NBA,,10,82,1.2,.394,.458,.250,0.0,5.7,2.8,18.4,0.6,0.0,25.3,19.8,,-0.2,0.0,-0.2,-0.112,,-7.4,-3.7,-11.2,-0.2
