Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,22,OKC,NBA,PF,7,130,19.8,.556,.000,.260,8.7,19.8,14.2,8.3,1.2,2.8,5.1,20.0,,0.3,0.1,0.4,.157,,-0.5,-0.5,-1.0,0.0
2009-10,23,OKC,NBA,PF,12,102,25.9,.650,.000,.244,11.6,14.2,12.9,7.4,2.5,2.2,6.2,21.3,,0.4,0.2,0.6,.276,,3.3,0.0,3.3,0.1
2010-11,24,TOT,NBA,C-PF,47,685,15.3,.542,.009,.292,7.6,20.0,13.8,4.9,0.9,2.3,5.4,17.7,,1.1,0.7,1.8,.128,,-1.9,-1.0,-2.9,-0.1
2010-11,24,OKC,NBA,PF,23,219,10.1,.468,.000,.154,6.6,20.7,13.9,2.9,1.4,2.7,9.2,15.8,,0.0,0.3,0.3,.056,,-5.0,-0.5,-5.5,-0.2
2010-11,24,CHA,NBA,C,24,466,17.7,.571,.013,.351,8.0,19.6,13.8,5.8,0.7,2.1,3.8,18.6,,1.1,0.4,1.6,.161,,-0.4,-1.2,-1.7,0.0
2011-12,25,CHA,NBA,PF,58,1098,12.4,.516,.003,.173,5.0,17.2,10.9,8.1,0.8,1.6,10.2,17.8,,0.5,0.3,0.8,.034,,-3.1,-1.5,-4.6,-0.7
2012-13,26,BOS,NBA,PF,12,86,14.7,.538,.000,.391,5.7,12.0,8.9,7.5,0.6,5.5,6.9,15.9,,0.1,0.1,0.2,.117,,-3.1,1.1,-2.1,0.0
2013-14,27,CHA,NBA,PF,2,10,2.4,.000,.000,.000,0.0,22.7,11.3,0.0,5.2,0.0,0.0,4.6,,0.0,0.0,0.0,.004,,-10.3,3.4,-6.9,0.0
Career,,,NBA,,138,2111,14.5,.536,.004,.229,6.4,17.9,12.1,7.0,1.0,2.1,7.9,17.9,,2.4,1.4,3.8,.087,,-2.3,-1.1,-3.3,-0.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,CHA,NBA,,84,1574,13.9,.533,.006,.226,5.9,18.0,11.8,7.3,0.8,1.7,8.2,17.9,,1.6,0.7,2.3,.071,,-2.3,-1.4,-3.8,-0.7
3 seasons,,OKC,NBA,,42,451,16.5,.545,.000,.212,8.4,19.0,13.8,5.5,1.6,2.6,7.1,18.3,,0.7,0.6,1.3,.135,,-1.8,-0.4,-2.2,0.0
1 season,,BOS,NBA,,12,86,14.7,.538,.000,.391,5.7,12.0,8.9,7.5,0.6,5.5,6.9,15.9,,0.1,0.1,0.2,.117,,-3.1,1.1,-2.1,0.0
