Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2004-05,19,MIA,NBA,SF,3,27,5.2,.306,.364,.091,0.0,4.2,2.2,16.7,7.8,0.0,20.8,24.9,,-0.1,0.1,-0.1,-0.134,,-7.9,1.7,-6.3,0.0
2005-06,20,MIA,NBA,SF,20,132,13.2,.574,.140,.395,1.9,25.6,14.3,9.8,1.2,0.6,21.7,22.6,,0.0,0.2,0.2,.064,,-4.8,-0.8,-5.6,-0.1
2006-07,21,MIA,NBA,SF,66,1292,12.7,.489,.093,.236,3.7,20.7,12.4,12.1,1.7,2.8,13.9,17.1,,-0.1,2.0,1.9,.072,,-3.7,2.1,-1.6,0.1
2007-08,22,MIA,NBA,SF,44,1104,14.4,.537,.038,.235,5.1,19.0,11.9,9.4,1.4,3.0,8.2,15.1,,1.2,1.1,2.2,.096,,-2.3,1.4,-0.8,0.3
2008-09,23,MIA,NBA,SF,6,73,3.7,.398,.000,.300,3.3,29.8,16.4,4.2,1.5,0.0,20.9,18.4,,-0.2,0.1,-0.1,-0.086,,-10.8,-1.3,-12.1,-0.2
2009-10,24,MIA,NBA,SF,72,1496,14.5,.567,.375,.165,4.0,14.4,9.2,9.8,1.9,1.7,10.6,15.8,,2.1,2.2,4.3,.137,,0.2,1.3,1.5,1.3
2010-11,25,GSW,NBA,SF,82,3147,15.0,.539,.450,.199,3.1,12.6,7.8,11.6,2.0,1.5,9.6,19.3,,3.9,1.8,5.8,.088,,1.5,-0.4,1.1,2.5
2011-12,26,GSW,NBA,SF,61,1650,15.0,.553,.555,.186,4.1,14.9,9.6,8.8,1.8,1.2,8.2,17.3,,2.6,0.8,3.4,.099,,1.8,-0.9,0.9,1.2
2012-13,27,PHI,NBA,SF,79,1783,16.0,.551,.603,.235,2.6,17.0,9.6,13.1,1.8,1.5,8.8,18.7,,2.8,2.1,4.9,.132,,1.5,-0.2,1.3,1.5
2013-14,28,POR,NBA,SF,68,984,11.9,.524,.680,.232,3.2,17.5,10.5,9.4,1.2,1.1,10.6,16.2,,0.9,1.0,1.9,.091,,-0.1,-0.3,-0.4,0.4
2014-15,29,POR,NBA,SF,48,592,13.4,.525,.568,.221,2.6,17.2,10.0,10.2,1.7,1.3,7.9,17.1,,0.7,0.8,1.6,.128,,0.1,0.6,0.7,0.4
Career,,,NBA,,549,12280,14.4,.538,.433,.211,3.5,16.0,9.7,10.8,1.8,1.7,10.0,17.6,,13.7,12.1,25.9,.101,,0.1,0.3,0.4,7.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,MIA,NBA,,211,4124,13.6,.529,.184,.216,4.1,18.2,11.2,10.3,1.7,2.3,11.9,16.4,,2.8,5.6,8.4,.098,,-2.1,1.5,-0.6,1.5
2 seasons,,GSW,NBA,,143,4797,15.0,.543,.483,.195,3.5,13.4,8.4,10.6,1.9,1.4,9.2,18.6,,6.5,2.6,9.2,.092,,1.6,-0.5,1.0,3.7
2 seasons,,POR,NBA,,116,1576,12.5,.524,.637,.228,3.0,17.4,10.3,9.7,1.4,1.2,9.6,16.6,,1.6,1.8,3.5,.105,,0.0,0.0,0.0,0.8
1 season,,PHI,NBA,,79,1783,16.0,.551,.603,.235,2.6,17.0,9.6,13.1,1.8,1.5,8.8,18.7,,2.8,2.1,4.9,.132,,1.5,-0.2,1.3,1.5
