Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,22,PHO,NBA,PF,51,383,8.5,.420,.033,.238,5.6,12.3,9.1,7.8,0.9,2.4,12.1,21.9,,-0.5,0.2,-0.3,-0.033,,-5.8,-1.1,-6.9,-0.5
2010-11,23,TOT,NBA,SF,42,464,10.1,.456,.032,.297,9.5,15.7,12.7,3.1,0.9,3.0,13.5,20.5,,-0.4,0.7,0.3,.030,,-5.9,-0.1,-6.0,-0.5
2010-11,23,PHO,NBA,SF,9,72,11.3,.410,.000,.323,6.4,20.9,13.6,8.7,0.7,3.1,5.3,23.4,,-0.1,0.1,0.0,-0.010,,-6.0,-0.9,-6.9,-0.1
2010-11,23,ORL,NBA,SF,33,392,9.9,.468,.039,.291,10.1,14.8,12.5,2.1,0.9,3.0,15.4,20.0,,-0.3,0.7,0.3,.038,,-5.9,0.1,-5.8,-0.4
2011-12,24,ORL,NBA,PF,45,559,8.1,.405,.000,.209,7.1,18.6,12.8,5.2,1.2,4.5,14.1,14.8,,-0.5,0.8,0.3,.027,,-6.2,2.4,-3.8,-0.3
2012-13,25,LAL,NBA,PF,59,1363,12.4,.510,.269,.197,6.8,19.1,13.1,7.4,1.3,2.3,12.9,15.7,,0.7,1.5,2.3,.080,,-2.0,1.0,-0.9,0.4
2013-14,26,TOT,NBA,PF,54,768,9.1,.466,.467,.130,3.2,18.2,10.5,3.7,1.1,2.8,10.1,17.9,,-0.4,0.8,0.3,.020,,-3.9,-0.9,-4.8,-0.5
2013-14,26,CLE,NBA,PF,45,698,8.6,.467,.483,.100,3.1,17.6,10.2,3.6,1.2,2.3,10.7,17.9,,-0.5,0.7,0.2,.014,,-3.8,-1.0,-4.9,-0.5
2013-14,26,NYK,NBA,PF,9,70,13.5,.453,.286,.476,3.3,24.2,13.4,4.3,0.8,7.6,3.8,17.5,,0.0,0.1,0.1,.080,,-4.8,0.9,-3.9,0.0
2014-15,27,BRK,NBA,PF,10,93,6.7,.425,.467,.133,1.2,26.5,13.9,5.0,1.7,3.5,15.9,18.5,,-0.2,0.1,-0.1,-0.037,,-6.6,0.5,-6.1,-0.1
Career,,,NBA,,261,3630,10.2,.465,.222,.201,6.2,17.9,12.1,5.7,1.2,2.9,12.5,17.4,,-1.3,4.2,2.9,.038,,-4.1,0.5,-3.6,-1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,ORL,NBA,,78,951,8.8,.436,.019,.248,8.3,17.1,12.7,3.9,1.1,3.9,14.7,17.0,,-0.8,1.4,0.6,.031,,-6.0,1.4,-4.6,-0.6
2 seasons,,PHO,NBA,,60,455,9.0,.418,.027,.253,5.7,13.6,9.8,8.0,0.9,2.5,11.0,22.1,,-0.6,0.3,-0.3,-0.030,,-5.8,-1.1,-6.9,-0.6
1 season,,LAL,NBA,,59,1363,12.4,.510,.269,.197,6.8,19.1,13.1,7.4,1.3,2.3,12.9,15.7,,0.7,1.5,2.3,.080,,-2.0,1.0,-0.9,0.4
1 season,,CLE,NBA,,45,698,8.6,.467,.483,.100,3.1,17.6,10.2,3.6,1.2,2.3,10.7,17.9,,-0.5,0.7,0.2,.014,,-3.8,-1.0,-4.9,-0.5
1 season,,BRK,NBA,,10,93,6.7,.425,.467,.133,1.2,26.5,13.9,5.0,1.7,3.5,15.9,18.5,,-0.2,0.1,-0.1,-0.037,,-6.6,0.5,-6.1,-0.1
1 season,,NYK,NBA,,9,70,13.5,.453,.286,.476,3.3,24.2,13.4,4.3,0.8,7.6,3.8,17.5,,0.0,0.1,0.1,.080,,-4.8,0.9,-3.9,0.0
