Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2010-11,21,TOR,NBA,PF,65,1602,15.8,.583,.000,.343,12.1,22.3,17.1,3.8,1.3,3.2,10.1,13.3,,2.9,1.1,4.0,.119,,-0.1,0.5,0.3,0.9
2011-12,22,TOR,NBA,PF,66,1534,14.2,.544,.003,.316,10.4,23.0,16.7,6.5,1.4,3.4,14.9,13.8,,1.6,2.3,3.9,.121,,-1.7,2.6,0.9,1.1
2012-13,23,TOT,NBA,C-PF,81,1631,17.8,.561,.000,.346,10.9,22.8,16.7,6.7,1.2,4.2,10.2,17.6,,2.9,2.4,5.4,.159,,-0.8,1.6,0.8,1.1
2012-13,23,TOR,NBA,C,45,1087,18.1,.570,.000,.301,10.2,22.8,16.4,8.8,1.2,2.8,10.5,18.3,,2.1,1.2,3.3,.147,,0.0,1.0,1.0,0.8
2012-13,23,MEM,NBA,PF,36,544,17.2,.539,.000,.455,12.1,22.8,17.4,2.4,1.3,7.1,9.5,16.1,,0.8,1.2,2.1,.183,,-2.5,2.9,0.4,0.3
2013-14,24,MEM,NBA,PF,63,956,15.9,.542,.000,.307,11.4,20.9,16.1,4.5,0.9,3.7,10.8,17.8,,1.2,1.4,2.6,.129,,-1.9,0.5,-1.3,0.2
2014-15,25,LAL,NBA,PF,79,1840,20.0,.594,.000,.403,13.3,23.1,18.0,8.3,1.4,4.3,9.5,14.8,,4.6,1.6,6.3,.164,,1.1,1.9,3.0,2.3
2015-16,26,POR,NBA,PF,81,1684,18.7,.616,.000,.605,14.4,24.2,19.3,7.7,1.7,3.3,13.0,12.7,,4.4,2.3,6.7,.192,,0.8,2.5,3.3,2.3
Career,,,NBA,,435,9247,17.3,.575,.000,.386,12.2,22.9,17.4,6.4,1.3,3.7,11.3,14.8,,17.6,11.2,28.8,.150,,-0.3,1.7,1.4,7.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,TOR,NBA,,176,4223,15.8,.567,.001,.321,11.0,22.7,16.8,6.1,1.3,3.1,11.8,14.8,,6.6,4.6,11.1,.127,,-0.7,1.4,0.7,2.9
2 seasons,,MEM,NBA,,99,1500,16.4,.541,.000,.356,11.6,21.6,16.6,3.7,1.1,5.0,10.4,17.2,,2.0,2.6,4.6,.149,,-2.1,1.4,-0.7,0.5
1 season,,POR,NBA,,81,1684,18.7,.616,.000,.605,14.4,24.2,19.3,7.7,1.7,3.3,13.0,12.7,,4.4,2.3,6.7,.192,,0.8,2.5,3.3,2.3
1 season,,LAL,NBA,,79,1840,20.0,.594,.000,.403,13.3,23.1,18.0,8.3,1.4,4.3,9.5,14.8,,4.6,1.6,6.3,.164,,1.1,1.9,3.0,2.3
