Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2010-11,23,GSW,NBA,C,58,1030,9.7,.472,.000,.288,8.6,11.4,10.0,5.4,1.1,6.4,16.1,12.8,,0.0,0.7,0.7,.032,,-4.1,2.2,-2.0,0.0
2011-12,24,TOT,NBA,C,61,1290,12.5,.493,.007,.386,8.6,13.5,11.0,6.4,1.6,6.0,13.3,14.0,,0.9,1.2,2.1,.077,,-2.6,2.8,0.2,0.7
2011-12,24,GSW,NBA,C,38,827,11.5,.493,.000,.346,8.0,12.2,10.1,5.5,1.6,6.0,14.1,13.8,,0.3,0.6,0.9,.054,,-3.0,2.5,-0.5,0.3
2011-12,24,MIL,NBA,C,23,463,14.3,.492,.018,.455,9.7,15.9,12.7,8.1,1.7,6.0,12.0,14.3,,0.5,0.6,1.1,.119,,-1.9,3.4,1.5,0.4
2012-13,25,MIL,NBA,C,76,1312,12.0,.503,.004,.442,8.9,11.7,10.3,4.7,1.5,4.7,11.8,12.1,,1.1,1.5,2.7,.098,,-2.8,2.4,-0.5,0.5
2013-14,26,MIL,NBA,PF,42,804,7.6,.440,.000,.329,8.4,12.8,10.5,5.7,1.0,4.4,18.8,11.4,,-0.4,0.4,0.0,.000,,-4.7,1.2,-3.5,-0.3
2014-15,27,LAC,NBA,PF,33,128,11.6,.519,.000,.375,6.3,16.4,11.4,8.5,3.2,4.5,20.0,12.3,,0.0,0.2,0.3,.101,,-3.4,4.2,0.7,0.1
Career,,,NBA,,270,4564,10.8,.484,.003,.370,8.6,12.5,10.5,5.6,1.4,5.4,14.6,12.7,,1.6,4.1,5.7,.060,,-3.4,2.3,-1.1,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIL,NBA,,141,2579,11.0,.484,.006,.414,8.9,12.8,10.8,5.6,1.4,4.9,13.8,12.3,,1.3,2.5,3.8,.071,,-3.3,2.2,-1.1,0.6
2 seasons,,GSW,NBA,,96,1857,10.5,.481,.000,.314,8.3,11.7,10.0,5.4,1.3,6.2,15.2,13.2,,0.3,1.3,1.6,.042,,-3.6,2.3,-1.3,0.3
1 season,,LAC,NBA,,33,128,11.6,.519,.000,.375,6.3,16.4,11.4,8.5,3.2,4.5,20.0,12.3,,0.0,0.2,0.3,.101,,-3.4,4.2,0.7,0.1
