Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2004-05,22,CHA,NBA,PF,73,2600,16.3,.479,.001,.342,11.5,24.1,17.5,4.3,1.2,3.6,9.8,21.8,,0.9,3.1,4.0,.074,,-2.3,0.5,-1.9,0.1
2005-06,23,CHA,NBA,PF,26,874,14.9,.464,.000,.396,11.7,23.7,17.3,6.0,1.3,4.4,12.5,21.5,,-0.2,1.1,1.0,.054,,-3.5,1.6,-1.9,0.0
2006-07,24,CHA,NBA,C,67,2329,20.1,.554,.000,.399,12.7,26.2,19.2,6.0,1.3,5.7,11.3,19.1,,3.5,3.6,7.1,.147,,-0.5,2.8,2.4,2.6
2007-08,25,CHA,NBA,C,82,2718,17.4,.553,.000,.435,10.7,26.4,18.5,4.5,1.2,3.9,13.8,20.0,,2.2,3.6,5.8,.103,,-2.3,0.9,-1.3,0.4
2008-09,26,CHA,NBA,C,82,2691,18.0,.581,.000,.478,12.7,25.2,19.0,3.5,1.0,4.2,13.4,18.9,,3.7,4.6,8.2,.147,,-1.4,1.4,0.0,1.4
2009-10,27,NOH,NBA,C,82,2370,16.5,.547,.000,.418,12.2,24.7,18.4,3.5,1.2,4.1,12.5,17.1,,2.6,2.8,5.5,.111,,-2.1,1.2,-0.9,0.7
2010-11,28,NOH,NBA,C,72,2287,16.0,.584,.002,.492,12.2,24.3,18.2,3.0,0.9,4.6,15.7,15.8,,2.7,3.8,6.5,.136,,-1.5,2.4,0.8,1.6
2011-12,29,NOH,NBA,C,27,781,15.1,.539,.000,.346,10.8,21.4,16.2,5.3,1.1,2.8,13.0,17.2,,0.8,0.9,1.7,.103,,-1.5,0.8,-0.6,0.3
2012-13,30,WAS,NBA,C,79,2052,15.8,.496,.000,.278,10.7,26.8,18.7,7.9,1.1,3.0,12.2,19.5,,0.7,3.7,4.5,.104,,-3.2,2.0,-1.1,0.5
Career,,,NBA,,590,18702,17.0,.535,.000,.399,11.8,25.1,18.3,4.7,1.1,4.1,12.5,19.0,,17.0,27.3,44.3,.114,,-1.9,1.5,-0.4,7.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,CHA,NBA,,330,11212,17.7,.532,.000,.408,11.9,25.3,18.5,4.6,1.2,4.3,12.1,20.1,,10.2,16.0,26.2,.112,,-1.8,1.4,-0.4,4.5
3 seasons,,NOH,NBA,,181,5438,16.1,.560,.001,.435,12.0,24.1,18.0,3.6,1.1,4.1,13.9,16.6,,6.1,7.5,13.6,.120,,-1.8,1.6,-0.1,2.6
1 season,,WAS,NBA,,79,2052,15.8,.496,.000,.278,10.7,26.8,18.7,7.9,1.1,3.0,12.2,19.5,,0.7,3.7,4.5,.104,,-3.2,2.0,-1.1,0.5
