Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2010-11,21,LAC,NBA,PG,81,1841,10.8,.499,.239,.274,4.4,9.8,7.1,24.2,2.6,1.1,26.3,17.9,,-1.3,1.6,0.3,.008,,-2.6,0.6,-2.0,0.0
2011-12,22,LAC,NBA,PG,40,464,11.2,.454,.238,.349,5.6,11.1,8.3,21.6,3.6,2.5,24.4,19.1,,-0.4,0.6,0.2,.022,,-3.0,2.0,-0.9,0.1
2012-13,23,LAC,NBA,PG,76,1553,17.5,.513,.137,.236,6.1,11.1,8.6,23.5,3.7,3.0,17.9,22.5,,1.1,2.6,3.7,.115,,0.0,2.7,2.7,1.9
2013-14,24,PHO,NBA,PG,43,1416,19.6,.578,.252,.426,2.1,13.8,8.0,27.0,2.4,0.8,17.8,24.9,,2.6,1.6,4.1,.140,,2.3,0.6,2.9,1.8
2014-15,25,PHO,NBA,PG,81,2800,18.4,.555,.260,.422,2.8,13.9,8.3,27.9,2.3,1.2,18.1,23.7,,4.1,2.9,7.0,.119,,1.7,0.9,2.6,3.3
2015-16,26,PHO,NBA,PG,31,1059,20.0,.557,.262,.350,1.8,11.2,6.4,31.8,2.9,1.5,16.2,27.2,,1.6,1.0,2.5,.116,,2.7,0.1,2.8,1.3
Career,,,NBA,,352,9133,16.7,.540,.234,.355,3.6,12.1,7.8,26.4,2.7,1.5,19.3,22.7,,7.7,10.2,17.9,.094,,0.5,1.0,1.6,8.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,LAC,NBA,,197,3858,13.6,.500,.190,.264,5.2,10.5,7.9,23.6,3.2,2.0,22.3,19.9,,-0.6,4.8,4.2,.053,,-1.6,1.6,0.0,2.0
3 seasons,,PHO,NBA,,155,5275,19.1,.562,.258,.406,2.4,13.3,7.8,28.4,2.4,1.2,17.6,24.8,,8.2,5.4,13.6,.124,,2.1,0.6,2.7,6.3
