Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,20,LAC,NBA,SG,78,2677,14.9,.593,.374,.388,1.9,6.9,4.3,13.6,1.5,1.0,13.5,20.7,,3.9,0.7,4.6,.082,,1.4,-1.9,-0.4,1.1
2009-10,21,LAC,NBA,SG,62,2229,14.1,.571,.409,.381,1.3,7.1,4.2,13.8,1.6,0.5,13.6,21.5,,2.3,0.9,3.2,.069,,1.3,-1.7,-0.5,0.9
2010-11,22,LAC,NBA,SG,56,2112,18.5,.566,.307,.367,2.5,6.6,4.5,20.7,1.7,0.7,12.0,26.5,,4.2,1.1,5.3,.120,,3.3,-2.0,1.3,1.7
2011-12,23,NOH,NBA,PG,9,310,19.2,.549,.286,.464,0.8,8.7,4.8,19.3,2.3,1.1,12.5,29.4,,0.5,0.3,0.7,.115,,2.2,-1.9,0.3,0.2
2012-13,24,NOH,NBA,SG,42,1264,15.4,.523,.296,.380,0.9,6.4,3.6,19.3,1.9,0.5,14.6,29.4,,0.8,0.3,1.1,.042,,0.8,-3.3,-2.6,-0.2
2013-14,25,NOP,NBA,SG,64,2057,14.9,.540,.316,.273,1.7,7.7,4.7,16.6,1.9,0.5,12.8,23.2,,2.0,0.5,2.5,.058,,1.2,-2.5,-1.2,0.4
2014-15,26,NOP,NBA,SG,61,2018,12.7,.544,.454,.192,1.6,7.4,4.5,17.6,1.3,0.5,14.0,19.8,,2.2,0.7,2.9,.069,,1.4,-2.0,-0.6,0.7
2015-16,27,NOP,NBA,SG,45,1481,13.5,.565,.533,.226,0.7,6.9,3.7,12.7,1.4,0.8,10.7,20.3,,1.7,0.4,2.1,.069,,1.6,-2.2,-0.6,0.5
Career,,,NBA,,417,14148,15.0,.559,.374,.326,1.6,7.1,4.3,16.3,1.6,0.7,13.0,22.9,,17.6,4.9,22.4,.076,,1.6,-2.1,-0.5,5.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,NOHNOP,NBA,,221,7130,14.2,.542,.388,.276,1.3,7.3,4.2,16.7,1.6,0.6,13.1,23.0,,7.1,2.2,9.4,.063,,1.3,-2.4,-1.1,1.7
3 seasons,,LAC,NBA,,196,7018,15.7,.577,.360,.379,1.9,6.9,4.3,15.8,1.6,0.7,13.0,22.7,,10.4,2.6,13.1,.089,,1.9,-1.9,0.1,3.7
