Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2010-11,22,PHI,NBA,SG,78,1797,10.8,.484,.083,.236,2.7,16.9,9.8,13.4,1.4,0.6,12.0,17.0,,0.0,2.2,2.3,.060,,-3.1,0.7,-2.4,-0.2
2011-12,23,PHI,NBA,SF,65,1713,12.6,.478,.083,.183,1.7,22.8,12.2,16.9,1.2,0.9,14.1,20.3,,-0.6,3.0,2.4,.068,,-3.3,1.5,-1.8,0.1
2012-13,24,PHI,NBA,SF,82,2892,12.1,.478,.151,.198,2.1,18.5,10.1,19.7,1.3,0.5,14.0,21.2,,-0.7,2.9,2.1,.035,,-2.4,0.3,-2.1,-0.1
2013-14,25,TOT,NBA,SF,81,2457,12.4,.498,.153,.257,2.7,15.7,9.0,17.8,1.3,0.2,14.3,23.2,,-0.5,1.8,1.4,.027,,-2.4,-1.3,-3.7,-1.0
2013-14,25,PHI,NBA,SF,54,1886,13.2,.504,.159,.274,2.8,16.2,9.2,17.7,1.4,0.2,14.3,24.4,,-0.2,0.9,0.7,.017,,-2.1,-1.7,-3.8,-0.9
2013-14,25,IND,NBA,SF,27,571,9.7,.468,.126,.179,2.5,13.9,8.5,18.4,1.0,0.3,14.2,19.1,,-0.2,0.9,0.7,.059,,-3.6,0.4,-3.2,-0.2
2014-15,26,BOS,NBA,SG,82,2260,12.8,.482,.160,.189,1.9,18.5,10.1,30.0,1.8,0.7,19.7,19.5,,-0.3,2.8,2.5,.054,,-2.2,1.3,-1.0,0.6
2015-16,27,BOS,NBA,SG,81,2271,13.6,.513,.110,.238,2.3,16.5,9.3,23.9,1.7,1.0,16.9,18.8,,1.0,3.0,4.0,.085,,-1.9,1.3,-0.7,0.8
Career,,,NBA,,469,13390,12.4,.489,.130,.218,2.2,18.0,10.0,20.6,1.5,0.6,15.3,20.2,,-1.1,15.8,14.7,.053,,-2.5,0.5,-2.0,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,PHI,NBA,,279,8288,12.2,.486,.128,.223,2.3,18.5,10.3,17.3,1.3,0.5,13.8,20.9,,-1.6,9.0,7.5,.043,,-2.7,0.2,-2.5,-1.0
2 seasons,,BOS,NBA,,163,4531,13.2,.498,.135,.213,2.1,17.5,9.7,27.0,1.8,0.8,18.3,19.1,,0.7,5.9,6.6,.070,,-2.1,1.3,-0.8,1.3
1 season,,IND,NBA,,27,571,9.7,.468,.126,.179,2.5,13.9,8.5,18.4,1.0,0.3,14.2,19.1,,-0.2,0.9,0.7,.059,,-3.6,0.4,-3.2,-0.2
