Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,24,SAC,NBA,SF,67,1301,10.3,.510,.422,.311,3.5,13.0,8.3,11.2,1.6,2.6,16.9,15.7,,0.0,1.6,1.6,.060,,-2.4,1.0,-1.3,0.2
2006-07,25,SAC,NBA,SF,79,1410,11.7,.551,.392,.300,4.3,12.9,8.5,9.8,1.6,2.3,14.0,15.9,,1.1,1.2,2.4,.080,,-0.9,0.3,-0.6,0.5
2007-08,26,SAC,NBA,SF,79,2096,15.1,.576,.384,.277,3.0,11.7,7.4,10.2,2.3,1.8,13.2,20.7,,2.4,1.8,4.2,.097,,1.1,-0.5,0.6,1.4
2008-09,27,SAC,NBA,SF,65,1975,14.1,.554,.332,.268,3.3,9.6,6.4,12.6,2.1,2.5,13.1,19.4,,1.7,0.7,2.4,.058,,0.3,-0.4,-0.1,0.9
2009-10,28,SAC,NBA,SG,25,575,12.4,.550,.335,.097,2.2,11.1,6.6,12.1,0.9,2.4,10.3,15.7,,0.6,0.3,1.0,.081,,-0.7,-0.4,-1.1,0.1
2010-11,29,SAC,NBA,SF,58,1386,13.5,.551,.472,.160,1.9,9.2,5.5,8.0,1.9,2.6,8.1,17.3,,1.9,1.1,3.0,.104,,0.6,0.0,0.7,0.9
2011-12,30,SAC,NBA,SF,49,798,10.7,.483,.572,.131,1.4,12.7,6.8,5.8,2.3,3.4,8.3,14.4,,0.3,0.5,0.8,.048,,-1.6,0.4,-1.2,0.2
2012-13,31,TOT,NBA,SG-SF,58,1029,11.0,.519,.597,.070,0.9,9.4,5.1,9.2,2.3,2.9,9.4,14.7,,0.6,0.6,1.3,.059,,-0.5,0.1,-0.4,0.4
2012-13,31,SAC,NBA,SG,40,710,10.5,.488,.532,.068,1.1,10.1,5.5,9.0,2.3,3.4,8.7,14.5,,0.2,0.4,0.6,.040,,-1.1,0.2,-0.9,0.2
2012-13,31,HOU,NBA,SF,18,319,12.2,.586,.737,.074,0.4,7.7,4.1,9.5,2.2,1.7,10.9,15.1,,0.4,0.3,0.7,.101,,0.9,-0.3,0.6,0.2
2013-14,32,HOU,NBA,SF,55,1083,9.3,.521,.656,.065,2.3,9.8,6.3,8.6,1.2,2.3,9.0,13.5,,0.8,0.9,1.8,.078,,-0.3,0.1,-0.2,0.5
2014-15,33,HOU,NBA,SF,14,200,3.6,.347,.714,.063,1.7,7.7,4.7,11.0,2.2,1.9,13.4,16.2,,-0.4,0.2,-0.2,-0.044,,-5.0,-0.2,-5.3,-0.2
Career,,,NBA,,549,11853,12.3,.541,.445,.210,2.7,11.0,6.8,10.0,1.9,2.4,12.0,17.0,,9.1,9.1,18.2,.074,,-0.4,0.0,-0.3,4.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,SAC,NBA,,462,10251,12.8,.545,.411,.230,2.9,11.2,7.0,10.1,1.9,2.5,12.2,17.5,,8.3,7.7,16.0,.075,,-0.3,0.0,-0.3,4.4
3 seasons,,HOU,NBA,,87,1602,9.2,.511,.681,.066,1.8,9.1,5.6,9.1,1.6,2.1,10.1,14.1,,0.8,1.4,2.2,.067,,-0.6,0.0,-0.7,0.5
