Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,22,PHO,NBA,PG,55,728,9.8,.487,.241,.290,5.5,10.8,8.3,20.8,2.0,0.3,22.4,19.7,,-0.3,0.4,0.1,.005,,-2.1,-1.2,-3.3,-0.2
2009-10,23,PHO,NBA,PG,80,1442,14.8,.566,.383,.324,3.2,9.8,6.7,24.1,1.7,0.4,18.3,21.1,,2.0,0.8,2.8,.094,,1.6,-1.2,0.4,0.9
2010-11,24,TOT,NBA,PG,70,1234,13.2,.524,.351,.302,3.3,9.9,6.6,25.6,2.1,0.6,19.0,22.4,,0.2,0.8,1.0,.040,,-0.3,-1.2,-1.5,0.2
2010-11,24,PHO,NBA,PG,48,856,11.2,.492,.320,.307,3.2,8.4,5.8,26.8,2.1,0.5,21.1,24.0,,-0.7,0.5,-0.2,-0.012,,-1.7,-1.3,-3.0,-0.2
2010-11,24,HOU,NBA,PG,22,378,17.7,.604,.432,.288,3.6,13.2,8.4,22.7,1.9,0.7,13.0,18.9,,0.9,0.3,1.2,.157,,2.9,-0.9,2.0,0.4
2011-12,25,HOU,NBA,PG,66,1752,18.0,.567,.337,.317,3.5,7.7,5.6,32.5,2.5,0.4,18.7,21.8,,3.6,1.5,5.1,.139,,3.0,-1.0,2.1,1.8
2012-13,26,PHO,NBA,PG,77,2581,17.5,.540,.305,.360,2.6,8.0,5.2,35.7,2.5,0.8,16.8,21.7,,4.1,1.6,5.7,.106,,2.6,-1.2,1.4,2.2
2013-14,27,PHO,NBA,SG,76,2668,21.4,.604,.274,.381,2.9,7.4,5.2,28.1,2.0,0.6,14.3,24.5,,8.4,2.0,10.3,.186,,4.9,-1.1,3.9,4.0
2014-15,28,TOT,NBA,SG-PG,78,2640,17.4,.577,.258,.234,3.5,8.2,5.9,22.8,1.5,0.5,13.5,21.8,,5.4,1.4,6.8,.123,,2.5,-1.4,1.1,2.1
2014-15,28,PHO,NBA,SG,52,1735,16.7,.573,.274,.191,3.2,8.5,5.8,20.2,1.4,0.4,13.4,21.5,,3.1,0.9,4.0,.111,,2.1,-1.3,0.8,1.2
2014-15,28,MIA,NBA,PG,26,905,18.8,.586,.226,.322,4.1,7.7,5.9,27.8,1.6,0.6,13.8,22.2,,2.3,0.5,2.8,.146,,3.4,-1.7,1.7,0.9
2015-16,29,MIA,NBA,PG,72,2363,15.5,.537,.234,.189,2.7,10.4,6.6,28.7,1.5,0.6,16.3,21.9,,2.4,2.3,4.7,.096,,1.3,-0.6,0.7,1.6
Career,,,NBA,,574,15408,16.9,.561,.291,.300,3.2,8.7,6.0,28.1,2.0,0.5,16.5,22.2,,25.8,10.8,36.6,.114,,2.3,-1.1,1.2,12.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,PHO,NBA,,388,10010,16.9,.561,.298,.322,3.1,8.4,5.8,27.5,2.0,0.6,16.5,22.4,,16.6,6.2,22.8,.109,,2.3,-1.2,1.1,7.8
2 seasons,,MIA,NBA,,98,3268,16.4,.551,.232,.225,3.1,9.6,6.4,28.5,1.6,0.6,15.6,22.0,,4.7,2.8,7.5,.110,,1.8,-0.9,1.0,2.4
2 seasons,,HOU,NBA,,88,2130,17.9,.573,.353,.312,3.5,8.7,6.1,30.8,2.4,0.5,17.8,21.3,,4.5,1.8,6.3,.142,,3.0,-1.0,2.0,2.2
