Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2010-11,20,DET,NBA,C,80,2222,18.0,.575,.002,.424,13.0,20.4,16.5,7.5,2.3,1.6,11.0,15.4,,4.7,1.9,6.6,.143,,1.4,1.0,2.5,2.5
2011-12,21,DET,NBA,C,66,2082,22.0,.563,.001,.348,13.3,23.6,18.3,14.0,2.1,1.7,15.2,23.6,,4.3,2.7,7.0,.161,,2.4,1.4,3.8,3.1
2012-13,22,DET,NBA,C,81,2687,19.5,.527,.004,.371,9.9,23.6,16.7,18.6,2.1,1.6,16.0,24.8,,2.7,3.2,5.9,.105,,0.6,1.8,2.4,3.0
2013-14,23,DET,NBA,PF,82,2690,18.1,.531,.001,.362,9.9,21.6,15.4,10.3,1.7,1.4,12.4,21.4,,3.7,2.3,5.9,.106,,0.0,0.4,0.3,1.6
2014-15,24,DET,NBA,PF,69,2137,21.2,.549,.000,.394,11.2,25.1,17.9,11.7,1.9,1.3,13.0,23.9,,4.0,2.8,6.8,.153,,0.6,1.3,1.9,2.1
2015-16,25,MIL,NBA,C,79,2314,21.8,.562,.001,.327,10.9,23.4,17.2,13.2,1.6,2.5,10.7,23.5,,5.0,2.4,7.5,.155,,1.3,0.2,1.5,2.1
Career,,,NBA,,457,14132,20.0,.548,.002,.367,11.3,22.9,16.9,12.7,1.9,1.7,13.2,22.1,,24.4,15.3,39.7,.135,,1.0,1.0,2.0,14.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,DET,NBA,,378,11818,19.7,.545,.002,.376,11.3,22.8,16.9,12.6,2.0,1.5,13.8,21.9,,19.3,12.8,32.2,.131,,0.9,1.2,2.1,12.3
1 season,,MIL,NBA,,79,2314,21.8,.562,.001,.327,10.9,23.4,17.2,13.2,1.6,2.5,10.7,23.5,,5.0,2.4,7.5,.155,,1.3,0.2,1.5,2.1
