Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2010-11,24,MEM,NBA,SG,70,860,9.4,.493,.369,.189,1.7,8.6,5.1,25.3,1.3,0.4,21.7,16.9,,-0.1,0.7,0.5,.030,,-2.3,-2.2,-4.6,-0.6
2011-12,25,NOH,NBA,SG,66,1706,14.2,.513,.258,.224,1.6,10.3,6.0,35.7,1.9,0.4,20.5,20.0,,1.0,1.3,2.3,.064,,-0.1,-1.5,-1.6,0.2
2012-13,26,NOH,NBA,PG,78,2685,16.3,.502,.240,.152,1.9,13.3,7.5,44.9,1.3,0.2,18.6,23.0,,3.0,0.7,3.8,.067,,2.0,-2.0,0.1,1.4
2013-14,27,TOT,NBA,SG-PG,79,1779,14.1,.537,.439,.164,1.3,10.0,5.6,30.4,0.9,0.2,15.4,21.1,,2.4,1.2,3.6,.097,,1.2,-2.6,-1.4,0.3
2013-14,27,SAC,NBA,PG,18,465,14.1,.536,.333,.213,1.2,7.1,4.1,32.8,0.7,0.2,14.1,18.1,,0.9,0.1,0.9,.097,,0.9,-3.8,-3.0,-0.1
2013-14,27,TOR,NBA,SG,61,1314,14.2,.537,.470,.150,1.3,11.1,6.2,29.5,1.0,0.2,15.7,22.2,,1.6,1.1,2.6,.096,,1.3,-2.2,-0.8,0.4
2014-15,28,TOR,NBA,PG,82,1991,12.6,.514,.484,.091,1.3,11.2,6.3,23.9,1.2,0.4,13.6,19.8,,1.9,0.9,2.8,.066,,1.0,-2.1,-1.1,0.4
2015-16,29,MIL,NBA,PG,23,460,7.4,.435,.529,.188,1.3,10.3,5.8,28.5,1.1,0.0,21.1,18.5,,-0.4,0.1,-0.3,-0.033,,-3.0,-3.9,-6.9,-0.6
Career,,,NBA,,398,9481,13.7,.510,.358,.157,1.5,11.1,6.3,33.5,1.3,0.3,17.6,20.7,,7.8,4.8,12.6,.064,,0.6,-2.1,-1.5,1.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NOH,NBA,,144,4391,15.5,.505,.246,.177,1.8,12.1,6.9,41.3,1.6,0.3,19.3,21.8,,4.1,2.0,6.1,.066,,1.2,-1.8,-0.6,1.6
2 seasons,,TOR,NBA,,143,3305,13.2,.524,.479,.115,1.3,11.2,6.2,26.1,1.1,0.3,14.5,20.8,,3.4,2.0,5.4,.078,,1.1,-2.1,-1.0,0.8
1 season,,MEM,NBA,,70,860,9.4,.493,.369,.189,1.7,8.6,5.1,25.3,1.3,0.4,21.7,16.9,,-0.1,0.7,0.5,.030,,-2.3,-2.2,-4.6,-0.6
1 season,,MIL,NBA,,23,460,7.4,.435,.529,.188,1.3,10.3,5.8,28.5,1.1,0.0,21.1,18.5,,-0.4,0.1,-0.3,-0.033,,-3.0,-3.9,-6.9,-0.6
1 season,,SAC,NBA,,18,465,14.1,.536,.333,.213,1.2,7.1,4.1,32.8,0.7,0.2,14.1,18.1,,0.9,0.1,0.9,.097,,0.9,-3.8,-3.0,-0.1
