Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,22,MEM,NBA,C,68,883,12.9,.605,.000,.710,11.2,20.9,16.1,1.7,0.9,7.7,20.0,10.7,,0.8,1.2,2.0,.109,,-2.8,2.4,-0.4,0.4
2010-11,23,TOT,NBA,C,47,373,4.7,.478,.000,.875,7.6,16.5,12.0,1.4,1.3,3.5,23.5,8.7,,-0.2,0.5,0.3,.043,,-5.2,1.3,-3.9,-0.2
2010-11,23,MEM,NBA,C,45,369,4.9,.487,.000,.897,7.7,16.7,12.1,1.4,1.3,3.3,23.8,8.7,,-0.1,0.5,0.3,.045,,-5.1,1.2,-3.8,-0.2
2010-11,23,HOU,NBA,C,2,4,-13.6,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,17.4,0.0,11.0,,0.0,0.0,0.0,-0.179,,-14.3,7.0,-7.3,0.0
2011-12,24,TOT,NBA,C,20,139,12.4,.587,.000,.952,13.1,22.2,17.6,0.0,0.4,5.5,21.2,12.4,,0.1,0.2,0.3,.102,,-5.1,-2.1,-7.2,-0.2
2011-12,24,HOU,NBA,C,5,23,16.4,1.000,.000,.000,5.0,30.6,17.7,0.0,0.0,6.5,0.0,5.9,,0.1,0.0,0.1,.228,,-2.0,-1.0,-3.0,0.0
2011-12,24,POR,NBA,C,15,116,11.6,.541,.000,1.111,14.8,20.5,17.6,0.0,0.5,5.3,23.0,13.7,,0.1,0.1,0.2,.077,,-5.7,-2.3,-8.0,-0.2
2012-13,25,OKC,NBA,C,66,770,11.6,.619,.000,.500,11.1,17.5,14.5,2.0,2.0,5.9,24.1,10.1,,0.7,1.5,2.2,.134,,-2.1,3.0,0.8,0.5
2013-14,26,OKC,NBA,C,23,192,2.6,.536,.000,.217,5.6,17.4,11.7,0.7,1.0,3.8,35.7,9.0,,-0.2,0.3,0.0,.012,,-6.8,1.0,-5.8,-0.2
Career,,,NBA,,224,2357,10.3,.587,.000,.642,10.3,18.9,14.7,1.6,1.3,6.0,23.0,10.1,,1.3,3.6,4.8,.099,,-3.4,2.0,-1.4,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MEM,NBA,,113,1252,10.5,.577,.000,.753,10.2,19.7,14.9,1.6,1.0,6.4,21.0,10.1,,0.7,1.6,2.4,.090,,-3.5,2.1,-1.4,0.2
2 seasons,,OKC,NBA,,89,962,9.8,.605,.000,.450,10.0,17.5,14.0,1.8,1.8,5.5,26.3,9.9,,0.4,1.8,2.2,.110,,-3.1,2.6,-0.5,0.4
1 season,,POR,NBA,,15,116,11.6,.541,.000,1.111,14.8,20.5,17.6,0.0,0.5,5.3,23.0,13.7,,0.1,0.1,0.2,.077,,-5.7,-2.3,-8.0,-0.2
2 seasons,,HOU,NBA,,7,27,12.0,.750,.000,.000,4.3,26.0,15.0,0.0,0.0,8.1,0.0,6.7,,0.1,0.0,0.1,.167,,-3.8,0.2,-3.6,0.0
