Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2006-07,22,NOK,NBA,C,56,634,12.2,.570,.000,.536,10.3,17.0,13.6,2.5,1.0,3.3,18.5,13.6,,0.5,0.7,1.2,.091,,-3.1,0.5,-2.6,-0.1
2007-08,23,NOH,NBA,C,65,732,7.7,.498,.000,.473,10.1,16.0,13.0,4.4,1.1,3.6,24.8,15.1,,-0.5,1.0,0.5,.032,,-5.1,1.8,-3.3,-0.2
2008-09,24,NOH,NBA,C,70,1092,10.7,.585,.008,.398,9.0,12.6,10.8,4.4,1.3,3.5,21.7,16.3,,0.2,1.3,1.5,.068,,-3.4,1.1,-2.3,-0.1
2009-10,25,TOT,NBA,PF-C,33,335,6.9,.381,.013,.405,9.2,19.2,14.1,8.8,2.3,2.7,19.1,15.5,,-0.5,0.4,-0.1,-0.017,,-6.1,2.0,-4.0,-0.2
2009-10,25,NOH,NBA,PF,18,239,7.5,.409,.000,.560,8.2,22.0,15.0,9.3,1.7,2.5,17.3,14.4,,-0.2,0.3,0.1,.010,,-5.5,1.9,-3.7,-0.1
2009-10,25,SAC,NBA,C,6,56,8.4,.388,.000,.167,10.1,18.6,14.3,5.0,1.8,5.2,23.7,13.3,,-0.1,0.1,0.0,-0.012,,-6.8,2.7,-4.2,0.0
2009-10,25,HOU,NBA,C,9,40,1.1,.280,.059,.118,13.8,3.0,8.6,11.5,6.4,0.0,21.9,25.3,,-0.2,0.1,-0.2,-0.185,,-8.2,2.1,-6.1,0.0
2010-11,26,TOT,NBA,C,53,488,8.8,.508,.053,.434,9.5,21.6,15.4,4.2,1.9,3.3,23.6,10.9,,-0.1,0.6,0.5,.045,,-4.7,1.5,-3.1,-0.1
2010-11,26,WAS,NBA,C,41,412,8.6,.519,.047,.359,10.4,21.5,15.8,3.5,1.9,3.0,25.2,10.6,,-0.1,0.4,0.4,.043,,-4.5,1.2,-3.4,-0.1
2010-11,26,ATL,NBA,C,12,76,10.1,.457,.083,.833,4.8,22.0,13.5,7.8,2.1,5.0,15.5,12.1,,-0.1,0.1,0.1,.054,,-5.5,3.5,-2.0,0.0
2013-14,29,GSW,NBA,C,15,97,17.0,.480,.000,.842,21.8,31.0,26.5,7.1,2.1,3.1,18.7,14.5,,0.1,0.2,0.3,.162,,-2.5,3.1,0.6,0.1
Career,,,NBA,,292,3378,9.9,.529,.010,.456,10.0,16.6,13.2,4.5,1.4,3.3,21.7,14.6,,-0.4,4.3,3.9,.055,,-4.2,1.4,-2.8,-0.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,NOKNOH,NBA,,209,2697,9.9,.543,.004,.462,9.5,15.4,12.4,4.4,1.2,3.4,21.5,15.2,,-0.1,3.3,3.3,.058,,-4.0,1.2,-2.8,-0.5
1 season,,WAS,NBA,,41,412,8.6,.519,.047,.359,10.4,21.5,15.8,3.5,1.9,3.0,25.2,10.6,,-0.1,0.4,0.4,.043,,-4.5,1.2,-3.4,-0.1
1 season,,GSW,NBA,,15,97,17.0,.480,.000,.842,21.8,31.0,26.5,7.1,2.1,3.1,18.7,14.5,,0.1,0.2,0.3,.162,,-2.5,3.1,0.6,0.1
1 season,,ATL,NBA,,12,76,10.1,.457,.083,.833,4.8,22.0,13.5,7.8,2.1,5.0,15.5,12.1,,-0.1,0.1,0.1,.054,,-5.5,3.5,-2.0,0.0
1 season,,HOU,NBA,,9,40,1.1,.280,.059,.118,13.8,3.0,8.6,11.5,6.4,0.0,21.9,25.3,,-0.2,0.1,-0.2,-0.185,,-8.2,2.1,-6.1,0.0
1 season,,SAC,NBA,,6,56,8.4,.388,.000,.167,10.1,18.6,14.3,5.0,1.8,5.2,23.7,13.3,,-0.1,0.1,0.0,-0.012,,-6.8,2.7,-4.2,0.0
