Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2011-12,21,NYK,NBA,PG,59,1705,10.8,.484,.294,.204,2.8,9.9,6.3,15.6,3.1,0.4,16.0,18.2,,-0.1,2.5,2.4,.068,,-1.3,1.4,0.1,0.9
2012-13,22,NYK,NBA,SG,45,996,11.7,.516,.462,.171,3.5,12.8,8.0,11.6,2.3,0.6,11.1,15.6,,1.0,1.0,1.9,.094,,0.2,0.4,0.6,0.7
2013-14,23,NYK,NBA,SG,74,1962,9.6,.480,.471,.147,4.7,14.0,9.2,9.8,2.5,0.6,13.3,14.1,,0.4,1.6,2.0,.048,,-0.8,0.7,-0.1,0.9
2014-15,24,TOT,NBA,SG,62,1545,11.4,.497,.416,.136,4.1,12.6,8.3,14.2,2.7,0.8,15.4,17.4,,0.1,1.4,1.5,.047,,-0.7,0.3,-0.4,0.6
2014-15,24,NYK,NBA,SG,24,625,11.9,.484,.307,.172,4.0,11.2,7.5,21.3,2.5,0.4,15.4,20.1,,-0.1,0.3,0.3,.020,,-0.8,-1.1,-1.9,0.0
2014-15,24,CLE,NBA,SG,38,920,11.1,.508,.508,.105,4.2,13.5,8.9,9.3,2.9,1.1,15.5,15.6,,0.1,1.1,1.2,.065,,-0.7,1.3,0.6,0.6
2015-16,25,CLE,NBA,SG,54,1316,8.4,.475,.479,.167,2.8,14.6,8.7,9.8,2.1,1.2,14.8,13.2,,-0.1,1.8,1.7,.063,,-2.1,1.9,-0.2,0.6
Career,,,NBA,,294,7524,10.3,.489,.413,.165,3.7,12.7,8.1,12.3,2.6,0.7,14.5,15.8,,1.2,8.3,9.6,.061,,-1.0,1.0,0.0,3.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,NYK,NBA,,202,5288,10.7,.489,.383,.175,3.8,12.1,7.8,13.4,2.6,0.5,14.2,16.4,,1.2,5.4,6.6,.060,,-0.8,0.6,-0.1,2.5
2 seasons,,CLE,NBA,,92,2236,9.6,.490,.492,.139,3.4,14.2,8.8,9.6,2.4,1.2,15.1,14.2,,0.0,2.9,3.0,.063,,-1.5,1.7,0.2,1.2
