Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2004-05,22,ORL,NBA,PG,79,1612,14.5,.510,.225,.170,3.7,9.7,6.7,24.8,2.5,0.1,14.8,21.4,,1.2,1.3,2.5,.074,,0.7,-1.3,-0.5,0.6
2005-06,23,ORL,NBA,PG,62,1784,19.5,.567,.229,.252,2.8,9.5,6.2,31.5,2.1,0.4,15.6,25.1,,3.5,1.4,4.9,.132,,3.6,-1.4,2.2,1.9
2006-07,24,ORL,NBA,PG,77,2331,13.9,.514,.222,.253,2.7,9.6,6.2,25.0,1.7,0.2,15.9,23.0,,1.6,2.4,4.0,.082,,0.5,-0.9,-0.4,0.9
2007-08,25,ORL,NBA,PG,69,1961,15.5,.564,.255,.250,1.7,12.1,7.1,31.1,1.7,0.1,17.4,19.0,,3.4,2.2,5.6,.136,,1.1,0.0,1.1,1.5
2008-09 ★,26,ORL,NBA,PG,42,1309,20.6,.612,.341,.183,1.8,10.5,6.2,32.1,2.0,0.2,12.6,23.2,,3.9,2.1,6.0,.220,,4.8,0.4,5.1,2.4
2009-10,27,ORL,NBA,PG,65,1860,15.5,.540,.320,.164,1.7,10.1,6.0,32.1,1.3,0.1,15.5,22.3,,2.8,2.2,5.0,.130,,1.6,-0.6,1.0,1.4
2010-11,28,ORL,NBA,PG,76,2319,15.4,.548,.354,.193,1.9,9.3,5.7,33.7,1.7,0.1,17.6,22.0,,3.4,3.2,6.6,.136,,1.8,-0.2,1.6,2.1
2011-12,29,ORL,NBA,PG,57,1706,14.6,.524,.381,.145,1.9,10.4,6.1,34.0,1.2,0.2,17.3,21.4,,2.3,1.2,3.5,.099,,1.4,-1.5,-0.2,0.8
2012-13,30,ORL,NBA,PG,56,1977,14.4,.498,.455,.131,1.3,10.6,6.0,33.3,1.9,0.2,15.7,22.5,,1.1,1.0,2.1,.050,,1.6,-1.7,-0.1,0.9
2013-14,31,ORL,NBA,PG,68,2179,13.9,.515,.523,.150,1.5,10.5,6.0,35.1,1.2,0.2,17.3,20.1,,1.6,1.2,2.8,.062,,1.1,-2.2,-1.1,0.5
2014-15,32,TOT,NBA,PG,63,1407,12.1,.503,.512,.071,2.5,8.9,5.7,27.8,1.7,0.3,17.3,19.5,,0.6,0.8,1.4,.047,,0.6,-1.6,-1.0,0.4
2014-15,32,DAL,NBA,PG,23,584,9.9,.501,.632,.049,2.6,9.2,5.9,22.8,1.3,0.3,19.0,15.7,,0.3,0.3,0.6,.047,,0.2,-1.1,-0.9,0.2
2014-15,32,BOS,NBA,PG,6,121,8.7,.323,.610,.220,2.7,12.9,7.7,37.4,2.9,0.0,16.7,19.5,,-0.2,0.2,0.0,-0.015,,-2.7,-0.6,-3.3,0.0
2014-15,32,DEN,NBA,PG,34,702,14.5,.530,.433,.063,2.4,8.0,5.1,30.3,1.8,0.4,16.5,22.7,,0.5,0.3,0.8,.058,,1.6,-2.2,-0.6,0.2
2015-16,33,DEN,NBA,PG,39,1036,9.5,.464,.469,.114,2.0,10.4,6.2,27.3,1.2,0.4,17.0,16.4,,0.1,0.4,0.5,.024,,-1.2,-1.9,-3.1,-0.3
Career,,,NBA,,753,21481,15.0,.532,.349,.180,2.1,10.1,6.2,30.9,1.7,0.2,16.2,21.5,,25.5,19.4,44.9,.100,,1.5,-1.1,0.4,13.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,ORL,NBA,,651,19038,15.5,.537,.332,.190,2.1,10.2,6.2,31.3,1.7,0.2,16.1,22.0,,24.8,18.3,43.0,.108,,1.7,-1.0,0.7,13.1
2 seasons,,DEN,NBA,,73,1738,11.5,.496,.451,.089,2.2,9.4,5.7,28.5,1.4,0.4,16.8,19.0,,0.7,0.7,1.4,.038,,-0.1,-2.0,-2.1,-0.1
1 season,,DAL,NBA,,23,584,9.9,.501,.632,.049,2.6,9.2,5.9,22.8,1.3,0.3,19.0,15.7,,0.3,0.3,0.6,.047,,0.2,-1.1,-0.9,0.2
1 season,,BOS,NBA,,6,121,8.7,.323,.610,.220,2.7,12.9,7.7,37.4,2.9,0.0,16.7,19.5,,-0.2,0.2,0.0,-0.015,,-2.7,-0.6,-3.3,0.0
