Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,20,OKC,NBA,SG,76,1738,14.0,.551,.429,.415,3.2,12.7,8.1,12.3,2.4,0.9,13.4,20.4,,2.0,2.5,4.5,.124,,0.7,0.3,1.0,1.3
2010-11,21,OKC,NBA,SG,82,2189,16.4,.598,.474,.501,2.3,11.0,6.8,12.8,2.2,0.8,11.3,19.5,,5.0,2.1,7.1,.156,,2.9,-0.6,2.3,2.4
2011-12,22,OKC,NBA,SG,62,1946,21.1,.660,.464,.587,1.9,12.2,7.4,19.3,1.6,0.6,14.8,21.6,,7.5,1.8,9.3,.230,,5.6,-1.1,4.5,3.2
2012-13 ★,23,HOU,NBA,SG,78,2985,23.0,.600,.364,.592,2.4,11.9,7.2,25.7,2.4,1.0,14.9,29.0,,9.8,3.0,12.8,.206,,5.4,0.1,5.5,5.7
2013-14 ★,24,HOU,NBA,SG,73,2777,23.5,.618,.401,.552,2.6,10.7,6.9,27.3,2.1,0.8,15.0,27.8,,10.1,2.7,12.8,.221,,6.2,-0.5,5.7,5.4
2014-15 ★,25,HOU,NBA,SG,81,2981,26.7,.605,.378,.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,,12.2,4.2,16.4,.265,,7.4,1.0,8.4,7.8
2015-16 ★,26,HOU,NBA,SG,82,3125,25.3,.598,.406,.518,2.2,15.6,8.8,35.4,2.2,1.4,15.9,32.5,,10.7,2.6,13.3,.204,,7.1,-0.4,6.7,6.9
Career,,,NBA,,534,17741,22.2,.605,.405,.541,2.5,12.7,7.7,25.5,2.2,1.0,14.7,27.0,,57.5,18.8,76.3,.206,,5.4,-0.1,5.3,32.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,HOU,NBA,,314,11868,24.6,.605,.387,.554,2.5,13.2,7.9,30.9,2.3,1.2,15.2,30.2,,42.9,12.5,55.3,.224,,6.5,0.1,6.6,25.8
3 seasons,,OKC,NBA,,220,5873,17.2,.605,.457,.503,2.4,11.9,7.4,14.8,2.1,0.7,13.1,20.4,,14.6,6.4,21.0,.171,,3.1,-0.5,2.7,6.9
