Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,22,CHI,NBA,PF,65,757,10.4,.532,.219,.333,5.1,13.6,9.4,9.8,1.4,4.3,20.5,18.0,,-0.3,1.1,0.8,.054,,-3.8,1.7,-2.1,0.0
2010-11,23,TOT,NBA,SF,38,822,12.6,.505,.143,.300,5.2,15.4,10.2,16.4,2.1,3.4,19.3,18.2,,-0.1,0.8,0.6,.036,,-1.9,1.9,0.0,0.4
2010-11,23,CHI,NBA,SF,13,123,8.8,.449,.220,.317,5.9,16.7,11.4,18.1,3.5,5.6,27.8,24.2,,-0.4,0.3,0.0,-0.014,,-6.3,5.1,-1.2,0.0
2010-11,23,TOR,NBA,SF,25,699,13.2,.517,.128,.296,5.1,15.1,10.0,16.1,1.8,3.0,17.2,17.1,,0.2,0.4,0.6,.044,,-1.1,1.3,0.3,0.4
2011-12,24,TOR,NBA,SF,62,1561,14.5,.498,.116,.222,5.6,16.2,11.0,13.9,2.4,4.4,15.1,20.2,,0.1,2.5,2.6,.079,,-1.6,3.4,1.9,1.5
2012-13,25,SAC,NBA,SF,54,878,10.2,.442,.074,.237,6.2,12.9,9.5,10.2,2.4,4.5,17.9,19.3,,-1.1,0.6,-0.5,-0.028,,-4.5,1.5,-3.0,-0.2
2013-14,26,MEM,NBA,SF,52,956,18.5,.552,.282,.292,7.4,13.2,10.3,18.2,2.3,5.0,16.0,20.0,,1.4,1.6,3.0,.150,,1.3,3.2,4.5,1.6
2014-15,27,TOR,NBA,PF,70,1370,17.9,.617,.126,.252,5.1,16.5,10.8,11.4,2.0,4.1,15.0,17.4,,2.5,1.6,4.1,.143,,0.6,2.0,2.7,1.6
2015-16,28,TOR,NBA,PF,57,926,11.4,.532,.275,.283,3.5,11.9,7.8,11.4,1.6,2.9,16.7,15.9,,0.3,1.0,1.3,.068,,-1.7,1.0,-0.6,0.3
Career,,,NBA,,398,7270,14.1,.528,.166,.265,5.5,14.6,10.0,13.1,2.1,4.1,16.7,18.5,,2.6,9.3,11.9,.079,,-1.4,2.2,0.8,5.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,TOR,NBA,,214,4556,14.7,.542,.149,.253,5.0,15.3,10.1,13.0,2.1,3.8,15.7,18.0,,3.0,5.6,8.6,.091,,-0.9,2.2,1.4,3.9
2 seasons,,CHI,NBA,,78,880,10.2,.518,.219,.331,5.2,14.0,9.7,10.9,1.7,4.5,21.8,18.8,,-0.7,1.5,0.8,.044,,-4.1,2.2,-2.0,0.0
1 season,,SAC,NBA,,54,878,10.2,.442,.074,.237,6.2,12.9,9.5,10.2,2.4,4.5,17.9,19.3,,-1.1,0.6,-0.5,-0.028,,-4.5,1.5,-3.0,-0.2
1 season,,MEM,NBA,,52,956,18.5,.552,.282,.292,7.4,13.2,10.3,18.2,2.3,5.0,16.0,20.0,,1.4,1.6,3.0,.150,,1.3,3.2,4.5,1.6
