Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2003-04,23,IND,NBA,SF,6,26,4.9,.354,.444,.222,0.0,9.2,4.5,0.0,2.1,0.0,0.0,17.9,,0.0,0.0,0.0,.010,,-6.1,-3.5,-9.6,0.0
2004-05,24,IND,NBA,SF,75,1330,10.5,.537,.522,.195,3.6,11.9,7.8,7.4,1.3,1.6,11.1,14.0,,1.1,1.4,2.5,.090,,-0.8,0.2,-0.6,0.5
2005-06,25,PHO,NBA,SF,75,1772,13.2,.551,.491,.208,2.8,12.8,7.9,4.5,1.1,1.9,5.2,16.9,,2.3,1.7,4.0,.110,,0.1,-0.5,-0.3,0.7
2006-07,26,PHO,NBA,SF,76,1376,10.8,.510,.541,.184,2.9,11.5,7.5,4.5,1.0,2.1,5.6,16.5,,1.0,1.2,2.2,.077,,-0.6,-0.4,-1.0,0.4
2007-08,27,POR,NBA,SF,58,1276,13.6,.625,.627,.300,4.0,10.8,7.4,4.3,1.0,0.9,7.0,14.8,,2.9,0.8,3.7,.139,,2.2,-1.0,1.2,1.0
2008-09,28,MIA,NBA,SF,40,630,8.4,.520,.644,.208,2.3,9.6,5.9,4.7,1.0,1.8,6.9,13.0,,0.4,0.5,0.9,.065,,-1.9,-1.1,-2.9,-0.1
2009-10,29,MIA,NBA,SF,36,503,8.8,.556,.756,.235,0.9,9.5,5.3,5.1,1.2,0.6,7.7,13.3,,0.5,0.5,1.0,.099,,-0.5,-1.0,-1.5,0.1
2010-11,30,MIA,NBA,SF,81,1549,11.1,.629,.829,.208,1.9,9.9,6.1,4.1,1.0,1.0,5.3,12.0,,3.0,1.7,4.7,.145,,1.8,-0.9,0.9,1.1
2011-12,31,MIA,NBA,SG,51,666,9.7,.567,.760,.200,1.1,7.4,4.4,4.2,1.3,1.1,5.8,12.1,,0.9,0.7,1.7,.120,,0.3,-1.2,-1.0,0.2
2012-13,32,MIA,NBA,SF,38,221,8.1,.478,.869,.066,0.0,11.6,6.1,8.4,0.5,2.2,4.6,14.2,,0.1,0.2,0.2,.054,,-1.4,-2.3,-3.7,-0.1
2013-14,33,MIA,NBA,SF,20,236,15.4,.666,.794,.162,1.1,10.8,6.1,5.8,0.7,1.5,5.2,15.6,,0.6,0.1,0.7,.147,,2.9,-2.8,0.0,0.1
2014-15,34,CLE,NBA,SF,57,669,11.1,.565,.871,.229,1.6,9.0,5.3,5.4,1.0,0.9,5.5,15.8,,1.2,0.4,1.5,.110,,1.4,-2.8,-1.4,0.1
2015-16,35,CLE,NBA,SF,48,463,11.6,.580,.732,.183,2.0,10.2,6.1,4.5,1.2,1.8,7.8,16.2,,0.7,0.5,1.2,.120,,0.3,-1.3,-1.0,0.1
Career,,,NBA,,661,10717,11.3,.564,.643,.210,2.5,10.8,6.7,4.9,1.1,1.5,6.5,14.7,,14.6,9.8,24.3,.109,,0.4,-0.9,-0.5,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,MIA,NBA,,266,3805,10.2,.583,.777,.197,1.5,9.5,5.7,4.7,1.0,1.2,5.9,12.7,,5.5,3.7,9.2,.116,,0.5,-1.2,-0.7,1.2
2 seasons,,PHO,NBA,,151,3148,12.1,.533,.512,.198,2.9,12.2,7.7,4.5,1.1,2.0,5.4,16.7,,3.3,2.9,6.2,.095,,-0.2,-0.5,-0.6,1.1
2 seasons,,CLE,NBA,,105,1132,11.3,.571,.813,.210,1.7,9.5,5.6,5.0,1.1,1.3,6.5,16.0,,1.8,0.9,2.7,.114,,1.0,-2.2,-1.2,0.2
2 seasons,,IND,NBA,,81,1356,10.3,.532,.520,.196,3.5,11.9,7.7,7.3,1.3,1.6,10.8,14.1,,1.1,1.4,2.5,.088,,-0.9,0.1,-0.8,0.4
1 season,,POR,NBA,,58,1276,13.6,.625,.627,.300,4.0,10.8,7.4,4.3,1.0,0.9,7.0,14.8,,2.9,0.8,3.7,.139,,2.2,-1.0,1.2,1.0
