Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,22,CHA,NBA,PF,73,1384,13.6,.528,.118,.339,10.0,13.8,11.9,9.3,2.1,0.5,11.1,14.9,,1.8,1.1,2.9,.100,,-0.5,0.2,-0.3,0.6
2008-09,23,TOT,NBA,SF,68,1155,13.5,.562,.260,.368,8.7,12.3,10.5,7.1,2.5,0.5,11.5,14.6,,1.6,1.1,2.7,.114,,0.6,0.2,0.8,0.8
2008-09,23,CHA,NBA,SF,20,427,10.6,.507,.083,.250,7.3,9.8,8.6,7.3,2.3,0.4,8.6,12.9,,0.3,0.5,0.8,.094,,-1.6,1.0,-0.6,0.1
2008-09,23,PHO,NBA,SF,48,728,15.2,.588,.349,.429,9.5,13.7,11.7,7.0,2.7,0.6,12.8,15.6,,1.3,0.6,1.9,.126,,1.9,-0.3,1.6,0.7
2009-10,24,PHO,NBA,SF,82,1991,13.6,.612,.535,.282,5.9,9.8,8.0,7.9,2.0,0.6,11.0,13.7,,4.0,1.3,5.3,.129,,3.3,0.4,3.7,2.9
2010-11,25,PHO,NBA,SF,82,2140,15.6,.598,.402,.347,6.0,11.2,8.6,7.6,2.1,0.7,9.6,16.9,,4.2,1.4,5.6,.126,,2.6,0.2,2.8,2.5
2011-12,26,PHO,NBA,SG,65,2020,15.4,.575,.325,.255,5.4,11.4,8.4,8.8,1.3,0.7,9.1,17.7,,4.0,1.1,5.1,.121,,2.7,0.0,2.7,2.4
2012-13,27,PHO,NBA,SF,79,2170,14.9,.582,.405,.242,4.1,8.9,6.4,14.9,1.8,0.3,12.0,17.2,,3.9,0.9,4.8,.106,,2.1,-1.0,1.1,1.7
2013-14,28,LAC,NBA,SF,74,1729,8.9,.541,.503,.130,2.4,7.7,5.1,8.6,1.2,0.4,10.6,13.5,,1.2,1.2,2.4,.068,,-0.3,-0.4,-0.8,0.5
2014-15,29,MIL,NBA,SG,72,1717,12.3,.572,.454,.158,3.0,11.6,7.3,11.5,2.1,0.5,12.1,13.5,,2.0,2.1,4.1,.116,,0.1,0.5,0.6,1.1
2015-16,30,WAS,NBA,PF,81,2098,11.7,.602,.489,.201,2.8,12.6,7.6,11.4,1.7,0.7,13.1,12.7,,2.6,2.0,4.6,.105,,0.3,0.6,1.0,1.6
Career,,,NBA,,676,16404,13.4,.578,.399,.255,5.1,10.9,8.0,9.9,1.8,0.6,11.0,15.1,,25.4,12.3,37.7,.110,,1.4,0.1,1.4,14.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,PHO,NBA,,356,9049,14.9,.590,.405,.291,5.7,10.6,8.1,9.6,1.9,0.6,10.6,16.4,,17.5,5.3,22.8,.121,,2.6,-0.1,2.5,10.2
2 seasons,,CHA,NBA,,93,1811,12.9,.523,.110,.320,9.4,12.8,11.1,8.8,2.1,0.5,10.6,14.4,,2.1,1.6,3.7,.099,,-0.8,0.4,-0.4,0.7
1 season,,WAS,NBA,,81,2098,11.7,.602,.489,.201,2.8,12.6,7.6,11.4,1.7,0.7,13.1,12.7,,2.6,2.0,4.6,.105,,0.3,0.6,1.0,1.6
1 season,,LAC,NBA,,74,1729,8.9,.541,.503,.130,2.4,7.7,5.1,8.6,1.2,0.4,10.6,13.5,,1.2,1.2,2.4,.068,,-0.3,-0.4,-0.8,0.5
1 season,,MIL,NBA,,72,1717,12.3,.572,.454,.158,3.0,11.6,7.3,11.5,2.1,0.5,12.1,13.5,,2.0,2.1,4.1,.116,,0.1,0.5,0.6,1.1
