Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,22,POR,NBA,SG,79,1599,12.3,.528,.178,.374,1.3,10.8,6.0,23.2,1.4,0.1,17.0,17.8,,1.1,0.1,1.2,.035,,-1.2,-2.4,-3.6,-0.7
2006-07,23,POR,NBA,PG,79,2651,14.5,.571,.255,.396,0.8,9.1,4.9,26.2,1.8,0.3,18.4,18.0,,3.8,1.0,4.8,.087,,1.2,-1.3,-0.1,1.3
2007-08,24,POR,NBA,SG,82,2229,13.0,.558,.306,.400,1.6,10.7,6.2,22.7,1.5,0.0,19.6,19.3,,1.6,1.5,3.2,.069,,-0.2,-0.6,-0.8,0.7
2008-09,25,IND,NBA,SG,82,2716,13.1,.554,.259,.308,1.8,9.5,5.6,18.6,1.6,0.5,16.0,18.5,,2.3,1.8,4.1,.073,,0.0,-0.7,-0.7,0.9
2009-10,26,TOR,NBA,PG,82,2243,16.3,.599,.297,.359,1.6,9.8,5.8,27.7,1.4,0.2,17.3,19.1,,4.5,0.2,4.8,.102,,2.5,-2.3,0.1,1.2
2010-11,27,TOT,NBA,SG-PG,83,1722,14.2,.503,.170,.336,1.4,10.9,6.1,23.3,1.7,0.3,13.1,23.0,,0.9,1.4,2.4,.066,,-1.0,-1.2,-2.2,-0.1
2010-11,27,TOR,NBA,PG,13,347,12.6,.492,.197,.377,2.0,12.6,7.2,25.9,2.1,0.0,19.3,22.8,,-0.1,0.1,0.0,.002,,-1.5,-1.7,-3.3,-0.1
2010-11,27,NOH,NBA,SG,70,1375,14.6,.505,.163,.326,1.2,10.4,5.8,22.6,1.6,0.4,11.4,23.1,,1.0,1.3,2.4,.082,,-0.9,-1.1,-2.0,0.0
2011-12,28,NOH,NBA,PG,45,1530,17.9,.540,.192,.254,1.8,11.7,6.8,34.0,1.1,0.5,14.1,23.3,,2.9,0.9,3.8,.119,,2.6,-1.4,1.2,1.2
2012-13,29,GSW,NBA,SG,79,2349,15.9,.542,.237,.231,1.0,10.1,5.7,29.9,1.3,0.4,14.3,21.0,,3.9,1.8,5.6,.115,,1.0,-1.4,-0.4,1.0
2013-14,30,CLE,NBA,PG,80,2252,11.5,.498,.265,.213,1.1,10.3,5.6,22.7,1.3,0.8,14.8,17.8,,0.9,1.4,2.3,.049,,-1.4,-0.9,-2.3,-0.2
2014-15,31,BRK,NBA,PG,80,2241,14.6,.522,.179,.278,1.0,11.3,6.1,27.3,1.7,0.5,17.2,22.6,,1.1,1.4,2.6,.055,,-0.5,-1.0,-1.5,0.3
2015-16,32,BRK,NBA,PG,32,1027,14.5,.505,.285,.313,1.0,14.1,7.4,35.0,1.7,0.6,18.8,21.7,,0.5,0.4,0.9,.043,,0.0,-1.4,-1.4,0.2
Career,,,NBA,,803,22559,14.3,.540,.238,.310,1.3,10.5,5.9,25.7,1.5,0.4,16.3,19.9,,23.7,11.9,35.6,.076,,0.3,-1.3,-1.0,5.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,POR,NBA,,240,6479,13.5,.556,.254,.392,1.2,10.1,5.6,24.3,1.6,0.1,18.5,18.4,,6.5,2.6,9.1,.068,,0.1,-1.3,-1.2,1.3
2 seasons,,NOH,NBA,,115,2905,16.3,.523,.179,.288,1.5,11.1,6.4,28.6,1.3,0.4,12.8,23.2,,3.9,2.2,6.2,.102,,1.0,-1.3,-0.3,1.2
2 seasons,,BRK,NBA,,112,3268,14.5,.517,.211,.289,1.0,12.2,6.5,29.7,1.7,0.5,17.7,22.3,,1.7,1.8,3.5,.052,,-0.3,-1.1,-1.5,0.4
2 seasons,,TOR,NBA,,95,2590,15.8,.583,.281,.362,1.7,10.2,6.0,27.5,1.5,0.2,17.6,19.6,,4.4,0.3,4.8,.089,,1.9,-2.3,-0.3,1.1
1 season,,IND,NBA,,82,2716,13.1,.554,.259,.308,1.8,9.5,5.6,18.6,1.6,0.5,16.0,18.5,,2.3,1.8,4.1,.073,,0.0,-0.7,-0.7,0.9
1 season,,CLE,NBA,,80,2252,11.5,.498,.265,.213,1.1,10.3,5.6,22.7,1.3,0.8,14.8,17.8,,0.9,1.4,2.3,.049,,-1.4,-0.9,-2.3,-0.2
1 season,,GSW,NBA,,79,2349,15.9,.542,.237,.231,1.0,10.1,5.7,29.9,1.3,0.4,14.3,21.0,,3.9,1.8,5.6,.115,,1.0,-1.4,-0.4,1.0
