Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2003-04,22,CLE,NBA,SF,41,427,10.2,.519,.341,.186,4.9,9.3,7.1,5.3,1.6,0.3,13.1,16.8,,0.3,0.2,0.5,.056,,-1.5,-2.6,-4.1,-0.2
2004-05,23,CHA,NBA,SF,81,1491,11.8,.486,.289,.127,2.3,10.7,6.3,7.3,1.4,0.3,6.1,22.4,,0.6,0.7,1.3,.043,,-1.1,-2.9,-3.9,-0.7
2005-06,24,MIA,NBA,SF,51,665,9.0,.540,.299,.186,2.2,10.0,6.3,8.6,0.6,0.3,9.5,14.7,,0.7,0.5,1.2,.085,,-1.6,-1.7,-3.3,-0.2
2006-07,25,MIA,NBA,SF,67,1767,13.8,.613,.373,.131,1.8,10.0,6.0,7.9,1.1,0.1,10.5,17.9,,2.9,1.3,4.2,.114,,0.9,-1.6,-0.7,0.6
2007-08,26,TOR,NBA,SF,81,1530,10.8,.561,.237,.086,2.4,6.9,4.6,6.7,1.2,0.1,10.1,17.7,,1.0,0.9,1.9,.060,,-0.8,-1.5,-2.3,-0.1
2008-09,27,TOR,NBA,SG,80,1831,8.9,.525,.379,.070,1.7,8.7,5.2,9.1,0.6,0.1,10.1,17.4,,0.3,0.5,0.8,.021,,-1.2,-2.3,-3.5,-0.7
2009-10,28,PHI,NBA,SF,57,976,8.4,.527,.568,.050,1.7,6.4,4.0,6.1,1.1,0.5,10.0,15.9,,0.3,0.1,0.5,.023,,-1.0,-3.1,-4.1,-0.5
2010-11,29,PHI,NBA,SF,24,112,1.6,.277,.286,.071,3.1,8.2,5.7,5.0,0.9,0.7,6.5,12.7,,-0.3,0.1,-0.2,-0.070,,-7.3,-1.1,-8.4,-0.2
2011-12,30,LAL,NBA,SG,27,269,4.5,.476,.491,.073,0.9,4.8,2.9,6.0,0.6,0.0,9.6,10.7,,0.0,0.1,0.1,.021,,-3.1,-2.2,-5.2,-0.2
Career,,,NBA,,509,9068,10.5,.536,.348,.106,2.1,8.7,5.4,7.5,1.0,0.2,9.4,17.7,,5.8,4.5,10.3,.055,,-0.8,-2.2,-3.0,-2.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,TOR,NBA,,161,3361,9.8,.542,.315,.077,2.0,7.9,5.0,8.0,0.9,0.1,10.1,17.6,,1.3,1.4,2.7,.039,,-1.0,-1.9,-2.9,-0.8
2 seasons,,MIA,NBA,,118,2432,12.5,.595,.355,.145,1.9,10.0,6.1,8.1,1.0,0.2,10.3,17.0,,3.5,1.8,5.4,.106,,0.2,-1.6,-1.4,0.4
1 season,,CHA,NBA,,81,1491,11.8,.486,.289,.127,2.3,10.7,6.3,7.3,1.4,0.3,6.1,22.4,,0.6,0.7,1.3,.043,,-1.1,-2.9,-3.9,-0.7
2 seasons,,PHI,NBA,,81,1088,7.7,.505,.544,.052,1.8,6.6,4.2,6.0,1.1,0.5,9.7,15.6,,0.1,0.2,0.3,.013,,-1.7,-2.9,-4.6,-0.7
1 season,,CLE,NBA,,41,427,10.2,.519,.341,.186,4.9,9.3,7.1,5.3,1.6,0.3,13.1,16.8,,0.3,0.2,0.5,.056,,-1.5,-2.6,-4.1,-0.2
1 season,,LAL,NBA,,27,269,4.5,.476,.491,.073,0.9,4.8,2.9,6.0,0.6,0.0,9.6,10.7,,0.0,0.1,0.1,.021,,-3.1,-2.2,-5.2,-0.2
