Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,22,DET,NBA,PF,26,159,8.0,.414,.000,.778,8.9,12.1,10.5,3.1,1.4,2.3,13.2,24.9,,-0.4,0.2,-0.2,-0.054,,-7.7,-2.1,-9.8,-0.3
2006-07,23,DET,NBA,C,67,943,14.4,.518,.000,.523,11.1,12.3,11.7,2.5,1.7,4.9,14.1,18.9,,0.3,1.5,1.8,.091,,-3.0,1.0,-2.0,0.0
2007-08,24,DET,NBA,C,82,1768,16.7,.576,.002,.605,11.9,17.4,14.6,4.2,0.7,4.2,11.2,17.0,,3.4,2.9,6.3,.171,,-0.5,1.5,1.0,1.4
2008-09,25,DET,NBA,C,78,1408,15.8,.580,.003,.494,14.0,13.2,13.7,2.8,1.0,3.5,10.4,14.7,,2.6,1.5,4.1,.141,,-0.3,0.4,0.1,0.7
2009-10,26,DET,NBA,C,76,1550,14.0,.531,.002,.373,11.8,20.0,15.7,4.1,1.3,2.1,12.3,16.4,,1.5,1.1,2.6,.081,,-1.8,-0.6,-2.4,-0.2
2010-11,27,DET,NBA,PF,57,930,9.4,.510,.000,.524,8.3,14.7,11.4,2.7,1.4,1.8,15.9,13.9,,0.0,0.4,0.5,.024,,-3.6,-0.9,-4.5,-0.6
2011-12,28,DET,NBA,PF,65,1466,11.7,.493,.005,.277,9.9,17.4,13.6,4.7,1.2,2.7,14.2,15.8,,0.4,1.3,1.7,.057,,-2.7,0.2,-2.5,-0.2
2012-13,29,DET,NBA,PF,72,1789,11.3,.478,.000,.317,8.5,18.0,13.2,4.7,0.9,4.2,13.5,15.3,,0.1,1.7,1.8,.047,,-3.7,1.1,-2.6,-0.3
2013-14,30,ORL,NBA,PF,34,488,8.1,.459,.000,.295,6.5,13.5,10.0,2.8,0.8,3.2,10.6,12.4,,-0.1,0.4,0.3,.029,,-5.3,0.3,-5.0,-0.4
2014-15,31,CHO,NBA,PF,61,878,10.4,.455,.000,.370,10.5,15.1,12.7,3.4,1.1,4.0,11.5,13.1,,0.1,1.2,1.4,.074,,-4.5,1.9,-2.6,-0.1
Career,,,NBA,,618,11379,13.0,.518,.002,.430,10.6,16.3,13.4,3.8,1.1,3.4,12.7,15.7,,8.1,12.2,20.3,.086,,-2.5,0.6,-2.0,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,DET,NBA,,523,10013,13.4,.525,.002,.440,10.8,16.5,13.6,3.8,1.1,3.4,12.8,16.1,,8.1,10.6,18.6,.089,,-2.2,0.4,-1.8,0.6
1 season,,CHO,NBA,,61,878,10.4,.455,.000,.370,10.5,15.1,12.7,3.4,1.1,4.0,11.5,13.1,,0.1,1.2,1.4,.074,,-4.5,1.9,-2.6,-0.1
1 season,,ORL,NBA,,34,488,8.1,.459,.000,.295,6.5,13.5,10.0,2.8,0.8,3.2,10.6,12.4,,-0.1,0.4,0.3,.029,,-5.3,0.3,-5.0,-0.4
