Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,20,TOT,NBA,SG,50,679,11.0,.499,.159,.446,4.5,13.7,9.1,11.7,1.4,0.2,16.5,21.8,,-0.3,0.4,0.1,.004,,-3.6,-1.9,-5.4,-0.6
2007-08,20,LAL,NBA,SG,22,171,11.0,.551,.057,.528,4.7,8.7,6.8,15.7,2.1,0.0,25.2,22.5,,-0.1,0.2,0.0,.013,,-4.1,-1.4,-5.5,-0.2
2007-08,20,MEM,NBA,SG,28,508,11.0,.483,.189,.422,4.4,15.4,9.8,10.3,1.2,0.3,13.4,21.6,,-0.2,0.2,0.0,.001,,-3.4,-2.0,-5.4,-0.4
2008-09,21,TOT,NBA,PG-SG,63,1174,10.4,.487,.053,.323,5.6,11.2,8.3,19.8,1.8,0.4,20.1,15.8,,-0.3,0.3,0.0,.000,,-2.6,-1.1,-3.6,-0.5
2008-09,21,MEM,NBA,SG,7,44,13.2,.479,.067,.733,11.0,5.7,8.4,20.1,1.2,0.0,13.1,24.3,,0.0,0.0,0.0,.025,,-1.0,-3.3,-4.3,0.0
2008-09,21,WAS,NBA,PG,56,1130,10.3,.488,.052,.300,5.4,11.4,8.3,19.7,1.8,0.4,20.5,15.5,,-0.3,0.3,0.0,.000,,-2.6,-1.0,-3.6,-0.5
Career,,,NBA,,113,1853,10.6,.492,.100,.378,5.2,12.1,8.6,16.8,1.7,0.3,18.5,18.0,,-0.6,0.7,0.1,.002,,-2.9,-1.4,-4.3,-1.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,WAS,NBA,,56,1130,10.3,.488,.052,.300,5.4,11.4,8.3,19.7,1.8,0.4,20.5,15.5,,-0.3,0.3,0.0,.000,,-2.6,-1.0,-3.6,-0.5
2 seasons,,MEM,NBA,,35,552,11.2,.482,.179,.446,4.9,14.6,9.7,11.1,1.2,0.3,13.4,21.8,,-0.2,0.2,0.0,.003,,-3.2,-2.1,-5.3,-0.5
1 season,,LAL,NBA,,22,171,11.0,.551,.057,.528,4.7,8.7,6.8,15.7,2.1,0.0,25.2,22.5,,-0.1,0.2,0.0,.013,,-4.1,-1.4,-5.5,-0.2
