Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,21,SEA,NBA,SF,80,2253,9.8,.491,.101,.318,4.9,13.4,9.2,8.2,1.0,1.6,15.6,19.4,,-1.3,1.5,0.2,.003,,-3.3,0.1,-3.2,-0.7
2008-09,22,OKC,NBA,PF,78,2873,13.9,.536,.231,.287,4.7,16.3,10.4,9.1,1.4,0.8,12.6,21.2,,1.8,2.4,4.2,.070,,-0.5,-0.4,-0.8,0.8
2009-10,23,OKC,NBA,PF,82,3043,13.8,.530,.292,.208,4.3,13.9,9.2,7.2,1.8,1.8,10.4,19.2,,2.5,4.2,6.6,.105,,0.0,1.1,1.1,2.4
2010-11,24,TOT,NBA,PF-SF,75,2427,12.9,.538,.257,.298,3.7,13.5,8.8,7.2,1.1,1.1,9.6,19.5,,2.4,2.4,4.8,.095,,-0.4,-0.4,-0.8,0.7
2010-11,24,OKC,NBA,PF,49,1815,12.9,.533,.298,.293,3.8,13.5,8.8,7.9,1.1,0.8,9.8,19.3,,1.9,1.4,3.3,.087,,0.2,-0.7,-0.6,0.7
2010-11,24,BOS,NBA,SF,26,612,12.9,.553,.134,.312,3.4,13.3,8.6,5.1,1.1,2.0,9.1,19.8,,0.5,1.0,1.5,.118,,-2.1,0.5,-1.6,0.1
2012-13,26,BOS,NBA,PF,81,2252,15.0,.561,.226,.329,3.0,13.4,8.3,9.6,1.3,2.4,12.5,22.2,,1.9,2.8,4.7,.099,,-0.9,0.1,-0.8,0.7
2013-14,27,BOS,NBA,SF,82,2805,13.1,.520,.338,.304,2.1,13.6,7.7,8.4,1.0,1.3,11.1,23.6,,1.3,2.0,3.3,.057,,-0.7,-1.3,-2.1,0.0
2014-15,28,TOT,NBA,SF,78,2454,14.4,.534,.302,.297,2.9,12.1,7.5,8.8,1.1,1.1,9.0,21.9,,2.7,2.4,5.2,.101,,0.1,-0.8,-0.7,0.8
2014-15,28,BOS,NBA,SF,33,1093,14.6,.539,.324,.303,2.1,12.2,7.1,7.9,1.2,0.9,9.4,23.8,,1.0,1.0,2.0,.089,,-0.1,-1.4,-1.6,0.1
2014-15,28,MEM,NBA,SF,45,1361,14.2,.530,.280,.291,3.6,12.0,7.8,9.5,1.0,1.3,8.6,20.5,,1.7,1.5,3.1,.111,,0.3,-0.3,0.0,0.7
2015-16,29,TOT,NBA,SF,80,2253,13.0,.510,.258,.267,3.6,13.3,8.3,10.0,1.3,1.5,9.2,20.2,,1.3,1.7,3.1,.065,,-1.0,-0.7,-1.7,0.2
2015-16,29,MEM,NBA,SF,53,1544,13.4,.517,.244,.278,3.9,14.4,8.9,10.5,1.3,1.1,9.9,20.2,,1.2,1.0,2.2,.067,,-0.6,-1.1,-1.7,0.1
2015-16,29,LAC,NBA,SF,27,709,12.0,.496,.288,.243,3.0,10.9,7.0,8.9,1.3,2.3,7.5,20.4,,0.1,0.8,0.9,.061,,-1.8,0.1,-1.7,0.1
Career,,,NBA,,636,20360,13.3,.528,.258,.286,3.7,13.7,8.7,8.5,1.3,1.4,11.2,20.9,,12.6,19.4,32.0,.075,,-0.8,-0.3,-1.0,4.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SEAOKC,NBA,,289,9984,12.8,.524,.234,.271,4.5,14.4,9.5,8.1,1.4,1.3,12.1,19.9,,4.8,9.5,14.3,.069,,-0.8,0.1,-0.7,3.2
4 seasons,,BOS,NBA,,222,6762,14.0,.539,.286,.312,2.5,13.3,7.9,8.4,1.2,1.7,11.1,22.8,,4.8,6.8,11.5,.082,,-0.8,-0.7,-1.5,0.8
2 seasons,,MEM,NBA,,98,2905,13.8,.523,.261,.284,3.8,13.3,8.4,10.0,1.2,1.2,9.3,20.3,,2.9,2.4,5.3,.088,,-0.2,-0.7,-0.9,0.8
1 season,,LAC,NBA,,27,709,12.0,.496,.288,.243,3.0,10.9,7.0,8.9,1.3,2.3,7.5,20.4,,0.1,0.8,0.9,.061,,-1.8,0.1,-1.7,0.1
