Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,20,CLE,NBA,C,62,705,12.5,.548,.000,.345,9.1,18.4,13.9,2.1,1.1,3.4,16.8,18.0,,0.2,1.3,1.5,.101,,-4.7,0.2,-4.5,-0.4
2009-10,21,CLE,NBA,PF,81,1691,15.2,.580,.002,.312,8.2,19.5,14.1,3.9,1.1,1.8,13.4,18.9,,1.8,2.5,4.3,.123,,-2.3,-0.3,-2.6,-0.2
2010-11,22,CLE,NBA,C,80,2256,15.6,.503,.005,.392,10.8,25.0,17.7,7.5,1.1,1.8,13.6,25.5,,-0.2,1.7,1.5,.032,,-3.2,-1.1,-4.3,-1.3
2011-12,23,TOT,NBA,PF,54,1244,14.9,.501,.005,.342,11.7,19.0,15.2,5.9,1.2,2.1,13.4,18.7,,0.9,0.8,1.7,.066,,-2.0,-0.5,-2.4,-0.1
2011-12,23,SAC,NBA,PF,35,644,9.9,.416,.006,.335,10.9,19.7,15.1,5.0,1.4,1.9,16.4,16.0,,-0.5,0.3,-0.1,-0.009,,-4.8,-0.5,-5.3,-0.5
2011-12,23,POR,NBA,PF,19,600,20.2,.568,.005,.347,12.6,18.3,15.4,6.9,1.1,2.3,10.9,21.6,,1.4,0.5,1.8,.147,,1.0,-0.4,0.6,0.4
2012-13,24,POR,NBA,C,80,2323,19.7,.591,.003,.360,13.2,28.5,20.7,6.6,1.1,1.7,14.4,19.9,,4.6,2.3,6.9,.142,,-0.2,0.0,-0.3,1.0
2013-14,25,DEN,NBA,PF,69,1859,16.2,.521,.012,.443,11.9,24.8,18.3,8.4,1.2,2.0,14.1,20.8,,1.3,2.1,3.3,.086,,-1.7,0.8,-0.8,0.6
2014-15,26,DEN,NBA,C,73,1411,14.3,.504,.004,.438,11.1,24.0,17.3,6.5,1.3,1.9,14.9,19.7,,0.5,1.4,1.8,.062,,-3.1,0.4,-2.7,-0.3
2015-16,27,TOT,NBA,C,35,436,16.8,.514,.006,.665,9.8,24.1,16.8,8.7,1.7,2.6,11.1,22.6,,0.3,0.5,0.8,.088,,-2.9,-0.1,-3.0,-0.1
2015-16,27,DEN,NBA,C,20,305,15.8,.508,.000,.541,7.9,24.0,15.8,8.7,1.6,3.2,10.6,21.6,,0.1,0.4,0.5,.077,,-3.2,0.2,-3.0,-0.1
2015-16,27,WAS,NBA,C,15,131,18.9,.528,.022,.957,14.2,24.4,19.2,8.5,1.9,1.2,12.1,24.8,,0.1,0.2,0.3,.114,,-2.1,-0.9,-3.0,0.0
Career,,,NBA,,534,11925,16.1,.534,.005,.393,11.0,23.7,17.3,6.4,1.2,2.0,14.0,20.8,,9.2,12.7,21.9,.088,,-2.2,-0.1,-2.3,-0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,CLE,NBA,,223,4652,15.0,.532,.004,.361,9.6,22.0,15.8,5.3,1.1,2.0,13.9,22.0,,1.8,5.5,7.3,.075,,-3.1,-0.6,-3.7,-2.0
3 seasons,,DEN,NBA,,162,3575,15.4,.513,.008,.450,11.2,24.4,17.7,7.6,1.3,2.1,14.1,20.4,,1.8,3.8,5.7,.076,,-2.4,0.6,-1.8,0.2
2 seasons,,POR,NBA,,99,2923,19.8,.586,.003,.357,13.0,26.4,19.6,6.6,1.1,1.8,13.6,20.2,,5.9,2.8,8.7,.143,,0.0,-0.1,-0.1,1.4
1 season,,SAC,NBA,,35,644,9.9,.416,.006,.335,10.9,19.7,15.1,5.0,1.4,1.9,16.4,16.0,,-0.5,0.3,-0.1,-0.009,,-4.8,-0.5,-5.3,-0.5
1 season,,WAS,NBA,,15,131,18.9,.528,.022,.957,14.2,24.4,19.2,8.5,1.9,1.2,12.1,24.8,,0.1,0.2,0.3,.114,,-2.1,-0.9,-3.0,0.0
