Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2006-07,22,ORL,NBA,PG,42,622,13.0,.569,.503,.308,2.0,8.1,5.2,9.7,1.0,0.0,8.7,18.1,,1.2,0.5,1.7,.134,,1.3,-2.6,-1.4,0.1
2007-08,23,ORL,NBA,SG,34,276,12.7,.569,.398,.315,0.4,8.8,4.8,9.7,0.7,0.0,10.9,22.9,,0.3,0.2,0.5,.091,,-0.9,-3.4,-4.3,-0.2
2008-09,24,ORL,NBA,SG,64,1111,9.9,.562,.599,.311,0.8,10.0,5.5,10.3,1.0,0.1,13.7,16.4,,0.8,1.5,2.3,.098,,-1.0,-0.3,-1.3,0.2
2009-10,25,ORL,NBA,SG,82,1808,15.0,.606,.495,.401,1.1,8.5,5.0,13.9,0.8,0.2,8.8,18.3,,4.7,1.8,6.5,.173,,2.5,-1.1,1.4,1.5
2010-11,26,ORL,NBA,SG,59,1513,12.8,.589,.490,.286,0.5,8.1,4.4,11.0,1.0,0.2,9.5,17.0,,2.7,1.8,4.5,.142,,1.1,-0.4,0.6,1.0
2011-12,27,ORL,NBA,SG,65,1765,15.1,.575,.459,.269,1.2,8.8,4.9,16.2,0.8,0.3,9.4,19.2,,4.2,1.0,5.2,.142,,2.2,-1.9,0.3,1.0
2012-13,28,TOT,NBA,SG,78,2379,14.7,.571,.513,.216,0.8,7.3,4.0,20.0,0.8,0.3,12.5,20.8,,4.0,0.5,4.5,.091,,2.1,-3.2,-1.1,0.6
2012-13,28,ORL,NBA,SG,50,1575,16.1,.592,.515,.222,0.6,7.9,4.3,22.7,1.0,0.2,14.1,21.5,,3.0,0.2,3.2,.097,,2.9,-3.2,-0.3,0.7
2012-13,28,MIL,NBA,SG,28,804,11.9,.529,.507,.205,1.0,6.1,3.5,14.8,0.6,0.4,9.2,19.4,,1.0,0.3,1.3,.078,,0.7,-3.2,-2.5,-0.1
2013-14,29,LAC,NBA,SG,35,987,16.6,.598,.465,.266,1.0,7.1,4.2,12.6,1.4,0.2,8.6,21.8,,2.3,0.7,3.0,.147,,2.9,-2.1,0.8,0.7
2014-15,30,LAC,NBA,SG,78,2409,16.2,.622,.488,.216,1.0,6.6,3.9,9.0,0.8,0.3,8.5,21.0,,5.8,0.9,6.7,.134,,3.4,-2.7,0.7,1.6
2015-16,31,LAC,NBA,SG,75,2097,17.5,.632,.478,.233,0.5,6.6,3.6,8.6,1.0,0.2,7.4,22.6,,5.3,1.4,6.7,.154,,3.5,-2.7,0.8,1.5
Career,,,NBA,,612,14967,14.9,.597,.491,.265,0.9,7.7,4.4,12.7,0.9,0.2,9.6,19.9,,31.4,10.2,41.7,.134,,2.2,-2.1,0.1,8.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,ORL,NBA,,396,8670,14.0,.585,.499,.297,0.9,8.5,4.8,14.6,0.9,0.2,10.8,18.7,,16.9,7.0,23.9,.132,,1.6,-1.6,0.0,4.4
3 seasons,,LAC,NBA,,188,5493,16.8,.621,.480,.232,0.9,6.7,3.8,9.5,1.0,0.2,8.1,21.8,,13.4,3.0,16.4,.144,,3.4,-2.6,0.8,3.8
1 season,,MIL,NBA,,28,804,11.9,.529,.507,.205,1.0,6.1,3.5,14.8,0.6,0.4,9.2,19.4,,1.0,0.3,1.3,.078,,0.7,-3.2,-2.5,-0.1
